# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; Cons-RecCul
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_granger__graph(n_components=1)
# prediction_type; rolling
Cons-RecCul;Imports
-4.1222300789999995;-1.793193953
-1.185625173;9.516280621
11.70101713;-5.366970802
-7.19953987;-2.693839628
10.07208363;0.9449089009999999
1.6424195169999998;-24.89290348
-3.651032059;10.33960374
-2.4526677390000002;-10.37547657
6.103699797999999;19.46481319
11.51967234;9.321597117
8.49492451;19.79892976
5.987833621;8.580850016
4.647355182;7.791154354
7.260439702999999;27.34495973
7.830802082000001;43.66793099
10.35270712;19.97302524
5.413801497000001;12.69568361
11.38545351;5.562136829
2.8996354510000004;-10.05869347
5.736963554;2.443878646
1.797755835;-26.77852246
1.5015899819999998;14.79719398
-4.2886530789999995;-20.81119527
3.36526499;-2.96364465
3.2225753360000002;1.136511161
8.450020053;10.06070035
-0.449185898;12.04104296
5.7450614579999995;-6.743945126
5.718310444;15.81714586
-7.661274503;8.218011471
8.969355788;8.83068689
4.921308613;-5.780347573999999
9.507185904;6.693850682999999
2.407123957;10.55802874
15.955074300000001;0.3553187
7.351504577999999;17.71507208
-1.380501802;15.25025863
18.24640654;24.44219341
6.830575337999999;19.03869764
5.802542462000001;4.503545989
12.29065234;-3.825688405
4.584577408;0.859409258
6.736726843;6.108649365
10.29625024;10.91291319
10.73361476;11.30433106
4.553820275;0.765029878
4.94205473;17.17101697
5.000065106;6.023407657000001
10.62370923;20.31131047
9.524711271000001;7.859213887999999
5.955260274;-1.0170511009999998
-2.0371357519999997;17.1916628
2.8122224989999998;1.274730288
9.077628127999999;-0.243174145
6.684396649;1.471088727
10.42655027;13.567273499999999
-0.829732363;7.481446761
7.032469633;19.94478404
3.284952637;5.685452728
3.8264955730000003;15.7707353
5.836614912999999;2.8920473510000004
16.00471594;-0.327039853
-14.19810232;-12.32986972
4.950800111;-9.573798354
3.641222228;-5.567997107
1.664535052;0.622507664
6.526877485;5.5593984370000005
10.69789742;18.54177734
14.12830964;13.21273884
8.503808602000001;5.824293212000001
4.571149758;27.98940961
-1.145066265;2.58424676
8.087963109;3.8079691189999996
11.05524913;12.12357386
13.75278147;16.81362854
4.985632636;21.77059699
7.389436343;11.14763914
2.7552886539999997;6.0004075420000005
4.449827826;13.81432253
6.632741426;9.4617894
6.402884254;10.03976906
2.8856479910000004;-1.062527862
0.941205297;10.888818800000001
8.585043978;7.786055951
4.014235985;14.91774835
1.86426204;-4.596514838
11.00671336;20.13368552
1.9854516480000002;16.91294799
4.431558309;8.313001868999999
9.371304118;10.97413963
5.399066959;12.37092721
4.521991315;18.13184745
-6.5435009939999995;19.74533227
-4.182846341;-0.154014752
6.418810239;-35.48971924
-3.2721779810000005;-31.21559031
6.3050844370000005;-0.091010125
-2.818567153;17.23908629
1.881249793;28.95041019
2.360390678;14.92628261
13.71324712;13.82074851
4.806085718;-5.4240496789999995
7.639138468;16.21461854
3.007384202;7.81189581
10.13993529;14.65193895
1.285526949;19.44126636
-1.727781531;1.163655662
4.990146692;9.858233364
1.990101004;-0.59946629
3.538680083;1.0596032690000001
-9.097762467;0.948289079
2.3129738769999997;-13.10770729
-4.7936914260000005;11.07502427
1.3480345919999999;-5.833613616
3.902843283;-1.9922494919999998
-0.32378641399999997;-9.361639652000001
6.670127868;11.30357468
3.581779366;-5.089159385
8.79842613;-7.230196721
