# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;BusInv
# prediction_type;rolling
# method; FCBF(n_components=2)
"BusInv";"RGDP";"Cons.Food"
20.59540653;8.902859911;4.654129298
16.44004798;5.039001579;8.522199281
-4.294382558;-1.002234306;0.800592009
1.167621801;2.792993979;-2.966725349
18.18993216;-0.698911704;6.739195448
0.042847196;1.141007731;-5.235631459
44.97478435;6.397614815;-2.766722933
-16.73262623;3.800186011;1.333217619
40.66027134;6.804427543;9.210135962
8.492736507;6.93384971;2.728988924
24.61314447;7.617116317;-0.23804464
18.61706084;1.963446833;-2.901903224
36.67520281;1.33775959;-8.274127723
-26.50609164;2.976199147;1.675541328
34.35116452;5.428100389;3.50286194
17.20337262;4.492786408;3.985602464
16.33748864;8.289254686;-1.129799185
-1.488884078;2.767492594;1.129799185
-6.782731052;-0.49532158;2.453995427
-7.46881797;3.314024154;7.272927633
-20.96002474;0.212730884;-3.317018631
-4.5120283;-2.16235186;2.682548406
-15.64898083;2.051745919;1.634220808
-31.63406717;-5.000573525;-1.166618885
-9.846144384;-1.123859826;0.966868568
-16.1232608;1.261698029;4.766689973
-10.80053302;0.899089459;-2.409347604
8.503076529;3.608223656;8.613047171
-6.050062576;2.79651682;4.70252618
-9.613088199;3.398147678;-0.769231006
76.67456617;8.019944257;-0.288843435
-21.9300488;3.710301959;-6.016610281
5.408887448;1.807871367;10.80364683
-5.915778059;0.222878481;-3.600900638
13.34288297;7.68577341;1.118792434
29.4000191;7.049187196;4.380996175
5.038990913;4.399723993;1.449733702
14.44858574;3.726767862;9.205101859
22.14066419;2.182597148;5.162150221
5.557769462;0.974880226;-2.801899686
25.23900754;2.780429109;9.930711899
-3.749393105;6.969566125;-0.507141061
0.023993042;1.971571475;5.013228883
30.34520477;7.334729;-1.003542439
7.709065216;0.929123174;-0.798728217
-4.298758338;4.861530801;-3.599206288
-0.022051324;2.893411827;-1.556771668
6.75665886;1.160005411;2.690593104
44.79369486;11.91947646;-0.775425235
-15.17218915;-0.078847118;8.067947403
5.43953988;5.559877233;4.682838432
66.07378286;4.383223179;2.421629018
-46.97221617;3.328738573;1.291295644
0.283949753;7.198163037;-5.538816323
8.666896531;5.671514142;-0.261523383
-8.818311315;3.077664237;5.16956042
17.95351076;1.898103872;0.573476801
3.388323405;3.609118265;4.700071879
44.95377047;6.618342439;8.656103047
-49.08486453;2.917270031;-3.367327779
22.61345244;3.106348663;-0.811274188
13.46293074;0.272487352;9.928950336
-47.44266517;-1.764559597;6.072634423
20.72154713;5.075855603;-1.806724344
-0.372167236;2.906719607;9.349340474
11.84417725;4.512751483;-1.534291941
0.876910532;4.175155576;0.291438993
13.55947564;3.320078483;10.89444607
15.70935777;6.240952365;5.782740003
17.72031641;1.510204053;-0.610143756
24.95353067;3.236882989;0.965631623
1.918056994;0.135776366;-3.287585007
4.62826814;3.065300223;1.353985007
14.17181744;6.135649205;5.672417166
9.345023943;6.532693146;3.529765997
1.739739458;2.996086065;8.165814434
5.331218366;2.251214891;8.45697463
7.987708185;3.452363018;2.146055818
30.99134402;2.855261328;0.285272804
-0.344147293;3.478460043;-3.149246853
20.27742629;2.089582331;6.462483167
20.41573619;4.864112139;5.547030177
21.09598745;2.96288629;-1.397055964
1.300021457;0.865102462;1.443540566
0.577558901;1.027268677;3.12528719
3.819197917;4.191102296;-0.854133927
7.451965444;6.262424786;4.412569884
31.02388144;6.132959408;8.860621102
15.14977146;3.302626747;1.42817446
10.5084701;2.944304662;1.245483353
0.563464546;2.258276194;9.696646816
17.28112484;4.970717944;-4.599631053
12.44432197;1.356216846;1.859298456
6.870929926;2.772254116;3.800967976
2.282393383;-3.246171797;2.671560076
-6.343580298;3.979643032;3.974179372
-3.435938309;1.931596097;5.992937591
-26.57343759;1.611806653;0.73239015
13.10963923;2.88338048;2.105981355
-18.70138975;1.523026721;-4.454365728
11.35717632;2.435515384;6.321685889
10.46603698;1.991786174;6.080642978
10.02453968;4.390007135;1.038406325
19.13632431;-1.500973447;0.914007557
11.48839759;5.333531171;0.162271807
45.78322037;4.657879989;4.637382452
-7.140033579;3.97991576;5.435488432
34.58805645;4.117594698;7.483811207
10.47984037;2.328691535;0.988636041
2.349361796;2.215612944;-1.707414312
-24.69969387;2.222377647;6.174153065
5.805235398;0.952585653;6.965609818
28.14471317;3.113451114;2.681616194
-24.64734871;1.34967792;5.051603958
-15.83400615;3.447181698;-1.534729723
3.085020602;3.574058921;2.401189331
5.233873127;2.482873349;0.184111206
-15.70260375;1.519985819;-0.8476141
-4.268072931;2.185723381;2.66575731
