# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; Cons-Food
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=1)
# prediction_type; rolling
Cons-Food;IP-TCO
4.654129298;-8.721430312
8.522199281;13.53194581
0.800592009;12.68648535
-2.966725349;4.804862579
6.739195447999999;13.88553014
-5.2356314589999995;-9.334405106
-2.766722933;-6.946341768
1.333217619;4.973951184
9.210135962;8.025715773
2.728988924;11.83857292
-0.23804464;5.790434995
-2.901903224;2.956133547
-8.274127723;11.25301072
1.6755413280000002;-1.613990085
3.50286194;8.357716807000001
3.985602464;-7.9984891220000005
-1.129799185;0.538237354
1.129799185;-14.97891912
2.4539954269999997;-6.757551611
7.272927632999999;-12.30274775
-3.3170186310000003;34.03921848
2.682548406;-36.19239226
1.634220808;7.774783151
-1.166618885;-23.58870149
0.966868568;-39.90444475
4.766689973;33.52406764
-2.409347604;-2.080087891
8.613047171;-13.79081166
4.70252618;-9.170707361
-0.7692310059999999;1.323044205
-0.288843435;9.14076773
-6.016610281;-13.34550908
10.80364683;25.21707463
-3.600900638;-13.38059456
1.1187924340000002;-8.072267403
4.380996175;46.54960955
1.4497337019999998;-22.59804086
9.205101858999999;-8.814627413
5.162150221;5.688797492000001
-2.801899686;8.281869345
9.930711899;4.685564145
-0.507141061;8.020318818
5.013228883;-36.12411726
-1.003542439;-6.57188934
-0.7987282170000001;-8.93392804
-3.599206288;18.5361349
-1.556771668;-5.427491682
2.690593104;7.578034497000001
-0.775425235;20.28132322
8.067947403;-12.42335881
4.682838432;8.324962297999999
2.421629018;-9.588786415
1.291295644;16.32879781
-5.538816323;8.813576391
-0.261523383;-10.23381628
5.16956042;-0.610221324
0.573476801;-25.20518713
4.700071878999999;3.8835256510000002
8.656103047;-7.805125689
-3.3673277789999996;37.38696486
-0.811274188;-2.199455679
9.928950336;-3.4231268569999997
6.072634422999999;-8.791562687999999
-1.806724344;-32.05153761
9.349340474;4.897111806
-1.534291941;-0.664268074
0.29143899300000004;-1.109570753
10.89444607;0.0
5.782740003;15.26070639
-0.610143756;-6.686594098
0.9656316229999999;4.971693293
-3.2875850069999997;-23.90091396
1.353985007;-22.51473489
5.672417166000001;32.20262044
3.5297659969999997;1.776793593
8.165814434;-6.478778886000001
8.45697463;-11.65463763
2.1460558180000002;-7.72631572
0.285272804;-21.86336502
-3.149246853;-27.65065672
6.462483167;-24.55096538
5.547030177000001;20.78749676
-1.397055964;-30.57920239
1.443540566;14.31792083
3.12528719;-6.808675028
-0.854133927;-25.70097561
4.412569884;21.38593916
8.860621102;3.742380663
1.42817446;39.00874021
1.245483353;-2.084695272
9.696646816;-21.7430241
-4.599631053;5.479537743
1.8592984559999999;-6.584510822
3.8009679760000004;-14.07604776
2.671560076;-20.276099600000002
3.974179372;24.26757962
5.9929375910000005;-58.22354156
0.73239015;-40.36165591
2.105981355;14.61186963
-4.454365728;-23.04867941
6.321685888999999;-10.13662878
6.080642977999999;17.11889151
1.038406325;-11.45574831
0.914007557;-30.36476787
0.162271807;29.61429861
4.637382452;-16.48532295
5.4354884320000005;-30.90968068
7.4838112070000005;50.01550903
0.9886360409999999;-25.02017956
-1.7074143119999998;-40.95431942
6.174153065;47.65068457
6.965609818;6.586105206
2.681616194;-6.195670817000001
5.051603958;19.42313966
-1.534729723;14.95842334
2.401189331;-69.43452794
0.18411120600000003;21.15578557
-0.8476140999999999;31.8305594
2.66575731;-50.43856565
