# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-Other
# prediction_type;rolling
# method; Part-GFS_te(n_components=7)
"Cons-Other";"IP.PCCR";"Exports";"PEXP";"Emp.FtPer";"HStartsTotal";"PIMP";"COMMP"
6.557064518;-4.32012054;-4.821868358;21.96780264;1.451475879;-1.628554648;6.174728903;-18.70773122
11.39803145;12.82285615;12.74588335;-23.03415675;0.552467272;15.86697322;-21.8266904;12.86460699
12.60323598;-6.943279444;-1.266086343;-11.55138732;2.126531208;-32.09840412;-14.34500833;-8.657331446
0.784467794;1.940809242;7.96597607;-14.3399486;0.08415337;4.512247776;-9.39244637;-21.41536658
7.556182774;11.07469307;-6.551714137;7.582855492;2.022760295;27.02585186;10.51722353;10.47929144
-0.92390648;-4.16473237;3.980132341;17.70949127;1.013820391;30.55883528;18.67494658;-6.779014204
-0.668595463;14.94104598;15.94240792;-3.062930915;2.932884702;5.110145119;-2.061933611;31.92944545
1.848764364;11.91961785;19.11947145;-11.53170587;2.615157967;30.51628726;-8.883162049;1.178205617
-2.570042252;-3.933871671;5.767802762;-1.516808381;0.530856083;-16.5932278;-0.607464759;3.781029637
6.039009281;-42.42382878;8.235471624;-21.92075046;4.239986317;-40.31292663;-19.72083574;12.08865627
4.947059523;47.42389389;20.94220983;-1.105097468;3.867209733;9.963458626;-1.889335231;-9.783963733
3.347299868;-21.50859781;-11.38715306;-19.01217861;-2.496249863;17.38799428;-20.77154427;5.590028468
11.04025923;2.613168417;9.062663169;9.11124164;-1.232635305;11.52217444;3.685233734;-25.38130841
0.918484904;31.12879874;5.07458418;-2.025218961;-0.506745222;42.36508029;-3.103828841;19.99134633
2.407035787;-19.03442804;-5.9497623;-0.172818617;-2.445041584;11.55661138;-0.67637368;-21.44466713
1.963017884;-8.022146725;-11.96109794;4.306167183;1.223367646;-0.34564708;1.945702359;-13.11820205
2.808031045;14.82320542;11.0035039;15.18774044;1.237964854;7.006757302;12.06667421;15.30325014
5.136431538;15.31953982;2.778725928;12.96250209;0.925457886;-4.707222803;14.60442398;-18.07461402
2.194600731;4.078200152;-2.903162078;-13.12250969;2.09520045;-8.774316222;-12.58578631;28.97941461
6.191644937;-2.033902687;4.82455207;10.03360334;1.853007999;-4.532272995;8.532922147;-3.270109028
1.236052486;32.61789951;1.227748048;15.97392513;3.375378431;23.00940781;16.3078398;-21.48826287
0.091407679;-58.22945168;-20.72573127;25.89263071;-1.394774033;11.21865579;24.59729538;-30.3342355
4.860106347;1.446656188;5.086189229;10.39629344;2.418770748;20.415218;12.49315662;42.95514017
8.044963915;21.09451843;13.91963767;21.23883356;3.73698459;-6.073774779;22.53225484;-7.344839074
5.100091074;-0.342612441;2.807282282;19.99712969;1.881967735;-50.810365;19.77569405;10.18576008
7.744549961;-9.714267536;6.406300547;-20.53783261;1.582089988;-10.73997277;-20.25095589;44.61813723
8.814849777;18.8633322;-5.702163562;-3.403165095;1.712087653;3.422121352;-3.434726881;-27.59595211
6.815749318;-11.90058025;6.945805039;15.20655433;4.105935742;8.032095144;15.50458578;-28.81419023
1.398602823;-14.76441771;4.971098415;5.901161689;4.054684325;28.81384916;7.939865132;14.53878507
