# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;HStartsNT
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=6)
"HStartsNT";"HStartsNSW";"HSexfinVal";"IP.Total";"M3";"HCE.ParAcc";"HCE.Pet"
9.158649314;-36.68252386;-14.47768562;15.64736664;-3.950219633;-3.735851038;-23.48686487
-100.94448;-35.56994789;-64.00003887;2.040820754;3.259031545;1.045861075;30.2158763
-26.93665854;-1.52413575;-14.82999564;5.559154544;-0.081480652;-12.15707522;-26.45320929
-38.85801712;35.41348161;5.995979006;2.002507311;-6.229861344;18.74953516;9.821303755
-16.49718337;16.5964341;42.96064841;-2.002507311;8.08953454;2.700155863;8.1483349
53.51780632;35.40512532;61.35633776;1.502819551;2.789176219;4.696040608;-1.373170349
19.76153971;7.199371008;35.6059235;-1.502819551;-3.305581149;-4.982745755;13.81833446
-6.36055805;-6.513904628;13.24758769;5.482951892;7.366045557;-3.194968579;-0.603716745
-4.29726604;2.442871661;10.6625762;3.450421888;-3.871059942;-3.120952114;-10.90217329
-25.26373378;-0.582809205;-13.73786441;0.490496689;-19.32966715;2.582320137;4.802007903
-67.9738191;-11.89275759;-7.64853719;1.955994118;16.07548093;-10.37983801;-21.37314246
0;-18.2477419;6.296364249;4.848544213;2.2617256;19.69238271;17.17170368
60.61995926;18.34916886;30.3273274;0.962696012;1.57806292;-13.93829202;11.29229192
105.1860182;3.781194068;31.72016156;-4.836818306;-0.811191176;6.626545426;-19.18703291
-59.46410965;24.6632929;27.42767938;-1.951223381;-6.645139074;-5.59706049;-4.229415332
31.15848333;-12.16405873;-12.33229808;0.976801462;8.378436701;4.048090797;-1.981882584
28.90577651;-55.32921528;-45.64696906;5.330181839;-2.884334798;-1.525661538;4.816457316
11.81769849;-18.27557077;17.63633732;-0.963855888;-1.886421766;-4.025801808;13.0069173
70.05564186;-8.894211613;10.40605942;0.963855888;-1.766106632;4.532432402;-1.983794362
12.27163911;2.102537659;15.78957249;-0.963855888;0.88467141;-0.510413643;-9.690757934
-14.72262722;29.45542025;31.70438789;5.272694681;-0.044115072;2.480385033;9.0340332
32.56514486;-10.97896757;-11.79658064;5.204094694;0.472340625;-2.994989486;-0.089116632
57.13456336;16.73920216;18.59124864;-1.412597113;-1.450504143;2.456075647;3.951010722
14.0907211;5.918141938;22.24731459;-1.891256478;-0.549842478;2.393344606;5.877452602
-10.37522142;-5.18926197;8.665341423;-3.331369643;4.678701304;-5.839519768;-14.65256857
-11.05151699;21.03259634;21.82653457;5.222626121;3.590068608;4.801978439;-1.101929072
-29.90494379;6.654941388;2.299096065;10.70453642;-4.809332705;-1.948220793;8.169106254
-69.02322181;-5.544666596;-13.08778384;7.281202183;2.205649803;-0.491080959;0.891907438
-20.50383135;-9.439729813;21.40586428;-0.902934921;2.016673121;2.321217583;-5.388856753
4.025528776;11.15458819;42.91927876;-0.452232948;4.212524824;-0.514777199;4.596871384
16.99046656;-11.92565304;-2.838613441;4.946662255;2.60752909;2.684277307;-2.681635886
-19.40091912;3.365511268;-8.941989509;0.44667788;5.25545062;-1.007309429;-7.610152751
-69.66460886;-8.385197892;-22.89364676;8.39346092;-12.61812654;0.355589666;10.05314294
-0.960384615;-74.50635834;-72.15594595;3.048463312;-2.439446588;-6.201674614;-13.03044773
-50.85663785;-25.52610342;-9.560478064;1.299405582;8.626602872;9.125871106;7.00759755
75.10648657;15.60172906;26.77612533;-10.95958968;-1.721650444;-1.466062573;16.09953448
28.52116852;83.49176514;90.74648935;-4.020134341;-8.607026072;3.151660422;-17.15127197
17.31634179;27.77577715;35.30598759;0.448682044;-3.49839085;-4.300643622;14.49375559
-37.47899725;-28.99808512;-2.554973287;5.345291125;-0.565408426;-2.894527472;3.388010949
-60.48033004;-57.92937153;-24.4087994;10.48094896;-6.100199357;-3.616297861;-5.905400682
-22.25739663;-66.28226616;-48.51787528;7.261277883;4.995922418;-1.201803608;-9.553048851
-61.11568369;-8.00049463;-21.05290393;0.423056623;4.057936059;0.800398657;9.858911076
-0.847457987;9.700684266;-5.285709074;0.422609654;1.365670673;-0.00040322;-23.54255991
-42.47425865;18.05759211;1.571326212;-2.117527444;2.11928549;1.205021292;0.584037398
21.5772329;-4.558023182;-12.21836696;-6.852415972;-2.148891482;-0.402210581;13.97585875
-4.042707068;9.361923997;6.045715179;10.65593116;-3.820670455;-1.203410031;6.601257037
11.56921583;21.43415992;-7.357629894;7.500219738;1.96483106;2.40561605;-1.492320973
33.22981766;38.89138796;7.818483883;2.879189809;0.023020248;-2.003408692;-3.373169867
32.17229634;-27.61605263;-6.009036541;1.635994101;-0.616591365;-0.000400801;-9.575022027
-26.95918989;-21.30704964;7.34455614;-2.867395791;0.54295318;1.601202136;1.98068799
25.84030804;6.75962982;11.45567516;10.94847872;-0.245842158;0.39461527;2.806216985
17.53705515;-11.37556425;5.053933163;-0.400200133;-2.375020935;-0.799987581;5.940038534
-9.037890095;17.36407662;21.56035764;0;0.541338283;-0.398206525;-9.509917771
-15.27898838;26.73777277;14.88382297;0.800000267;2.189944237;-1.58927362;1.178162656
2.650269951;10.13015992;10.40757382;7.128901563;-3.964415946;0.794043159;6.706037009
-20.12029535;23.3984825;21.31257135;1.175895016;3.399389131;3.177375604;-6.693223869
26.8557211;-6.383367402;8.936840507;8.902157454;-0.212355994;-0.412296696;4.303965699
8.081083;-5.060800697;1.411150213;2.290082591;-0.15526711;-0.01392285;-10.20094651
25.70175591;-0.645982287;-11.16867653;5.293082907;1.062691967;-1.571697713;1.081750351
-19.56721987;8.412876381;13.70189412;0;-2.420783761;-1.171684638;6.39333768
