# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; HStartsTotal
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_granger__graph(n_components=1)
# prediction_type; rolling
HStartsTotal;Imports
2.088518489;-1.793193953
1.0327815340000002;9.516280621
-59.30819233;-5.366970802
-57.46759811;-2.693839628
31.55830611;0.9449089009999999
14.47703963;-24.89290348
12.14710511;10.33960374
-5.320413015;-10.37547657
19.70296345;19.46481319
36.19526803;9.321597117
44.44414087;19.79892976
4.703090999;8.580850016
75.10166417;7.791154354
-32.66100428;27.34495973
-14.23452082;43.66793099
-37.62268499;19.97302524
-55.90363711;12.69568361
-58.64221748;5.562136829
9.691773714;-10.05869347
52.146241499999995;2.443878646
-38.71066438;-26.77852246
4.653897774;14.79719398
3.636260552;-20.81119527
3.798115585;-2.96364465
47.11136125;1.136511161
46.44667058;10.06070035
-7.5816287760000005;12.04104296
24.31921055;-6.743945126
38.49941927;15.81714586
15.50709959;8.218011471
-2.3922830000000004;8.83068689
23.03639513;-5.780347573999999
22.83788502;6.693850682999999
10.10562873;10.55802874
26.90914797;0.3553187
30.83621747;17.71507208
3.351648874;15.25025863
-52.44706316;24.44219341
-28.87210469;19.03869764
-52.57236295;4.503545989
0.208806617;-3.825688405
29.30782995;0.859409258
7.181546981;6.108649365
8.687988549;10.91291319
-18.359802;11.30433106
36.97314451;0.765029878
-16.77715745;17.17101697
11.47194748;6.023407657000001
5.107405585;20.31131047
-5.464937835;7.859213887999999
-5.947589154;-1.0170511009999998
-1.6285546480000002;17.1916628
15.86697322;1.274730288
-32.09840412;-0.243174145
4.512247776000001;1.471088727
27.02585186;13.567273499999999
30.55883528;7.481446761
5.110145118999999;19.94478404
30.51628726;5.685452728
-16.5932278;15.7707353
-40.31292663;2.8920473510000004
9.963458626;-0.327039853
17.38799428;-12.32986972
11.52217444;-9.573798354
42.36508029;-5.567997107
11.55661138;0.622507664
-0.34564708;5.5593984370000005
7.0067573020000005;18.54177734
-4.7072228030000005;13.21273884
-8.774316222000001;5.824293212000001
-4.532272995;27.98940961
23.00940781;2.58424676
11.21865579;3.8079691189999996
20.415218;12.12357386
-6.073774779;16.81362854
-50.810365000000004;21.77059699
-10.73997277;11.14763914
3.422121352;6.0004075420000005
8.032095144;13.81432253
28.81384916;9.4617894
2.846069487;10.03976906
9.298259176;-1.062527862
13.83689527;10.888818800000001
-1.953874647;7.786055951
16.74376204;14.91774835
9.621278128;-4.596514838
-11.37339441;20.13368552
-3.241584498;16.91294799
16.92626193;8.313001868999999
-11.47205524;10.97413963
0.578735981;12.37092721
-15.20050921;18.13184745
-71.07640469;19.74533227
-29.21613059;-0.154014752
15.22948762;-35.48971924
58.40193489;-31.21559031
24.00504676;-0.091010125
-16.23875152;17.23908629
-36.59971786;28.95041019
-58.87845013;14.92628261
-21.851922000000002;13.82074851
2.7486458660000004;-5.4240496789999995
14.98403325;16.21461854
-17.93501319;7.81189581
15.04651339;14.65193895
6.612329379;19.44126636
17.97660907;1.163655662
-0.58813261;9.858233364
-4.232595788;-0.59946629
1.768783349;1.0596032690000001
2.119849292;0.948289079
12.70604066;-13.10770729
25.37958863;11.07502427
9.733005999;-5.833613616
5.223758171;-1.9922494919999998
-2.5647929940000003;-9.361639652000001
-3.080967644;11.30357468
0.7918591209999999;-5.089159385
7.2221284489999995;-7.230196721
