# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Emp-PtPer
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=10)
"Emp-PtPer";"Cons.RenDwe";"Cons.PurVeh";"HStartsVIC";"Cap.IntPro";"Gov";"Gov.NatLoc";"RetSales";"LabForce";"HStartsNT";"ExrateGBP"
8.695379876;4.256278257;-2.243695506;-46.32255269;20.51731776;7.140906064;2.050417196;9.985857581;3.367648187;-33.65131819;1.506908438
6.726460566;3.112371756;29.3931107;-41.0045643;3.350415121;-2.310737596;-2.487690758;4.14253266;0.653772148;-86.3733517;2.996892271
5.280536969;3.31900868;51.57909318;-53.08880148;7.346395658;1.824830143;2.407164114;7.672477073;2.624030076;47.16471088;-14.46822482
3.647934492;2.772948159;4.063011063;-29.68845359;19.36004928;14.19666095;16.13160014;11.85981911;3.088331958;41.4432835;-15.75593727
2.53390266;2.238002299;-59.37608702;48.55313748;13.132708;-8.567539525;-8.44243017;6.976793503;2.187410024;29.00599239;24.095482
5.62020423;2.919444956;27.62840958;21.3431826;6.820710075;14.5528863;12.5365057;5.672424443;2.120825804;11.91070562;6.266883048
0.111997629;4.168109981;13.13004619;33.30033865;13.14253283;7.145397086;9.203463598;2.465492811;0.843126731;-44.27336106;15.10431894
3.247436713;2.260733318;12.71271362;-28.11909517;6.177117411;-2.247795669;4.123824604;4.338115455;1.104741143;-84.32540508;12.59967364
0.907185391;2.336507069;8.323061003;37.17880021;13.44534538;1.561233027;-3.301624932;1.556995286;0.658446025;30.69877252;-10.47638526
2.074211109;2.821051952;0.602258583;-33.57806623;10.79525789;-2.865306977;2.782904616;0.055994947;0.570853218;40.68544682;-19.63917347
7.707738848;2.641333178;24.50936686;-0.699678222;-1.333581528;3.126533055;2.925653026;8.681695612;1.289853791;-9.790013964;-1.895078023
1.732964695;3.533310452;21.84529957;33.33297533;13.2834684;5.246291876;1.68947088;0.766309988;-0.611466607;40.31644907;-11.44797297
2.242317601;3.345137311;27.6090585;-0.164535703;-9.002194828;8.929953655;6.297968403;6.602980192;0.422860117;-30.1397749;-10.36674402
6.212430865;3.430809153;32.95227654;3.685781317;11.72086027;4.26202716;4.477337412;4.944769273;1.522393408;9.546992525;-41.68884425
1.263139391;4.300131292;-7.908767038;-1.770396449;12.90887193;-5.786551131;-0.47120144;2.00056711;0.791745183;5.248435223;-2.068036285
6.597227946;3.18459675;32.76332949;3.397682824;8.064513719;6.755175121;1.198331793;2.883820698;1.577356044;3.707162735;-25.44259051
1.693002217;3.394018527;14.03652792;-15.98666766;-15.45019646;8.550528397;16.94311875;6.945838363;2.248596491;14.85005309;-28.63814663
5.824951718;3.474878927;-8.163548652;-6.675343075;10.41183197;5.419590896;-0.696947615;3.325915115;-0.138276728;42.78369478;22.88010946
-0.555385612;3.404275867;-5.00811407;41.41885409;1.231401691;-0.436219622;4.339514411;12.67470168;0.066263549;44.12014849;12.91846404
3.000639202;3.684671678;13.17166272;9.468653048;0.409626252;4.684423107;4.787899273;4.815106588;0.581495885;28.96818678;24.13026912
0.847288536;4.542011865;-10.15927624;-3.063597088;7.570351002;-1.888419312;0.093571942;6.098271906;2.487699487;39.50076017;-10.41580096
5.320986604;3.162176396;19.25057667;24.31861615;2.536300839;8.177307697;2.172723072;5.22209998;2.213695117;-48.92563243;-2.06925718
3.56436557;2.980434265;7.82223174;-14.93656311;9.987378227;7.945519616;2.887525371;-2.386998103;1.509617805;9.158649314;-12.61097812
5.319112559;2.191571865;-62.61856974;-38.46061915;18.63750195;-0.782379703;-1.745919047;15.49716928;2.820893114;-100.94448;-1.903858554
5.818325646;2.024335221;102.2574507;-4.867377535;28.67755048;-1.014266319;-0.464214121;-6.220567876;3.218437144;-26.93665854;0.034696274
-1.426890993;2.374583518;-29.74554896;20.41424379;15.82574307;-1.899062592;3.514589566;9.71754476;-1.53876177;-38.85801712;-20.75660265
6.372962013;2.55239511;-37.25205895;4.457635439;17.45771032;3.279196863;0.341880363;12.65167385;1.727031523;-16.49718337;-5.03798928
11.09392446;3.018689994;-14.26643207;42.21569784;6.420345703;8.781763712;4.600004957;8.025999997;4.621668621;53.51780632;-2.971506285
9.798283651;3.021267425;7.778634414;21.10877977;-0.208877289;2.298022519;3.389850796;4.752275081;1.0777133;19.76153971;-7.336893844
