# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Unum-LFT
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=15)
"Unum-LFT";"RGDP";"Cons.OpeVeh";"Cons.Other";"Cons.Final";"DomSales";"Cap.MacEqu";"HSexfinVal";"IP.Man";"SPASXAllOrds";"IP.PCCR";"Emp.PtPer";"Emp.HoursPt";"X90daysBkbills";"M3";"Credit.Per"
14.3395657;1.261698029;2.00055988;6.342315762;5.127280914;7.033518058;-2.97873717;19.67126675;-0.513149525;10.79706314;-3.092229646;-1.987785084;2.184867981;-0.80666666;0.839132985;-4.811416549
16.22967185;0.899089459;7.142065855;6.243320939;0.414780031;-0.0750649;-1.354845756;-13.01906573;-4.648212409;22.07111671;-14.90855792;1.567666012;5.538962081;-1.633333337;-3.101391259;3.426406763
11.88304386;3.608223656;-0.272349708;1.438074531;3.932789768;4.503888912;12.65483398;26.62461704;-3.129090272;-10.15183431;-28.12355104;9.33996359;5.014340512;-0.89;1.548531906;2.567010998
12.28174328;2.79651682;4.335498344;5.701147642;3.518764664;0.667525264;-4.59375155;44.60723545;0.523217864;13.20889807;5.395544714;7.331497841;6.707871197;-0.773333333;0.947168678;-2.311272048
4.233206441;3.398147678;4.448957086;4.852806774;0.766587855;4.438212127;-15.34121851;24.60782703;0;-27.27301421;15.76323373;7.126197856;7.039748795;-0.95;2.154272395;5.252144519
6.459935768;8.019944257;1.86133421;9.054382272;1.748354055;15.18841154;117.6287482;-1.267908895;9.81327461;-19.93865073;-1.407626086;-2.848558783;-2.559070585;0.11;-3.191084067;0.980769449
-2.186716951;3.710301959;-1.86133421;-1.369161015;0.01925493;-1.397943777;-23.55591245;19.04555608;4.565680514;33.07151311;16.12192881;-6.598916971;-3.114277323;-0.186666667;5.194427602;-4.596098061
-4.341417086;1.807871367;7.18455659;6.057112763;3.405059099;4.148115753;-0.805755668;20.71224457;4.514154493;28.27086648;-10.52090381;-4.569406751;-2.189582607;-0.48;-2.946386192;0.976418744
3.378843004;0.222878481;0.523217864;-2.167292806;-0.450807585;-1.247734621;-3.181276258;24.33379652;-3.506597285;44.93375673;5.52367811;7.412985008;8.909592697;-0.316666666;0.20310832;0.657059104
-1.422765728;7.68577341;5.349686959;7.401388626;6.942329285;11.45640985;18.94046229;37.13648994;12.38489024;34.83921712;18.75343436;7.073028302;2.763146429;-0.093333334;0.194397238;2.978905068
-16.15279513;7.049187196;5.940449726;-1.87103582;2.300040988;7.340069466;35.23356462;36.14629935;4.366325951;15.50447483;-3.504951232;6.489083753;9.742044925;0.026666667;4.299853237;4.561675281
