# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Urate
# prediction_type;rolling
# method; FCBF(n_components=3)
"Urate";"Urate.LFT";"LoaAdv";"BM"
0.266666668;0.1;0.211913911;1.993404589
-0.233333334;-0.166666666;1.747475135;0.698530063
0;-0.066666668;-1.573402641;-1.403402761
-0.033333334;-0.099999999;2.516479558;-0.603326413
0.166666668;0.533333333;-3.677663855;1.179824796
-0.100000001;-0.433333333;-1.261609043;-2.176011296
0.133333334;0.199999999;1.123913517;-0.707645574
-1e-09;0.166666668;1.998684423;2.239092886
-0.099999999;-0.366666668;-0.01811002;-3.039383898
0.033333333;0.200000001;0.158979951;3.35049178
0.033333333;-0.066666667;0.666677244;-1.141131097
-0.133333333;-0.066666667;0.505323111;1.432916729
0.233333334;0.100000001;-0.191193306;0.100190879
-0.200000001;-0.200000001;0.646954508;-1.465209487
