# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; HCE-MV
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=2)
# prediction_type; rolling
HCE-MV;HStartsTotal;HSexfinNum
0.892331777;2.088518489;2.088518489
-3.2870124589999996;1.0327815340000002;1.0327815340000002
3.239384907;-59.30819233;-59.30819233
6.770246731;-57.46759811;-57.46759811
-8.723633673;31.55830611;31.55830611
9.951232591;14.47703963;14.47703963
5.700608562999999;12.14710511;12.14710511
-13.29502096;-5.320413015;-5.320413015
-4.846251675;19.70296345;19.70296345
1.612604315;36.19526803;36.19526803
1.499091824;44.44414087;44.44414087
-2.78746454;4.703090999;4.703090999
1.4796394659999998;75.10166417;75.10166417
0.5767712970000001;-32.66100428;-32.66100428
-4.94022477;-14.23452082;-14.23452082
0.7105816779999999;-37.62268499;-37.62268499
-3.537772923;-55.90363711;-55.90363711
2.2789046969999998;-58.64221748;-58.64221748
2.2012787769999997;9.691773714;9.691773714
-2.700252252;52.146241499999995;52.146241499999995
-4.840893536;-38.71066438;-38.71066438
-6.755761274;4.653897774;4.653897774
13.50737922;3.636260552;3.636260552
-8.627557866;3.798115585;3.798115585
10.42136812;47.11136125;47.11136125
-1.958460105;46.44667058;21.18582211
2.054865301;-7.5816287760000005;-15.49937131
-6.125879327000001;24.31921055;19.133575699999998
-6.402283882000001;38.49941927;33.81956627
9.25689011;15.50709959;10.55823618
-1.806563863;-2.3922830000000004;-4.989582778
7.2437258479999995;23.03639513;12.79757975
-2.931659986;22.83788502;22.20612752
0.866319628;10.10562873;2.37973508
-11.3142873;26.90914797;30.07964686
8.931626368;30.83621747;30.56576559
-4.961867903;3.351648874;1.069066363
6.487309108;-52.44706316;-43.56879882
-2.663000128;-28.87210469;-34.96908981
-5.7549483089999995;-52.57236295;-53.39371101
10.11504028;0.208806617;-11.17411801
-2.6432681540000003;29.30782995;17.69490555
-5.889532944;7.181546981;-4.488360191
-0.92224943;8.687988549;6.800945763
0.6149117279999999;-18.359802;-19.0642992
-7.767234342999999;36.97314451;11.4716614
5.249523433999999;-16.77715745;14.859566699999998
-5.453856223;11.47194748;11.58272717
-3.7939869510000004;5.107405585;2.72760194
16.05425496;-5.464937835;0.050806554000000004
-17.29526569;-5.947589154;-0.330358012
16.38211227;-1.6285546480000002;-0.004237089
-11.8684355;15.86697322;17.38719315
0.516897729;-32.09840412;-35.05062334
4.4579377319999995;4.512247776000001;8.383166494
1.7473546919999998;27.02585186;27.48611603
-0.007873294;30.55883528;35.67304925
4.620501432;5.110145118999999;4.166531656
-9.264905008;30.51628726;23.94749499
8.217504462;-16.5932278;-18.22027241
-1.794529703;-40.31292663;-52.87204713
-10.15467045;9.963458626;11.83420916
8.682727671;17.38799428;7.121684983
9.139909226;11.52217444;14.56082084
0.210533547;42.36508029;44.53914573
-6.462569308;11.55661138;18.88314839
1.049951192;-0.34564708;3.56293835
1.030643887;7.0067573020000005;-0.032072934
-6.993051521;-4.7072228030000005;-18.43102662
-0.385286795;-8.774316222000001;-18.76845451
7.7636251110000005;-4.532272995;-8.258128382999999
-5.994493522999999;23.00940781;23.2742039
-1.78978901;11.21865579;8.884932931
2.115955173;20.415218;9.596070241
-1.088609882;-6.073774779;-18.172603100000003
-4.404421079;-50.810365000000004;-55.72577671
7.279545767;-10.73997277;-1.697538681
-7.040478191;3.422121352;7.435064604
12.97750741;8.032095144;12.88021547
-11.50040123;28.81384916;24.7469648
1.4338186819999998;2.846069487;-8.27144587
2.995872842;9.298259176;7.347956842
-3.4334480939999996;13.83689527;21.54928176
10.26793767;-1.953874647;0.26206991399999996
-9.492306665;16.74376204;17.64860981
7.2054585620000005;9.621278128;-1.8350917969999998
-2.2824185000000003;-11.37339441;-14.83310909
-0.0031919440000000004;-3.241584498;5.42478093
-2.2567010730000003;16.92626193;25.44502527
0.7515252609999999;-11.47205524;-8.740049037
-0.000355328;0.578735981;-4.102600004
-1.514075875;-15.20050921;-30.79301815
-0.39011852700000005;-71.07640469;-78.02118543
-1.1652714990000002;-29.21613059;-23.67534607
-3.5370420439999997;15.22948762;27.26640903
12.03966252;58.40193489;78.95715905
-3.5130598139999996;24.00504676;31.29089297
-0.389621674;-16.23875152;-8.295471796000001
0.37927643899999997;-36.59971786;-37.38029161
-4.218430335;-58.87845013;-70.10658768
-0.40594142299999997;-21.851922000000002;-28.68911611
4.254031253;2.7486458660000004;-7.166827391
-3.1011561139999997;14.98403325;7.681855604
-0.0094444;-17.93501319;-19.51203758
-1.188898891;15.04651339;5.483981236
-1.2170520740000002;6.612329379;-1.5326045130000001
1.95910632;17.97660907;24.00151163
0.7904001420000001;-0.58813261;-12.09618467
3.609833325;-4.232595788;0.879790559
-6.025151071;1.768783349;13.29252721
2.806172863;2.119849292;3.653944497
-4.089532838;12.70604066;17.50413966
2.0045065440000003;25.37958863;22.90057772
-0.027434725;9.733005999;6.614409285
3.743741262;5.223758171;9.053149957999999
0.832031548;-2.5647929940000003;-0.902171231
-2.4987006259999998;-3.080967644;-1.1570014240000002
-0.00391442;0.7918591209999999;-5.939159736000001
-0.84427547;7.2221284489999995;4.4342044330000006
