# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; Gov
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_granger__graph(n_components=3)
# prediction_type; rolling
Gov;Cons-Other;Cons-Final;HSexfinVal
4.194470664;0.203510562;4.506666313;11.09550276
-0.552235124;19.26408495;9.297643731;8.73966356
6.125980765;-2.5285763759999997;5.490534674;-76.30424091
2.711874794;-7.583632297;-5.433982251000001;-69.09729128
10.55174941;9.627183756;8.458177366000001;66.66988287
5.166959114;7.8810814670000005;2.854938419;21.81537257
-4.461344486000001;2.655926286;-0.738214853;21.65613463
-1.7599386080000001;-1.705355496;1.369887888;7.888529461
6.538054575;6.778227621;2.157544359;22.60551444
3.028310102;12.13607223;5.946772434;56.51745417
10.21384897;7.890863378;4.000278617;67.17147485
4.532488337;4.678415905;4.044139922;18.51344162
-4.44672373;3.4079943999999998;-0.030750476000000002;102.0718468
5.148796841;23.07600811;6.237628784;-17.69335676
-3.9866632039999996;4.816876251;5.83933172;3.39885627
5.6521756729999995;15.83183676;8.097109374;-24.39990987
20.15101736;3.7267350319999997;3.26973897;-55.13795777
-16.4944108;0.926283702;3.637550973;-45.75749787
6.20516307;1.3854160469999999;2.867659717;4.62230514
6.942717753999999;6.931526396000001;3.974845375;64.22347306
7.742804407;0.829797563;2.542577481;-43.98303508
-3.881260267;-3.177622158;0.372784739;6.821868257999999
2.212723065;-0.684215695;-2.185534343;8.634008745
7.001799524;8.059777432999999;1.1304158579999999;12.03004248
2.173585207;1.265706035;1.379519138;68.83741651
10.75914453;6.342315762;5.127280914;19.67126675
-5.699980656;6.243320939;0.414780031;-13.01906573
-4.914677286;1.438074531;3.932789768;26.62461704
1.45307482;5.7011476420000005;3.518764664;44.60723545
13.95901606;4.852806773999999;0.766587855;24.60782703
-1.7037033030000002;9.054382272;1.748354055;-1.267908895
2.472811055;-1.369161015;0.01925493;19.04555608
-4.237725538;6.057112762999999;3.405059099;20.71224457
-1.263892378;-2.167292806;-0.450807585;24.33379652
7.322343759;7.401388626;6.942329285;37.13648994
5.769153306000001;-1.87103582;2.300040988;36.14629935
-1.794595619;6.576582589;2.390868219;9.323164234
7.140906064;8.345861029;7.740457104;-39.09013136
-2.310737596;4.2362398510000006;2.920979076;-31.796813500000003
1.824830143;10.21171122;4.479523371;-43.10767357
14.19666095;-5.073269291;4.762130236;2.673243142
-8.567539525;7.8023851660000005;0.688295184;11.48696028
14.5528863;6.8031977779999995;4.2691112460000005;-1.852834626
7.145397086;5.612221506;3.716175479;13.63021657
-2.2477956690000003;4.528575109;2.694262505;-13.31351569
1.5612330269999999;3.12801299;0.874654667;13.38722244
-2.865306977;2.870335228;2.963001797;23.85135049
3.126533055;5.679608606;3.919078325;28.177318
5.246291876;4.520468682;6.368114186000001;9.970747088
8.929953655;2.1563394540000003;6.075749725;15.51482666
4.26202716;0.622040134;4.8801669610000005;8.439612613
-5.786551131;6.557064518;0.650935864;-2.766939902
6.755175121000001;11.39803145;6.2742876679999995;21.12348655
8.550528397;12.60323598;7.492349327;-14.43904771
5.419590896;0.7844677940000001;3.977668252;23.32848898
-0.43621962200000003;7.556182774;7.333887197999999;39.28008225
4.684423107;-0.92390648;3.336815966;44.03820021
-1.888419312;-0.668595463;3.772937053;15.42928782
8.177307697;1.848764364;5.150887522;37.13043925
7.945519616;-2.570042252;1.259151845;-14.47768562
-0.7823797029999999;6.039009281;3.200261675;-64.00003887
-1.014266319;4.947059523;4.533574125;-14.82999564
-1.899062592;3.347299868;1.8168388969999998;5.995979006000001
3.279196863;11.04025923;3.9823652000000003;42.96064841
8.781763712;0.918484904;2.9287036910000004;61.35633776
2.298022519;2.407035787;1.260611179;35.605923499999996
1.049208016;1.963017884;2.870532357;13.24758769
1.1452001109999999;2.808031045;4.857811753;10.662576199999998
3.677000782;5.136431538;6.665551306;-13.73786441
2.8429979160000003;2.194600731;5.301534301;-7.64853719
3.3128986639999995;6.191644937;1.737539097;6.296364249
3.683568945;1.236052486;1.9015603319999999;30.327327399999998
4.704680781;0.091407679;4.3455869830000005;31.72016156
5.441729692999999;4.860106346999999;5.175816747;27.42767938
2.658690109;8.044963915;8.216166005;-12.33229808
5.64488487;5.100091074;6.119111563;-45.64696906
0.38716659700000006;7.744549961000001;3.9008530689999996;17.63633732
4.909425052;8.814849777000001;5.303823523;10.40605942
2.287001746;6.815749318;3.829376698;15.78957249
4.579354228;1.398602823;0.233313997;31.70438789
-0.051577251;6.112588388;5.404922827999999;-11.79658064
1.7352330440000001;7.412442293;2.754253805;18.59124864
5.385446492000001;4.107461053;2.154680085;22.24731459
3.366240527;11.120975900000001;3.423062252;8.665341423
8.184719502;10.11279218;4.806048562;21.82653457
-1.698456501;6.211419757000001;3.701804759;2.299096065
3.3267003180000003;2.450517425;5.3097325;-13.08778384
3.278421003;9.013450322999999;8.382409828;21.40586428
3.878323864;3.47859145;3.575477029;42.91927876
1.7573695230000002;10.46449634;5.4694901929999995;-2.838613441
4.000680814;8.58343562;5.965596282000001;-8.941989508999999
3.416804205;4.223620906;1.83758818;-22.89364676
2.7272756780000003;-5.540022246;-2.100186002;-72.15594595
12.89247248;-2.986354755;-1.226324483;-9.560478064
0.878454016;1.6656068259999999;-1.0979664740000001;26.77612533
-2.361988663;6.326902896;0.8875436309999999;90.74648935
-1.163462281;2.861194933;3.962386861;35.30598759
3.7189681219999997;5.0074776839999995;0.786528331;-2.5549732869999997
1.42269867;7.138411382;4.07393607;-24.408799399999996
