# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;LabForce
# prediction_type;rolling
# method; Part-GFS_te(n_components=7)
"LabForce";"RGDP";"Cons.RecCul";"Emp.JobVac";"Cons.Hea";"HCE.DTA";"InvLevel";"Currency"
-0.138276728;5.671514142;6.684396649;12.2;4.214030745;14.42336214;1.965357125;-0.788469024
0.066263549;3.077664237;10.42655027;-14.8;11.55571365;-1.795470324;4.424525869;-0.153816573
0.581495885;1.898103872;-0.829732363;13;10.85982747;-6.831187279;6.526253145;-1.310747753
2.487699487;3.609118265;7.032469633;6.7;-11.05077345;11.84391487;11.19798262;0.470093474
2.213695117;6.618342439;3.284952637;2.7;6.441566425;-5.145133553;8.578172899;-0.117904977
1.509617805;2.917270031;3.826495573;8.5;-13.83074129;-4.426047925;5.854370425;2.642772385
2.820893114;3.106348663;5.836614913;-2.2;3.422411709;3.833020432;5.43523943;-3.452698421
3.218437144;0.272487352;16.00471594;-1.5;20.36940422;35.08293495;6.6084681;5.209455943
-1.53876177;-1.764559597;-14.19810232;0.4;-1.837394136;-58.16017278;12.31901281;-1.844968574
1.727031523;5.075855603;4.950800111;-15.2;22.26609835;-4.260541014;1.778077926;-7.823786096
4.621668621;2.906719607;3.641222228;-5.6;6.450823754;33.82440748;4.267258922;7.574868107
1.0777133;4.512751483;1.664535052;-3.8;8.759267861;-8.714295743;-1.268002501;-7.116811
1.499555039;4.175155576;6.526877485;-1.7;15.29896571;9.974402693;-0.444362201;13.15396794
1.013436085;3.320078483;10.69789742;2;-2.53660703;-2.855869501;-1.457381552;-8.021161734
0.15705098;6.240952365;14.12830964;5.7;4.415174723;1.796444362;-0.744412227;-2.91234831
2.431188111;1.510204053;8.503808602;6.8;16.11026423;-6.094963063;-1.776505529;2.256164544
2.695634911;3.236882989;4.571149758;-5.4;-11.79626196;-11.82841688;1.803955836;-5.557749207
3.657882947;0.135776366;-1.145066265;12.1;15.83902649;14.31680143;1.10038103;4.989462145
-0.616247436;3.065300223;8.087963109;-5.1;13.713341;-7.894145013;-4.02064785;-1.867670487
0.33029836;6.135649205;11.05524913;-0.5;-11.78317853;-0.987631003;3.457129682;1.283413984
1.54489796;6.532693146;13.75278147;3.4;14.38234172;10.74886406;-1.424068431;1.23235611
0.461776392;2.996086065;4.985632636;-3.7;9.801926881;-11.68642219;6.475112278;-1.387024446
1.811341876;2.251214891;7.389436343;23.3;4.835901025;10.13034171;9.593903803;-0.065892355
1.568497057;3.452363018;2.755288654;-2.5;8.163072639;-6.27124338;14.10577906;2.430577702
3.280892462;2.855261328;4.449827826;14.6;8.813644999;-0.477609288;5.185143801;-5.05225648
4.02802185;3.478460043;6.632741426;7;-21.19301771;18.11047913;8.598578353;6.884948484
3.517061409;2.089582331;6.402884254;-5.3;6.378213449;-29.16779696;9.361181663;-6.957066334
2.098297341;4.864112139;2.885647991;-1.9;-1.97345637;23.42655103;1.856502151;2.759261256
1.160275072;2.96288629;0.941205297;-4.9;14.5235054;-14.65509829;2.202188113;-0.846369724
1.783562197;0.865102462;8.585043978;10.2;7.648416579;8.55548026;0.5988076;4.564841686
2.642891897;1.027268677;4.014235985;9.8;3.902469978;2.946581698;-0.020399143;-0.941438688
3.662471416;4.191102296;1.86426204;0.8;12.98209129;-6.656859203;-2.544433696;-2.364632468
1.229580006;6.262424786;11.00671336;7.2;-15.10599009;5.9346985;4.660392209;1.377806056
2.714824754;6.132959408;1.985451648;-1.3;15.78894832;-9.815609693;3.98438494;-4.423897921
2.820446107;3.302626747;4.431558309;7.8;3.566524;-0.001791667;6.147219387;6.384199611
2.772678081;2.944304662;9.371304118;4.7;7.1220985;5.48641347;5.436601698;-2.270584381
