# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; EXrateKRW
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=2)
# prediction_type; rolling
EXrateKRW;HSexfinNum;HStartsTotal
-35.33784635;2.088518489;2.088518489
37.94851688;1.0327815340000002;1.0327815340000002
-10.85723192;-59.30819233;-59.30819233
9.787432212;-57.46759811;-57.46759811
1.308789427;31.55830611;31.55830611
-63.13915109;14.47703963;14.47703963
19.25884877;12.14710511;12.14710511
10.45153593;-5.320413015;-5.320413015
3.986550199;19.70296345;19.70296345
-8.887209017;36.19526803;36.19526803
-10.23340131;44.44414087;44.44414087
-3.33452123;4.703090999;4.703090999
17.24615195;75.10166417;75.10166417
-0.223710405;-32.66100428;-32.66100428
8.432321462;-14.23452082;-14.23452082
-17.78943239;-37.62268499;-37.62268499
-40.40804936;-55.90363711;-55.90363711
0.96548447;-58.64221748;-58.64221748
14.05845594;9.691773714;9.691773714
-1.265161928;52.146241499999995;52.146241499999995
14.66135302;-38.71066438;-38.71066438
22.14703868;4.653897774;4.653897774
-16.68264779;3.636260552;3.636260552
6.9177098710000005;3.798115585;3.798115585
-5.217067749;47.11136125;47.11136125
14.03232443;21.18582211;46.44667058
5.696411218;-15.49937131;-7.5816287760000005
-2.693735831;19.133575699999998;24.31921055
7.076616046;33.81956627;38.49941927
-15.28243549;10.55823618;15.50709959
-21.58117017;-4.989582778;-2.3922830000000004
7.807331037999999;12.79757975;23.03639513
-0.7630007609999999;22.20612752;22.83788502
-8.1142361;2.37973508;10.10562873
-1.112471126;30.07964686;26.90914797
26.05987841;30.56576559;30.83621747
8.077317022;1.069066363;3.351648874
4.929039947;-43.56879882;-52.44706316
7.995699294;-34.96908981;-28.87210469
-15.86063293;-53.39371101;-52.57236295
-25.54240457;-11.17411801;0.208806617
20.74487737;17.69490555;29.30782995
2.297432735;-4.488360191;7.181546981
13.98054287;6.800945763;8.687988549
19.09192803;-19.0642992;-18.359802
10.24292378;11.4716614;36.97314451
14.40730015;14.859566699999998;-16.77715745
6.165137367000001;11.58272717;11.47194748
1.130246895;2.72760194;5.107405585
-10.55903723;0.050806554000000004;-5.464937835
101.89366240000001;-0.330358012;-5.947589154
73.33067790000001;-0.004237089;-1.6285546480000002
-68.05581479;17.38719315;15.86697322
-39.88021656;-35.05062334;-32.09840412
-0.9618340870000001;8.383166494;4.512247776000001
-12.13598339;27.48611603;27.02585186
7.683928953;35.67304925;30.55883528
3.5854485339999997;4.166531656;5.110145118999999
-14.67363831;23.94749499;30.51628726
-31.29262268;-18.22027241;-16.5932278
-22.40227036;-52.87204713;-40.31292663
-15.89670756;11.83420916;9.963458626
5.413171587000001;7.121684983;17.38799428
16.03968482;14.56082084;11.52217444
-1.717464146;44.53914573;42.36508029
-0.672137141;18.88314839;11.55661138
-0.284085913;3.56293835;-0.34564708
13.45640524;-0.032072934;7.0067573020000005
3.656784755;-18.43102662;-4.7072228030000005
-17.29059419;-18.76845451;-8.774316222000001
8.773239337;-8.258128382999999;-4.532272995
26.60221819;23.2742039;23.00940781
30.72240867;8.884932931;11.21865579
-5.744917452;9.596070241;20.415218
47.33510521;-18.172603100000003;-6.073774779
12.45600911;-55.72577671;-50.810365000000004
-32.01135901;-1.697538681;-10.73997277
-3.493188154;7.435064604;3.422121352
0.987682993;12.88021547;8.032095144
-13.60799894;24.7469648;28.81384916
-8.220067511;-8.27144587;2.846069487
3.6467888680000002;7.347956842;9.298259176
-11.08368245;21.54928176;13.83689527
-26.65438629;0.26206991399999996;-1.953874647
0.42099456799999996;17.64860981;16.74376204
5.9621146860000005;-1.8350917969999998;9.621278128
3.8085484139999997;-14.83310909;-11.37339441
6.45189877;5.42478093;-3.241584498
16.19251119;25.44502527;16.92626193
8.281113077;-8.740049037;-11.47205524
17.64238733;-4.102600004;0.578735981
25.58885863;-30.79301815;-15.20050921
41.39710797;-78.02118543;-71.07640469
-9.365330166;-23.67534607;-29.21613059
-25.72006908;27.26640903;15.22948762
21.29433455;78.95715905;58.40193489
18.78246868;31.29089297;24.00504676
18.48561646;-8.295471796000001;-16.23875152
11.64775625;-37.38029161;-36.59971786
-12.0308196;-70.10658768;-58.87845013
-1.317076933;-28.68911611;-21.851922000000002
18.51831232;-7.166827391;2.7486458660000004
14.48705909;7.681855604;14.98403325
4.854504847;-19.51203758;-17.93501319
8.640067497;5.483981236;15.04651339
-2.673646076;-1.5326045130000001;6.612329379
3.6095856160000004;24.00151163;17.97660907
11.90729655;-12.09618467;-0.58813261
-9.860024281;0.879790559;-4.232595788
2.8941235539999997;13.29252721;1.768783349
-17.6898032;3.653944497;2.119849292
4.416503583;17.50413966;12.70604066
-13.77994937;22.90057772;25.37958863
-35.904072;6.614409285;9.733005999
-13.82479023;9.053149957999999;5.223758171
-2.8905921;-0.902171231;-2.5647929940000003
-3.1071495010000003;-1.1570014240000002;-3.080967644
-4.756632778;-5.939159736000001;0.7918591209999999
-8.299933043;4.4342044330000006;7.2221284489999995
