# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;90daysBkbills
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=4)
"90daysBkbills";"Cons.Other";"Cons.Final";"FedFunds";"Emp.PtPer"
0.296666667;10.46449634;5.469490193;0.15;5.261281207
0.396666667;8.58343562;5.965596282;0.25;-0.921339972
0.473333333;4.223620906;1.83758818;0.326666667;6.920488054
0.21;-5.540022246;-2.100186002;0.273333333;4.119933797
-0.356666667;-2.986354755;-1.226324483;-0.076666667;-3.957134571
-2.383333333;1.665606826;-1.097966474;-1.886666666;8.194563308
-1.706666667;6.326902896;0.887543631;-1.67;3.129627608
-0.193333333;2.861194933;3.962386861;-0.596666667;4.008117782
0.11;5.007477684;0.786528331;-0.02;8.478425672
0.683333333;7.138411382;4.07393607;0.476666667;4.066098272
0.276666667;3.266893009;1.351573579;0.35;5.322869507
0.52;7.645758409;5.5553161;0.573333333;-3.627847626
0.05;7.010648631;3.512579046;0.1;2.732081447
0.153333333;0.153721996;4.254576679;0.16;2.919042155
-0.02;2.573735421;2.603698419;0.09;-1.307296193
0.03;4.796657357;3.055585571;0;1.617353478
-0.086666666;3.515251527;1.582090143;0;2.747773194
-0.256666667;2.653458842;1.03424264;-0.23;0.415534679
-0.213333333;1.838129532;5.179941135;-0.27;0.554704813
-0.623333334;1.594098051;1.688684422;-0.396666667;3.818095389
-0.23;-1.860399795;1.745011868;-0.353333333;-0.24102452
-0.383333333;-1.660984146;1.224275362;-0.316666667;-0.593301733
-0.17;3.66866477;1.210988774;-0.183333333;7.47032932
-0.12;2.963519882;1.359660155;-0.15;2.505756913
-0.233333333;-1.376332849;3.215747092;-0.25;1.429791091
-0.053333334;4.027761139;2.327372415;-0.1;4.365523099
0.043333334;3.901342201;2.168280707;0;2.813575176
0.053333333;-0.258908995;2.49262585;0;-1.707778065
-0.043333333;4.976113363;2.119232318;0;2.575907606
0.093333333;1.446861395;3.21746141;0;2.180866542
