# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; HStartsNSW
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_granger__graph(n_components=6)
# prediction_type; rolling
HStartsNSW;Imports;PIMP;PEXP;Exrateavg;Cons-Final;ExrateSGD
-6.874321211;-1.793193953;-50.19334541;-49.90572641;-54.46786474;4.506666313;-49.07031776
10.25151292;9.516280621;13.32128842;11.90121964;11.58323254;9.297643731;26.40854143
-56.59413376;-5.366970802;-24.2423685;-25.53765868;-30.58416614;5.490534674;-29.89874165
-61.81240864;-2.693839628;-0.978354029;-0.953644025;-3.038538778;-5.433982251000001;19.3198125
43.18843738;0.9449089009999999;-4.232215341;-6.621401101;-11.49250319;8.458177366000001;11.08954579
-2.623345366;-24.89290348;-59.00025761;-56.69709165;-65.37703810000001;2.854938419;-67.02580212
23.14261445;10.33960374;21.32661008;24.22163962;30.00134999;-0.738214853;29.01057753
-13.24880259;-10.37547657;6.89126338;7.219982996000001;-2.457010158;1.369887888;6.779116062999999
23.69603122;19.46481319;15.39237958;12.25449724;11.17934243;2.157544359;16.74826559
87.77741831;9.321597117;7.4901458210000005;7.9943621060000005;-0.47961631600000004;5.946772434;-5.058415903999999
12.82860941;19.79892976;-18.40331747;-19.77230099;-26.53591303;4.000278617;-18.82452974
28.16690729;8.580850016;3.8805501280000003;1.8275622759999999;8.624303617999999;4.044139922;8.795632806
63.12164985;7.791154354;31.30298799;29.20645106;34.82546205;-0.030750476000000002;34.88085618
-68.47122547;27.34495973;29.84628989;28.50430687;19.96489502;6.237628784;9.651809427
-16.65778965;43.66793099;9.550460729;7.968770945;11.21972157;5.83933172;11.15705115
-30.91000229;19.97302524;10.32220264;9.861901201;1.0624175809999998;8.097109374;-12.54401811
-66.784965;12.69568361;-22.65298961;-22.11752996;-22.47659672;3.26973897;-31.70822417
-53.28899402;5.562136829;-0.79327656;0.666938928;-1.349073791;3.637550973;0.15126078199999998
14.80990742;-10.05869347;9.434737147;10.8894664;10.22846169;2.867659717;5.600674436
55.87350702;2.443878646;-4.983084583;0.136908712;-8.879387894;3.974845375;-25.34899327
-57.00246158;-26.77852246;5.280406537;7.6824389570000005;7.11920908;2.542577481;0.401686088
3.763729408;14.79719398;7.788892881000001;7.942132417000001;4.386008813;0.372784739;4.179669294
33.75562661;-20.81119527;-24.42203168;-27.31680567;-27.06782147;-2.185534343;-30.09904153
-30.35233259;-2.96364465;2.042067818;3.141440242;8.542893297;1.1304158579999999;9.022568836
56.68982796;1.136511161;10.16759393;8.45139186;7.468392341;1.379519138;-2.177872877
55.11002612;10.06070035;6.621046877;5.960885372999999;6.229269362999999;5.127280914;-2.7120080310000003
-18.98942998;12.04104296;-11.00859982;-10.88331047;-15.75893165;0.414780031;-19.11350765
16.59347415;-6.743945126;-18.05533936;-17.720495800000002;-6.948640284;3.932789768;-13.24798461
32.37095635;15.81714586;1.198946825;1.663274202;-2.813610663;3.518764664;-3.6297497780000003
20.16859815;8.218011471;-26.40520576;-25.80912004;-29.28136161;0.766587855;-25.61480621
-16.02611426;8.83068689;-8.006121617;-12.53149115;-4.839282253;1.748354055;-12.21486798
50.73486496;-5.780347573999999;0.533092176;-1.890521712;2.808821015;0.01925493;5.066640382
-4.368282549;6.693850682999999;-9.945564438;-13.74298767;-15.566166500000001;3.405059099;-10.34243887
12.20712328;10.55802874;-13.63019204;-16.48655104;-9.910115159;-0.450807585;-14.97137693
31.70073304;0.3553187;0.181056876;0.215232964;4.851811506000001;6.942329285;3.9470329889999998
26.77098505;17.71507208;30.34238283;29.50907717;26.93574022;2.300040988;16.02731968
14.41096998;15.25025863;0.30389200899999996;-1.410402608;1.25039179;2.390868219;-2.822154212
-43.02138103;24.44219341;-1.3725158130000001;-1.9859261069999998;2.48911815;7.740457104;-2.10873647
-23.43674701;19.03869764;5.2518585269999996;4.538950245;8.834714962;2.920979076;2.395432017
-31.68763307;4.503545989;-9.813505455;-9.99722853;-16.60194928;4.479523371;-17.33911837
6.755667379;-3.825688405;-27.73222675;-32.66476788;-30.48092633;4.762130236;-27.05772292
3.401116387;0.859409258;20.04636584;23.82354289;31.99607966;0.688295184;22.80776521
11.28723158;6.108649365;9.630166345;13.3792911;8.23228308;4.2691112460000005;0.780660157
5.377709833;10.91291319;8.914581883;9.334059292000001;12.1589909;3.716175479;6.525307944
0.8113011309999999;11.30433106;20.03263332;18.66827887;16.19464358;2.694262505;13.41043664
52.86425207;0.765029878;-1.095133952;1.027317885;-2.306811515;0.874654667;-2.557223387
-14.87614779;17.17101697;5.538527515;6.585602419;11.40328082;2.963001797;5.597340551
22.69088881;6.023407657000001;4.134412651;4.624064207;0.0;3.919078325;-6.103517178
-12.37150403;20.31131047;-3.29225403;-4.978830031;-5.661005871;6.368114186000001;-4.157928068
1.776569201;7.859213887999999;-10.03813196;-8.205372591;-2.7460062080000003;6.075749725;3.795980767
-10.73835169;-1.0170511009999998;-7.392215277000001;9.856295787;-4.618988993;4.8801669610000005;-2.178588702
9.497602713;17.1916628;6.174728902999999;21.96780264;22.359757899999998;0.650935864;2.202728835
-0.576288851;1.274730288;-21.826690399999997;-23.03415675;-19.58196895;6.2742876679999995;-23.88490846
-22.05655584;-0.243174145;-14.34500833;-11.55138732;-19.37768128;7.492349327;-6.861852354
4.232618761;1.471088727;-9.39244637;-14.3399486;-5.853763007;3.977668252;1.6519004369999999
14.8484358;13.567273499999999;10.51722353;7.582855492;8.508373004;7.333887197999999;18.40440033
