# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;CPI-ALL
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=7)
"CPI-ALL";"LoaAdv";"Cons.EGF";"Cons.FurEqu";"Cons.OpeVeh";"Cons.InsFin";"InvtoSales";"FedFunds"
-1.787927427;4.460699965;13.51222674;-1.925008728;7.756539299;7.796810922;-0.009;-0.043333334
1.180806843;-3.50373629;-4.13829226;1.124047307;8.766858367;9.335354274;-0.007;-0.073333333
-1.773838827;0.514392576;15.21166376;9.97676421;1.774822657;12.19701494;0.022;-0.173333333
1.766007284;1.951614656;5.334015079;3.426145144;0.61933213;11.43941435;0.017;0.023333333
1.742787145;-0.011253562;0.179573516;10.1813936;-6.461456158;9.186787684;-0.007;-0.01
-1.186581811;3.03783933;-5.877804418;7.191204918;4.289585345;7.872883957;-0.015;0.16
1.136022179;-3.143488689;1.999095483;4.576540051;-0.533689205;5.257641316;-0.008;0.41
-0.599037491;0.853507745;36.11669495;27.23490511;2.705560018;4.756964074;-0.022;0.59
12.23693389;-0.896619572;-22.30839812;-32.48015526;1.720243044;-8.149210553;0.011;0.256666667
-14.0002401;-1.698507728;2.531377788;21.42723203;-14.70358281;4.173405186;0.038;0.07
3.257893383;-0.349743729;4.843302415;2.529430526;12.18687933;0.093636612;-0.01;-0.353333334
-1.119265507;-1.883779149;12.35815601;3.41733401;4.580034625;-0.312207322;-0.014;-0.86
-2.162132271;2.243385828;-11.15643836;3.663725605;-4.757241406;-2.003918086;-0.005;-0.1
2.658486449;1.237908189;2.98859326;6.077795121;5.457230647;-4.006500628;-0.012;-0.49
-0.034477209;-1.668142225;2.881978986;9.576083018;4.304155436;0.316932114;-0.023;-0.186666666
-1.07687119;16.35475162;0.253298161;15.12798974;4.856880173;4.2855302;-0.023;0.23
-0.017043222;-12.27963902;8.35277793;-0.254939461;6.357412907;1.688953952;-0.016;0.283333333
-0.016822881;-0.184599677;9.637052491;5.005213006;-0.252365939;-2.818898206;-0.023;0
2.53605025;0.975825615;-16.38932286;-2.08317365;2.809088637;7.442509672;-0.003;0
-5.121708898;0.656400145;9.717077028;8.392354188;4.610882355;0.462516914;0.017;0
2.536470135;-7.750586211;11.40507955;3.455745036;-3.401098881;13.24513933;-0.004;0
-0.518811381;10.12000016;8.989142341;8.390640533;8.24516465;14.69290145;-0.029;0.236666667
1.48893853;-5.552905761;6.189678633;5.616223703;4.180869155;5.678306291;-0.004;0.263333333
-1.516543429;1.396066633;-3.857310509;4.777056409;-0.20194881;5.179523461;-0.002;0
-0.503984035;-0.822459289;4.930724992;10.47286264;18.66676552;0.81025418;0.013;0
1.469608652;-0.659774066;3.886114955;3.977870544;4.104567304;3.141632136;-0.014;0
-0.021679988;-2.811494814;-6.343879984;1.749068306;-8.251690348;4.871899208;0.017;0.08
-0.505332857;3.057263845;-14.03377645;-3.165199503;2.408241883;13.66183213;-0.028;0.17
1.426785908;0.130456956;15.34134419;-6.694956375;-5.576497825;6.867796494;-0.01;0
-1.941572286;2.936469765;2.449768423;-4.409676223;-1.652732307;3.493245994;-0.021;0
1.413531501;-0.77743827;-0.534606285;2.558892123;2.006002533;6.440210676;-0.008;0
3.245507101;-1.60669409;7.495251004;14.62779486;-3.190720547;0.202762645;-0.023;0.16
-2.864895932;-0.29548107;-18.18320534;9.007771687;6.472950549;2.651775978;-0.011;0.253333333
-4.169649206;-0.359275336;16.15293498;3.698693746;7.249788737;15.72120046;-0.005;0.233333334
0.461627287;0.081336153;17.55120247;11.52694492;9.516166735;12.32039729;-0.014;0.103333333
5.048833524;0.643197574;7.646503504;0.210360247;-1.121076967;10.49187324;-0.005;0
-2.321550231;5.228718507;-22.04394456;11.96437999;1.978446477;13.90565412;0.01;0.15
0.880407454;6.715553547;21.76070858;4.818418754;3.854022774;1.674472288;-0.008;0.25
1.743559632;-6.5582793;-0.85091328;3.863310056;-1.033973988;-3.444680411;-0.007;0.326666667
0.366274124;-4.738801567;1.700020267;-0.749672238;7.218626722;-3.45223335;-0.015;0.273333333
-0.942644146;-1.357179009;-4.978727149;-2.660151595;-16.23045916;-11.25173426;0.009;-0.076666667
-6.071477926;0.861156;3.84618348;5.89863226;-17.43018352;-8.722036412;-0.003;-1.886666666
1.729263918;-9.147087462;10.14838791;-3.789134654;1.104537191;-7.764006917;0.003;-1.67
1.293334172;2.326739072;-2.565222415;9.406374047;3.334496827;1.698617942;0.031;-0.596666667
2.130483556;2.93789636;1.111304761;-12.77682724;12.38560487;0.501028964;0.001;-0.02
-1.729950626;-2.74641266;-0.346951188;10.27359801;1.285688382;-1.91204953;-0.038;0.476666667
1.672967412;0.356131215;-5.874231445;0.442886187;-3.678971556;9.39994128;-0.006;0.35
-1.286403591;-0.379228916;16.01870935;3.232934572;4.659364204;-6.392587774;-0.034;0.573333333
0.399032075;-1.312142213;3.839382849;2.77120525;3.823117559;-0.76163298;0.001;0.1
-1.257525127;0.842894927;1.137980853;-0.339291144;8.306329576;6.052840404;-0.007;0.16
4.083199082;0.898034272;-10.84077191;4.14861413;9.745135963;4.665864172;0.009;0.09
-2.092208447;-1.239569115;-5.045423265;3.963501658;-0.321041619;1.59717813;0.008;0
-1.233527244;0.211913911;-8.932239289;6.22360504;-4.233223367;-2.479514356;-0.034;0
-2.412067611;1.747475135;-6.0194615;1.494281448;-1.553821006;-7.484747812;0.007;-0.23
0.400600935;-1.573402641;14.25556417;-1.026718566;0.723458327;4.638756917;0.01;-0.27
1.596407706;2.516479558;-1.885642951;3.350415121;-4.689470715;4.099255627;-0.011;-0.396666667
3.542150102;-3.677663855;-18.40804624;-0.83497653;0.840144595;8.664598712;0.006;-0.353333333
-4.754075076;-1.261609043;-2.057693312;-1.581949253;2.147118834;10.27505502;0.005;-0.316666667
0.780476061;1.123913517;-4.817995802;12.52898845;-2.841024509;-6.640821053;0.002;-0.183333333
-0.006103562;1.998684423;3.267749328;2.522246844;0;-0.449665609;-0.007;-0.15
3.082762282;-0.01811002;0.147901647;1.56836587;0.365363562;17.47444765;0.002;-0.25
-1.57706935;0.158979951;7.689023939;2.007476471;0.109544024;6.408681813;-0.007;-0.1
-0.78160341;0.666677244;-4.889233543;6.707272432;-1.829661959;7.702837922;-0.013;0
-0.390499088;0.505323111;-11.24317851;4.481961496;-1.285761313;4.773400312;0.011;0
-0.00891688;-0.191193306;13.07451584;6.438598077;0.183933419;-1.708568586;0.014;0
-1.13295579;0.646954508;3.782534097;8.134730596;0.257364777;6.506870171;-0.011;0
