# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-ME
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=10)
"IP-ME";"Cons.OpeVeh";"Cap.IntPro";"ExrateJPY";"Unum.Total";"Cap.MacEqu";"PIMP";"IP.Man";"IP.MP";"Emp.HoursPt";"EXrateKRW"
9.181734428;-3.010410281;4.153312963;-6.402719258;-20.63624195;0.101419879;0.303892009;5.272694681;2.012582862;7.319682441;8.077317022
-1.21212214;5.139692875;20.51731776;-1.249406869;-15.54434515;17.07243368;-1.372515813;3.791497582;4.987595792;9.743383622;4.929039947
4.226454415;-0.65785327;3.350415121;9.285651142;-18.28542497;15.62661498;5.251858527;-3.315590328;-7.000178654;7.605984664;7.995699294
8.321251052;1.163159047;7.346395658;-26.21488731;-9.405795143;4.460494589;-9.813505455;-5.748601935;-12.81339539;5.613794843;-15.86063293
-10.12712319;6.908807544;19.36004928;-63.09126483;-13.63659021;21.14752452;-27.73222675;2.884627886;4.145114814;4.579528901;-25.54240457
3.603627977;-1.043673326;13.132708;66.21966715;1.262307388;-14.27607748;20.04636584;3.81409326;0;3.922501702;20.74487737
24.35534787;-1.445754674;6.820710075;29.64184796;2.036168476;-13.06445823;9.630166345;6.588384238;8.668280581;2.134611011;2.297432735
-10.25697225;7.961199812;13.14253283;22.47096499;2.060997624;63.7597335;8.914581883;8.314387104;15.33892331;1.76181038;13.98054287
4.020134341;-4.975740002;6.177117411;19.28607528;2.958373241;-3.012213642;20.03263332;-9.248966968;-22.46379362;-0.158165108;19.09192803
9.598202222;-1.340700157;13.44534538;3.315368077;7.549838674;-20.85270482;-1.095133952;6.496662531;33.94783597;3.474718029;10.24292378
-19.43239241;3.762403977;10.79525789;26.7885657;2.23573912;-0.297413578;5.538527515;2.752304437;-7.13879745;5.072053159;14.40730015
20.54659926;-3.613215189;-1.333581528;12.9829422;0.340237353;-2.344547662;4.134412651;-4.135591118;-20.18890014;9.098684689;6.165137367
1.665512469;4.990491513;13.2834684;-15.45204074;-5.858275319;75.79703644;-3.29225403;5.504674029;6.015150946;1.438129536;1.130246895
