# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; Cons-OpeVeh
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=8)
# prediction_type; rolling
Cons-OpeVeh;Unum-LFT;HCE-ITA;IP-ME;HStartsNSW;Cons-TraSer;ExrateMYR;RHDI;Cons-Hea
3.606763344;-7.109359106;19.73095503;9.327776938;-6.874321211;2.944141763;-57.08130991;-5.337857215;-2.357360158
2.5117821940000002;-11.21286533;-15.91427047;-12.9741103;10.25151292;2.6578170869999997;28.80630188;1.332827059;38.20222363
4.79122163;-17.41771767;3.276361783;15.80097719;-56.59413376;0.793913592;-19.16319755;8.73017571;0.195312504
-3.603627977;7.031027141;-16.96631723;-21.70514342;-61.81240864;0.528401662;24.70311764;0.9211132120000001;1.461811835
10.59338278;-5.642618916;7.944385192;-17.4766638;43.18843738;17.56253678;16.97199819;-0.247372575;1.165615201
5.493182233;26.80171741;8.258974183;43.38499826;-2.623345366;-13.36026569;-59.07040095;-4.913438082;11.66151885
0.47932899700000003;12.68084638;-14.06239083;-36.4550848;23.14261445;19.87670053;24.15480679;1.859210975;4.216977091
-0.779201565;-1.6862264;2.738551765;26.57803976;-13.24880259;-16.23558306;2.531950782;-3.438561444;8.85032647
0.898944119;-1.6680380519999998;-1.38505546;-2.148617521;23.69603122;12.23804823;16.13057148;5.3895465389999995;8.837149331
2.26832424;-12.08395772;3.3538142669999997;9.228448361;87.77741831;3.7488559319999997;3.4047832760000003;5.76085771;-8.928338206
4.557273532;-3.0394486869999997;3.2203656130000002;-0.7023706809999999;12.82860941;14.65365327;-10.42436111;-7.986071794;10.53047653
8.155226415;-21.61519887;24.105902;9.72270089;28.16690729;5.714382898999999;23.990422100000004;11.70527706;-1.959042206
-8.037544744;0.832004737;-29.71284352;21.37403258;63.12164985;-6.674767514;36.16477969;3.04637422;-2.327669952
1.9367655769999998;-27.75945175;-5.415818282999999;-3.2653242560000004;-68.47122547;30.31227182;17.10791269;0.41143815100000003;33.65062459
-1.3488759940000001;-15.06872079;4.812044584;14.80458599;-16.65778965;3.328729335;30.39528139;12.54601144;-8.424876133
10.66575289;-9.45404953;-9.057725081000001;-5.72802151;-30.91000229;12.83067328;-0.768682267;10.50769452;4.10948158
4.097346966;-28.321731300000003;26.28389562;30.83189702;-66.784965;-10.84665157;-39.81746373;4.6972806;6.291520433
2.7084318460000003;-7.042916921000001;-9.316434875;-23.84204481;-53.28899402;7.191694675;-3.940727318;-7.898993352000001;-6.458430513
-0.337552763;-7.625911058;-9.750386834;-2.527654541;14.80990742;5.576497825;13.57254235;18.07172348;7.114975592
4.978040897;29.92935314;17.65724152;4.412968321;55.87350702;6.967713788999999;-10.97984472;0.7489794590000001;10.12097308
1.664126655;22.11419131;-14.46167157;-10.15927624;-57.00246158;11.34974259;4.273510658999999;-3.337618032;-0.560056097
6.152277282999999;49.93269046;2.0785786969999998;-3.2284275339999997;3.763729408;5.054401343;18.81017868;-2.094452383;-10.13533498
-21.67231673;39.40497511;3.53590942;-5.877656776;33.75562661;0.40160645899999997;-16.05826873;2.8545947989999996;18.6117389
9.608876522000001;41.9837;-9.890561263;-12.69947933;-30.35233259;15.93522743;6.560827014;-10.02083156;5.062865759
3.3566630539999998;47.16507718;-7.292532855;12.04104296;56.68982796;18.28351244;-0.706310757;3.856518012;2.5460593240000002
2.00055988;14.339565700000001;14.58307122;-5.306877178;55.11002612;6.215847201;9.355162841;1.094233168;9.95019501
7.142065855;16.22967185;-13.02553345;-10.82976471;-18.98942998;5.942040396;-9.981258762000001;-3.448987307;-31.67964105
-0.272349708;11.88304386;-9.270214359;-16.10016105;16.59347415;6.207173992;-30.82677585;6.4931759179999995;17.94307564
4.3354983439999994;12.28174328;-2.3347844209999997;-5.031512883;32.37095635;-3.712733837;-14.35184035;0.673129045;21.31620888
4.448957086;4.233206441;13.84075533;19.06804081;20.16859815;-3.568266303;-20.06712905;5.885309283;10.24672254
1.86133421;6.459935767999999;1.702225445;-5.555644864;-16.02611426;11.30817358;-11.34127452;-2.02598174;2.574655769
-1.86133421;-2.1867169509999997;-0.01344278;9.672319279;50.73486496;-1.5710253669999998;12.8872413;0.712414268;-0.642111972
7.18455659;-4.341417086;6.386536532;-4.806924802;-4.368282549;7.107445931;-10.96448814;2.9224243910000003;-1.072482544
0.523217864;3.3788430039999997;-3.484164059;2.067188063;12.20712328;-5.014113635;-14.5492953;-4.950521335;11.78111786
5.349686959;-1.4227657280000001;5.145773734;27.23042842;31.70073304;-9.507489835;7.402302297;5.3044659130000005;12.9275165
5.940449726000001;-16.15279513;-4.587805726;14.501194;26.77098505;21.16712374;43.27656321;8.718734283;-9.604548273999999
-3.0104102810000004;-23.4842729;9.48781441;9.181734428;14.41096998;-6.473735852000001;-6.237251876;8.066825572;1.8571093459999999
5.139692875;-24.63059194;-11.17467193;-1.21212214;-43.02138103;7.317796092999999;0.378250619;-1.656460817;5.384762242000001
-0.65785327;-18.0760705;-3.892385182;4.226454415;-23.43674701;11.46972411;9.033948345;4.697334126;-6.828434859
1.163159047;-12.10546308;6.67290819;8.321251052000001;-31.68763307;4.562167581000001;-11.75268164;2.1823277219999997;8.989142341
6.908807544;-7.811053153;7.106254052000001;-10.12712319;6.755667379;-10.00667317;-28.20181225;-1.948590435;-9.333643266000001
-1.043673326;-2.770307341;-9.334672072;3.603627977;3.401116387;39.51097314;22.09319661;6.504295964;1.1700946140000001
