# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Emp-TotalPer
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=6)
"Emp-TotalPer";"DomSales";"TotComp";"Imports";"LabForce";"ResInv";"HCE.UTF"
4.521612138;10.05326631;4.611355137;2.892047351;2.820893114;27.20202221;0.626238389
4.382048066;-2.025140889;7.433902084;-0.327039853;3.218437144;-74.78716838;25.64152335
-2.21411839;-17.61143553;5.193551415;-12.32986972;-1.53876177;-68.1800403;-23.48336603
0.790036867;8.111391254;7.608143555;-9.573798354;1.727031523;13.23458804;1.099680522
2.633092233;6.507065824;5.620615206;-5.567997107;4.621668621;14.64804095;-2.934104463
0.939789645;4.688907471;4.15293104;0.622507664;1.0777133;33.9575913;3.37417843
1.114243798;12.13174407;4.655709227;5.559398437;1.499555039;33.33019044;-5.12051457
2.352391159;9.999914028;5.400779877;18.54177734;1.013436085;22.85233041;0.556675962
1.303037461;16.81424651;6.267246067;13.21273884;0.15705098;39.41471968;1.105615214
2.883104816;7.035231301;7.437635691;5.824293212;2.431188111;0.679405684;-2.232297616
3.266242469;16.06403388;3.350920417;27.98940961;2.695634911;10.61727672;0.55286384
4.019703502;3.666838111;7.025730928;2.58424676;3.657882947;19.85903386;0.548283117
-0.526418856;-1.51621387;7.747998322;3.807969119;-0.616247436;-15.55243791;2.727288449
0.935692928;8.839219081;4.646179621;12.12357386;0.33029836;17.77928335;4.775043744
2.335349197;15.35807742;7.122678278;16.81362854;1.54489796;26.9397943;-7.033810266
1.178773097;7.309888965;8.390069736;21.77059699;0.461776392;20.04481657;3.660929203
2.288383936;1.806788466;6.103763241;11.14763914;1.811341876;-0.25037383;-3.183286668
1.383513824;7.8130479;7.859080782;6.000407542;1.568497057;2.96657052;-5.204963058
4.718108677;14.22929811;8.681766139;13.81432253;3.280892462;-2.632773561;6.241233068
4.204963671;-1.17793805;6.886312124;9.4617894;4.02802185;-0.278144786;-0.545952625
3.695135622;15.02730746;5.292981632;10.03976906;3.517061409;22.16251075;-1.044138865
2.476838178;8.67878124;9.334960917;-1.062527862;2.098297341;-4.101243139;-0.010439077
0.869583064;8.108290711;5.258091218;10.8888188;1.160275072;-8.684012136;3.513918642
1.766881246;3.313854042;7.966056426;7.786055951;1.783562197;-10.29650795;-2.555870921
3.440398349;7.218313013;5.908477758;14.91774835;2.642891897;20.81142978;-1.011152955
4.302171119;3.611290328;7.20085264;-4.596514838;3.662471416;-13.13269653;6.827970263
1.872713954;8.388323808;14.49072449;20.13368552;1.229580006;10.98251051;-7.362933354
2.743565205;15.96013419;9.568369399;16.91294799;2.714824754;13.68392701;-2.41633669
3.752994004;11.70763615;10.87930332;8.313001869;2.820446107;-1.00441092;6.251546228
2.910821955;1.376167478;6.685573122;10.97413963;2.772678081;2.185868052;0.401937418
2.688855666;11.39267405;6.348326423;12.37092721;3.077722316;8.550641155;1.77212403
3.680434396;10.81963685;8.292828829;18.13184745;2.486332887;15.46228946;-6.07613695
2.483491222;8.59318289;10.21310757;19.74533227;3.145052268;7.299254266;3.193422287
2.117917947;3.354216809;2.326599669;-0.154014752;1.97393257;8.377883914;-0.952675118
0.626024439;-3.918361808;1.17050495;-35.48971924;1.624146463;-6.650428335;0.414138416
0.082819437;-2.8812948;-1.23335614;-31.21559031;3.678392413;-13.03171918;4.355288654
-0.348698123;-0.48033286;-1.174124954;-0.091010125;1.37188921;-18.21672074;-4.911393229
0.592111732;-1.174668141;5.922890318;17.23908629;0.575865179;24.41351639;-0.890265967
2.176713548;14.60710257;6.246128545;28.95041019;1.531212494;14.45954777;1.264682353
2.644848222;0.445137233;7.436181667;14.92628261;1.747266166;-0.55639281;2.069550237
1.236820046;3.324202705;10.26972376;13.82074851;0.999302508;16.31951803;-8.45502061
3.348790152;6.2808017;8.406843382;-5.424049679;2.723259236;8.527604209;5.477920137
3.49205564;2.14433004;8.31429886;16.21461854;3.220689095;-6.195883519;0.394868286
1.634021749;9.356407329;7.946545432;7.81189581;1.242564353;8.131564103;-6.687604253
-0.253796152;2.266206158;7.024066561;14.65193895;-0.283091943;7.416178256;11.24016245
1.348158909;18.29226336;7.745000054;19.44126636;2.289557476;-5.079773561;-5.84402129
0.908897019;0.191679973;3.983600993;1.163655662;0.831473872;-3.749180908;2.021015923
1.68889902;14.87641528;9.161472121;9.858233364;1.646586644;-12.96717157;5.932169209
1.333770754;3.464300014;3.382444541;-0.59946629;1.208188205;-11.68432668;-5.681157724
0.831940701;2.875580125;-1.542204757;1.059603269;1.359173884;1.387044099;-0.046250795
1.223611719;-0.552665696;3.9917162;0.948289079;1.516368419;9.824695388;-0.045271914
1.816778289;-3.313061077;1.224631839;-13.10770729;2.488517448;-6.973289235;0.712535476
0.436617076;1.272935456;2.372727229;11.07502427;1.144612461;16.43052057;-1.557123654
0.231504947;3.531045017;3.180801868;-5.833613616;0.395070432;3.699372416;-1.891527895
0.048843173;1.722251805;4.25199754;-1.992249492;0.477952536;7.08365343;3.329316962
1.366351782;2.93163109;2.377082606;-9.361639652;1.843963353;18.85702139;-4.457211031
1.152598482;1.3313944;2.297529167;11.30357468;1.334757259;10.06228232;2.935453213
1.10204181;-5.740467721;3.647978833;-5.089159385;2.189523312;0.099554494;1.059392837
1.316157987;2.112309081;0.527398089;-7.230196721;1.293977475;19.42883831;-6.903370712
