# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-EGF
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=15)
"Cons-EGF";"Cons.Food";"Cons.RenDwe";"Cons.InsFin";"Cons.Final";"IP.MP";"Emp.HoursFt";"Emp.HoursPt";"Emp.HoursPer";"UrateLabForce";"HCE.AVCE";"PEXP";"PIMP";"ExrateNZD";"ExrateSGD";"ExrateMYR"
-8.716481538;4.766689973;3.117978718;-0.989854502;5.127280914;-1.073826148;-0.045564939;2.184867981;0.170355089;-49;1.225803106;5.960885373;6.621046877;16.36066342;-2.712008031;9.355162841
2.137772309;-2.409347604;3.247928828;-3.104184318;0.414780031;0.537273419;0.135635545;5.538962081;0.663240169;33.333334;8.677547563;-10.88331047;-11.00859982;7.318710156;-19.11350765;-9.981258762
9.596715421;8.613047171;3.119887953;0.079896135;3.932789768;5.333412348;-1.0395902;5.014340512;-0.440785739;40.666666;-6.561977466;-17.7204958;-18.05533936;-3.666596857;-13.24798461;-30.82677585
6.310183924;4.70252618;2.809166684;-0.119850188;3.518764664;3.166243445;-2.234845619;6.707871197;-1.335215375;-38.999999;-2.177983455;1.663274202;1.198946825;3.495473859;-3.629749778;-14.35184035
7.666525549;-0.769231006;2.571815638;-2.123296087;0.766587855;-17.73292387;-1.176365659;7.039748795;-0.333750649;36.333332;3.899347181;-25.80912004;-26.40520576;-18.16902822;-25.61480621;-20.06712905
4.773193867;-0.288843435;2.738478657;-2.902653334;1.748354055;14.56668042;-1.655842796;-2.559070585;-1.749234646;-64.666666;0.912608079;-12.53149115;-8.006121617;-3.277232601;-12.21486798;-11.34127452
-10.16956576;-6.016610281;3.083314065;-5.951398892;0.01925493;16.60419967;4.572886232;-3.114277323;3.785636023;10.666667;1.73342719;-1.890521712;0.533092176;-2.223373825;5.066640382;12.8872413
3.493471988;10.80364683;3.12527291;-5.166695445;3.405059099;0;0.156530817;-2.189582607;-0.081035849;4.666666;1.382605212;-13.74298767;-9.945564438;-16.1190955;-10.34243887;-10.96448814
-14.50965876;-3.600900638;3.978023412;-11.73575102;-0.450807585;-1.017812254;0.833102368;8.909592697;1.656238631;43.000001;-4.884339639;-16.48655104;-13.63019204;-19.51081391;-14.97137693;-14.5492953
22.06753851;1.118792434;3.649601418;-5.043985573;6.942329285;15.49225487;6.625460618;2.763146429;6.229971623;53.666666;4.404032185;0.215232964;0.181056876;-0.80588422;3.947032989;7.402302297
-1.876124284;4.380996175;3.377573743;-2.393262511;2.300040988;-11.43645333;1.219855339;9.742044925;2.097071766;-73.333334;-7.972040413;29.50907717;30.34238283;12.90662495;16.02731968;43.27656321
-5.569569236;1.449733702;3.79164796;1.350690244;2.390868219;2.012582862;4.824042814;7.319682441;5.084107326;-3.333332;11.54004864;-1.410402608;0.303892009;-4.054288368;-2.822154212;-6.237251876
7.225429197;9.205101859;4.256278257;6.043715233;7.740457104;4.987595792;5.539225403;9.743383622;5.980659055;58.333332;-7.540256264;-1.985926107;-1.372515813;-1.36422826;-2.10873647;0.378250619
17.56511163;5.162150221;3.112371756;-0.17141633;2.920979076;-7.000178654;1.209678271;7.605984664;1.889278149;-59.333332;4.398833313;4.538950245;5.251858527;-5.944003174;2.395432017;9.033948345
-11.11776538;-2.801899686;3.31900868;-3.22773283;4.479523371;-12.81339539;2.474418502;5.613794843;2.811530525;43.333332;-6.602064719;-9.99722853;-9.813505455;-17.89730743;-17.33911837;-11.75268164
9.427324411;9.930711899;2.772948159;-2.079502138;4.762130236;4.145114814;5.362029796;4.579528901;5.277779685;11.000001;-5.421553264;-32.66476788;-27.73222675;-30.48798275;-27.05772292;-28.20181225
5.676836412;-0.507141061;2.238002299;-3.271020791;0.688295184;0;0.672378404;3.922501702;1.023288552;-19.666667;-2.097155292;23.82354289;20.04636584;21.87724235;22.80776521;22.09319661
4.050404595;5.013228883;2.919444956;0.481426832;4.269111246;8.668280581;1.137055088;2.134611011;1.245266939;-1.333333;3.918707851;13.3792911;9.630166345;3.046562227;0.780660157;9.121296774
-14.09188844;-1.003542439;4.168109981;4.566507873;3.716175479;15.33892331;1.452508474;1.76181038;1.486120533;-28.333334;2.792323592;9.334059292;8.914581883;-4.047608194;6.525307944;7.622710134
15.63888018;-0.798728217;2.260733318;6.179054432;2.694262505;-22.46379362;-1.861500403;-0.158165108;-1.676064602;5.666667;-3.939559045;18.66827887;20.03263332;9.623298212;13.41043664;6.414300353
3.076149485;-3.599206288;2.336507069;7.842561751;0.874654667;33.94783597;-0.070676673;3.474718029;0.317638056;-10.333333;4.746979083;1.027317885;-1.095133952;-8.987049588;-2.557223387;-2.364445593
-2.664626815;-1.556771668;2.821051952;7.650788938;2.963001797;-7.13879745;-1.124639748;5.072053159;-0.438606913;-1.666667;-0.039872572;6.585602419;5.538527515;-1.072781651;5.597340551;11.77067491
1.232033828;2.690593104;2.641333178;7.024491541;3.919078325;-20.18890014;2.386235023;9.098684689;3.140089084;16.666666;-6.144281042;4.624064207;4.134412651;-2.997777438;-6.103517178;-19.66916699
2.452741461;-0.775425235;3.533310452;8.443164923;6.368114186;6.015150946;0.616695772;1.438129536;0.709713748;-43.999999;4.980536706;-4.978830031;-3.29225403;-3.800106255;-4.157928068;-1.159069114
14.9980078;8.067947403;3.345137311;9.463518847;6.075749725;1.489759636;-1.346418314;3.414245385;-0.803876098;24;-1.678014694;-8.205372591;-10.03813196;10.54594666;3.795980767;45.36945238
6.521619094;4.682838432;3.430809153;5.580063738;4.880166961;-2.486024161;2.82576626;5.39251737;3.120629357;24.999999;1.51884596;9.856295787;-7.392215277;-7.889242802;-2.178588702;51.83096061
6.41699384;2.421629018;4.300131292;6.662115892;0.650935864;17.56379705;1.193006337;-1.025027881;0.938084767;-16.333332;2.111864198;21.96780264;6.174728903;18.89307964;2.202728835;25.2787916
-7.383644866;1.291295644;3.18459675;7.653082472;6.274287668;1.429423796;-0.054869255;5.643832861;0.602592683;17.999999;4.282843544;-23.03415675;-21.8266904;1.770919002;-23.88490846;-21.24895443
13.51222674;-5.538816323;3.394018527;7.796810922;7.492349327;-2.385218755;-0.707106987;0.63324552;-0.551273984;15.666667;-13.82397343;-11.55138732;-14.34500833;-1.702661557;-6.861852354;-12.95964069
-4.13829226;-0.261523383;3.474878927;9.335354274;3.977668252;2.385218755;2.400013577;5.53619022;2.766477922;-55.333333;6.103535082;-14.3399486;-9.39244637;2.822460951;1.651900437;-3.386696097
15.21166376;5.16956042;3.404275867;12.19701494;7.333887198;0.475341708;0.937704617;2.904117871;1.168782631;4.666666;-5.159435228;7.582855492;10.51722353;-0.678291998;18.40440033;1.688535433
5.334015079;0.573476801;3.684671678;11.43941435;3.336815966;-2.860560463;2.04305538;3.394775644;2.202474061;12;-1.015033964;17.70949127;18.67494658;11.58628658;17.08427434;18.31604408
0.179573516;4.700071879;4.542011865;9.186787684;3.772937053;-8.706510593;6.538350678;3.854846915;6.222317935;45.000001;-11.34759595;-3.062930915;-2.061933611;9.621747907;-9.909414693;-5.112543929
-5.877804418;8.656103047;3.162176396;7.872883957;5.150887522;-15.45363527;5.893037075;8.11314916;6.154343981;-6.666668;-7.693529726;-11.53170587;-8.883162049;3.429645595;-5.690031016;-1.546592982
1.999095483;-3.367327779;2.980434265;5.257641316;1.259151845;27.02070633;0.167602024;5.295871719;0.776154249;-16.666666;27.86074425;-1.516808381;-0.607464759;1.433636197;-7.089976256;-16.44933938
36.11669495;-0.811274188;2.191571865;4.756964074;3.200261675;-35.23665627;2.636632652;2.767507713;2.652222414;31.666667;-1.428304063;-21.92075046;-19.72083574;-4.252128121;-18.7888374;-20.99349491
-22.30839812;9.928950336;2.024335221;-8.149210553;4.533574125;3.100790722;2.365642101;4.144718782;2.578443619;10;-14.42218007;-1.105097468;-1.889335231;22.53765216;-12.28231214;-14.48735522
