# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;10yrT-bond
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=4)
"10yrT-bond";"ExrateCNY";"HSexfinVal";"ExrateSGD";"Emp.TotalPer"
-0.126666667;-4.965692381;8.665341423;-17.32127937;1.766881246
0.42;8.659859321;21.82653457;-0.357771889;3.440398349
0.043333333;-0.610012274;2.299096065;2.108468019;4.302171119
-0.076666666;6.744338806;-13.08778384;3.500631847;1.872713954
0.153333333;-1.136908898;21.40586428;-1.027071617;2.743565205
0.2;17.07255365;42.91927876;21.5890566;3.752994004
0.013333333;3.719486356;-2.838613441;4.521352546;2.910821955
0.113333334;11.15675251;-8.941989509;2.776964608;2.688855666
0.016666666;-6.43475989;-22.89364676;-4.552322788;3.680434396
0.22;4.525294193;-72.15594595;4.346519018;2.483491222
-0.413333333;-41.40346989;-9.560478064;-24.18423731;2.117917947
-1.166666667;-102.9424056;26.77612533;-82.48924368;0.626024439
-0.57;-7.831778565;90.74648935;4.410335356;0.082819437
0.8;65.17388567;35.30598759;48.41216777;-0.348698123
0.423333334;35.93194142;-2.554973287;28.54988018;0.592111732
0.016666666;27.62795185;-24.4087994;17.09648172;2.176713548
0.09;-5.060735042;-48.51787528;-1.800595341;2.644848222
-0.016666666;-10.52286762;-21.05290393;-14.45247782;1.236820046
-0.496666667;15.18220851;-5.285709074;5.617291483;3.348790152
0.303333333;21.05964094;1.571326212;14.44184871;3.49205564
0.18;7.384328182;-12.21836696;2.944620572;1.634021749
-0.19;18.71291;6.045715179;10.75265082;-0.253796152
-0.763333333;-16.22247903;-7.357629894;-10.25710295;1.348158909
-0.476666667;-13.25688514;7.818483883;5.889011007;0.908897019
-0.12;12.40721597;-6.009036541;5.583058948;1.68889902
-0.593333333;-16.39677962;7.34455614;-15.49543494;1.333770754
-0.323333333;11.49853022;11.45567516;4.641937756;0.831940701
0.056666666;-8.068243322;5.053933163;-7.665241624;1.223611719
0.356666667;-2.042231082;21.56035764;4.70808614;1.816778289
-0.13;-28.43325275;14.88382297;-19.8171415;0.436617076
0.53;-30.00409674;10.40757382;-23.21248208;0.231504947
0.243333333;0.526215202;21.31257135;-1.400808806;0.048843173
0.02;-4.101220094;8.936840507;-3.915772902;1.366351782
-0.296666666;21.63387906;1.411150213;11.17887945;1.152598482
-0.36;-14.09348203;-11.16867653;-7.820161214;1.10204181
-0.296666667;-29.35690396;13.70189412;-15.06397221;1.316157987
