# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; HStartsACT
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=1)
# prediction_type; rolling
HStartsACT;HStartsVIC
-23.67315266;8.297846612999999
2.9075932389999997;23.59597624
-49.96870042;-49.13599022
-61.73843515;7.603146754
95.66276844;-42.35701267
-47.51729549;20.21919848
10.53322378;15.42578449
-40.23239459;-12.20088939
43.76079148;-4.518301285
63.12963412;1.4668291269999998
18.37157274;40.09300888
-48.04553203;0.974761109
75.36241689;69.00353991
-52.14021039;-30.67089925
-29.95600656;7.449354547
-41.99819424;-38.10236539
-90.23184248;-50.05957235
-53.76114095;-64.91094175
60.11288122;-25.48363361
106.3512777;67.66875848
-39.11437095;-67.49918999
-11.31908326;2.631191456
17.36073367;-8.510959403
76.41123176;13.12782133
18.74870765;48.9851239
-29.62803933;38.75676419
1.270514567;2.683998935
78.10986092;-5.770892644
24.1270677;36.84118823
53.69898743;21.394925399999998
-51.73899984;30.79797442
19.55485731;-1.9614317419999998
53.509519700000006;34.21191506
-23.62258376;20.87887836
5.7184676439999995;40.90929125
60.23830102;17.28053265
12.26426096;-5.815678202999999
-67.70532632;-46.32255269
-22.79736984;-41.0045643
-95.46721514;-53.08880148
-11.47306184;-29.68845359
51.44360656;48.55313748
30.3735603;21.3431826
-10.73567342;33.30033865
-28.25891025;-28.11909517
62.18280631;37.17880021
-56.30034737;-33.57806623
13.01065068;-0.6996782220000001
-53.84028833;33.33297533
3.7861144189999996;-0.164535703
2.629117409;3.685781317
-4.328435518;-1.7703964490000001
-29.03234633;3.397682824
32.61136713;-15.98666766
-0.938747223;-6.675343075
58.96593332;41.41885409
0.810208922;9.468653048
31.13200282;-3.0635970880000003
43.65389586;24.31861615
-9.373837019;-14.93656311
-67.03412393;-38.46061915
-59.66067305;-4.867377535
20.05478627;20.41424379
-10.17774127;4.457635439
28.24702689;42.21569784
-11.30755875;21.10877977
-16.93946814;-6.916985925
6.753525739;14.65349094
61.45336644;-16.74758851
-33.32564985;1.201202331
37.64834725;-5.307897466
-4.167508275;22.03885778
-20.04395458;-2.5036821519999997
14.73345098;16.33622315
-35.14775114;-5.743645009
-77.00078281;-41.38398304
-12.04210298;-13.40733472
-22.27083823;16.97658544
-13.37300338;4.833193775
76.19775940000001;33.14102182
-8.619334502000001;17.00302805
18.19375045;-9.891308184
-7.255568877000001;20.36848054
2.497006889;-9.053430181
1.71961096;11.99999999
59.58489866;20.06783761
11.65602506;-12.55322205
14.87742433;0.09666963199999999
11.5159469;13.75678849
-0.44834676799999995;-6.03156543
-13.99914651;17.53824998
-9.877045036;4.520535801
-3.827780406;-71.87129809999999
-23.089673899999998;-32.23369674
30.39436279;5.353068055
68.39211083;45.41883019
28.53327627;22.4262802
-42.15792826;0.135678443
-29.75931604;-20.01733629
-54.55450866;-33.77052602
-51.07174615;-16.90097334
-2.5102665440000003;8.126406253999999
21.12702237;15.58848035
-14.59469656;-11.16032848
17.15880787;8.602243785
-19.45217297;-6.378557083
8.908209876;-2.986382275
3.173878981;9.759557241
-0.9308824490000001;7.123460839
-0.559571087;-3.187698265
10.31839805;6.691745749
13.9424302;11.42183557
24.36350125;11.3668405
39.32437288;26.66484602
-46.32746964;-13.00312104
24.78380176;-3.5905392789999997
-15.47332327;0.863889012
18.9365484;5.22195521
30.03484657;11.41189898
