# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-RenDwe
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=8)
"Cons-RenDwe";"Cons.TraSer";"RetSales";"X10yrT.bond";"X5yrT.bond";"HStartsACT";"HCE.MV";"AveComp";"X10yrNSWT.bond"
2.821051952;2.614388392;0.055994947;-0.88;-0.856666667;-56.30034737;5.249523434;3.488270538;-0.713333333
2.641333178;-4.65968138;8.681695612;0.24;0.19;13.01065068;-5.453856223;1.943597359;0.433333333
3.533310452;9.551828691;0.766309988;-0.003333333;-0.133333333;-53.84028833;-3.793986951;10.85249249;-0.276666667
3.345137311;-8.673993665;6.602980192;-1.046666667;-1.01;3.786114419;16.05425496;-0.656882012;-1.126666666
3.430809153;5.515326856;4.944769273;-0.416666666;-0.25;2.629117409;-17.29526569;1.148836568;-0.173333334
4.300131292;-1.154818557;2.00056711;-0.26;-0.266666667;-4.328435518;16.38211227;0.859467257;-0.153333333
3.18459675;-1.73850328;2.883820698;-0.22;-0.163333333;-29.03234633;-11.8684355;4.229400932;-0.326666667
3.394018527;28.70873029;6.945838363;-0.133333334;-0.026666667;32.61136713;0.516897729;8.009879179;-0.076666666
3.474878927;1.349073791;3.325915115;-0.52;-0.63;-0.938747223;4.457937732;1.148231424;-0.433333334
3.404275867;8.9232933;12.67470168;0.336666667;0.38;58.96593332;1.747354692;1.420820438;0.266666667
3.684671678;-12.03299292;4.815106588;0.496666667;0.416666667;0.810208922;-0.007873294;5.82752913;0.433333333
4.542011865;10.31710182;6.098271906;0.456666666;0.413333333;31.13200282;4.620501432;0.504438152;0.543333334
3.162176396;4.995135567;5.22209998;0.363333334;0.463333333;43.65389586;-9.264905008;7.491215346;0.326666666
2.980434265;15.50234043;-2.386998103;0.266666666;0.453333334;-9.373837019;8.217504462;4.127065813;0.313333334
2.191571865;5.615440843;15.49716928;-0.603333333;-0.533333334;-67.03412393;-1.794529703;-2.190751463;-0.513333334
2.024335221;6.026247724;-6.220567876;-0.123333333;-0.106666666;-59.66067305;-10.15467045;4.893718107;-0.176666666
2.374583518;13.67859737;9.71754476;-0.296666667;-0.366666667;20.05478627;8.682727671;7.377068365;-0.306666667
2.55239511;27.57355604;12.65167385;-0.593333333;-0.81;-10.17774127;9.139909226;6.123684388;-0.71
3.018689994;18.81814548;8.025999997;0.52;0.416666667;28.24702689;0.210533547;3.708564303;0.396666667
3.021267425;-12.37432012;4.752275081;0.003333333;0.053333333;-11.30755875;-6.462569308;2.500901323;-0.026666667
3.186068461;-5.673853997;8.930100905;-0.246666667;-0.443333333;-16.93946814;1.049951192;3.086626696;-0.42
3.309608604;-3.088818438;9.114134709;0.476666667;0.653333333;6.753525739;1.030643887;3.623754939;0.546666667
