# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;ExrateHKD
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=5)
"ExrateHKD";"Cons.PurVeh";"Cons.RecCul";"Cons.Other";"HSexfinVal";"HStartsTAS"
-50.61674495;-17.13685898;-4.122230079;0.203510562;11.09550276;19.07962263
31.75646621;3.193139462;-1.185625173;19.26408495;8.73966356;13.73525503
-12.15257365;16.53424962;11.70101713;-2.528576376;-76.30424091;-86.08205949
12.10444117;-67.6120002;-7.19953987;-7.583632297;-69.09729128;-55.54447413
0.572401043;-0.278067443;10.07208363;9.627183756;66.66988287;30.84379006
-60.39611928;2.219145775;1.642419517;7.881081467;21.81537257;-2.232563935
25.27595277;-91.96364995;-3.651032059;2.655926286;21.65613463;30.17588304
16.53298855;16.70460033;-2.452667739;-1.705355496;7.888529461;-5.808989667
19.86849974;-55.03760409;6.103699798;6.778227621;22.60551444;-10.91408162
-1.615523733;23.07616546;11.51967234;12.13607223;56.51745417;49.69721983
-6.300831783;14.90855792;8.49492451;7.890863378;67.17147485;44.1994588
13.9696203;24.98702514;5.987833621;4.678415905;18.51344162;0
33.17997364;21.35114528;4.647355182;3.4079944;102.0718468;59.28928901
5.971161033;8.595879522;7.260439703;23.07600811;-17.69335676;-4.121198607
26.71478548;48.29260941;7.830802082;4.816876251;3.39885627;-24.60211647
-8.798189677;-2.429977099;10.35270712;15.83183676;-24.39990987;-12.34721158
-35.87376313;19.03862315;5.413801497;3.726735032;-55.13795777;-25.70638199
0.773560553;6.658284337;11.38545351;0.926283702;-45.75749787;-86.89040677
11.11470173;0.761180058;2.899635451;1.385416047;4.62230514;5.025492368
-12.58709326;57.73010931;5.736963554;6.931526396;64.22347306;46.63730698
3.112925712;-7.978103808;1.797755835;0.829797563;-43.98303508;-18.62816299
19.75728973;4.008942243;1.501589982;-3.177622158;6.821868258;16.29331952
-15.29120728;-26.56958158;-4.288653079;-0.684215695;8.634008745;5.49691528
1.990190293;-62.13420564;3.36526499;8.059777433;12.03004248;24.43507679
-7.661498948;6.039922582;3.222575336;1.265706035;68.83741651;31.33273731
8.557904432;-3.008561192;8.450020053;6.342315762;19.67126675;33.61557084
-4.995079258;8.152456106;-0.449185898;6.243320939;-13.01906573;23.79520216
-10.40363747;19.17006151;5.745061458;1.438074531;26.62461704;27.51275151
-1.503038802;-22.95387351;5.718310444;5.701147642;44.60723545;17.48517489
-17.91431063;49.00959438;-7.661274503;4.852806774;24.60782703;-3.693208069
-19.71183696;-11.94846533;8.969355788;9.054382272;-1.267908895;-39.09563977
2.58459756;-16.16381534;4.921308613;-1.369161015;19.04555608;38.23849658
-3.669807834;-2.326339352;9.507185904;6.057112763;20.71224457;21.03182407
-11.38366849;5.662900244;2.407123957;-2.167292806;24.33379652;-2.313325053
-1.814167646;10.84213871;15.9550743;7.401388626;37.13648994;30.97644246
25.96922652;0;7.351504578;-1.87103582;36.14629935;8.744882829
8.910970988;0.248678901;-1.380501802;6.576582589;9.323164234;1.356979065
7.918160971;-2.243695506;18.24640654;8.345861029;-39.09013136;-43.6797169
11.93035445;29.3931107;6.830575338;4.236239851;-31.7968135;-1.927714588
-10.71095487;51.57909318;5.802542462;10.21171122;-43.10767357;-35.18116318
-13.27148261;4.063011063;12.29065234;-5.073269291;2.673243142;18.98461865
17.13311912;-59.37608702;4.584577408;7.802385166;11.48696028;26.95463977
0.154152757;27.62840958;6.736726843;6.803197778;-1.852834626;-14.08451774
6.826349459;13.13004619;10.29625024;5.612221506;13.63021657;-18.80688261
14.88031677;12.71271362;10.73361476;4.528575109;-13.31351569;-27.78475118
-2.967666351;8.323061003;4.553820275;3.12801299;13.38722244;96.63232936
7.193996448;0.602258583;4.94205473;2.870335228;23.85135049;-61.47609586
-11.94144659;24.50936686;5.000065106;5.679608606;28.177318;-55.69001184
-6.351916369;21.84529957;10.62370923;4.520468682;9.970747088;10.23821888
-15.95142756;27.6090585;9.524711271;2.156339454;15.51482666;-17.37978286
