# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;HStartsNSW
# prediction_type;rolling
# method; FCBF(n_components=2)
"HStartsNSW";"RGDP";"Cons.Food"
-6.874321211;8.902859911;4.654129298
10.25151292;5.039001579;8.522199281
-56.59413376;-1.002234306;0.800592009
-61.81240864;2.792993979;-2.966725349
43.18843738;-0.698911704;6.739195448
-2.623345366;1.141007731;-5.235631459
23.14261445;6.397614815;-2.766722933
-13.24880259;3.800186011;1.333217619
23.69603122;6.804427543;9.210135962
87.77741831;6.93384971;2.728988924
12.82860941;7.617116317;-0.23804464
28.16690729;1.963446833;-2.901903224
63.12164985;1.33775959;-8.274127723
-68.47122547;2.976199147;1.675541328
-16.65778965;5.428100389;3.50286194
-30.91000229;4.492786408;3.985602464
-66.784965;8.289254686;-1.129799185
-53.28899402;2.767492594;1.129799185
14.80990742;-0.49532158;2.453995427
55.87350702;3.314024154;7.272927633
-57.00246158;0.212730884;-3.317018631
3.763729408;-2.16235186;2.682548406
33.75562661;2.051745919;1.634220808
-30.35233259;-5.000573525;-1.166618885
56.68982796;-1.123859826;0.966868568
55.11002612;1.261698029;4.766689973
-18.98942998;0.899089459;-2.409347604
16.59347415;3.608223656;8.613047171
32.37095635;2.79651682;4.70252618
20.16859815;3.398147678;-0.769231006
-16.02611426;8.019944257;-0.288843435
50.73486496;3.710301959;-6.016610281
-4.368282549;1.807871367;10.80364683
12.20712328;0.222878481;-3.600900638
31.70073304;7.68577341;1.118792434
26.77098505;7.049187196;4.380996175
14.41096998;4.399723993;1.449733702
-43.02138103;3.726767862;9.205101859
-23.43674701;2.182597148;5.162150221
-31.68763307;0.974880226;-2.801899686
6.755667379;2.780429109;9.930711899
3.401116387;6.969566125;-0.507141061
11.28723158;1.971571475;5.013228883
5.377709833;7.334729;-1.003542439
0.811301131;0.929123174;-0.798728217
52.86425207;4.861530801;-3.599206288
-14.87614779;2.893411827;-1.556771668
22.69088881;1.160005411;2.690593104
-12.37150403;11.91947646;-0.775425235
1.776569201;-0.078847118;8.067947403
-10.73835169;5.559877233;4.682838432
9.497602713;4.383223179;2.421629018
-0.576288851;3.328738573;1.291295644
-22.05655584;7.198163037;-5.538816323
4.232618761;5.671514142;-0.261523383
14.8484358;3.077664237;5.16956042
53.72460074;1.898103872;0.573476801
11.82793364;3.609118265;4.700071879
37.03711473;6.618342439;8.656103047
-36.68252386;2.917270031;-3.367327779
-35.56994789;3.106348663;-0.811274188
-1.52413575;0.272487352;9.928950336
35.41348161;-1.764559597;6.072634423
16.5964341;5.075855603;-1.806724344
35.40512532;2.906719607;9.349340474
7.199371008;4.512751483;-1.534291941
-6.513904628;4.175155576;0.291438993
2.442871661;3.320078483;10.89444607
-0.582809205;6.240952365;5.782740003
-11.89275759;1.510204053;-0.610143756
-18.2477419;3.236882989;0.965631623
18.34916886;0.135776366;-3.287585007
3.781194068;3.065300223;1.353985007
24.6632929;6.135649205;5.672417166
-12.16405873;6.532693146;3.529765997
-55.32921528;2.996086065;8.165814434
-18.27557077;2.251214891;8.45697463
-8.894211613;3.452363018;2.146055818
2.102537659;2.855261328;0.285272804
29.45542025;3.478460043;-3.149246853
-10.97896757;2.089582331;6.462483167
16.73920216;4.864112139;5.547030177
5.918141938;2.96288629;-1.397055964
-5.18926197;0.865102462;1.443540566
21.03259634;1.027268677;3.12528719
6.654941388;4.191102296;-0.854133927
-5.544666596;6.262424786;4.412569884
-9.439729813;6.132959408;8.860621102
11.15458819;3.302626747;1.42817446
-11.92565304;2.944304662;1.245483353
3.365511268;2.258276194;9.696646816
-8.385197892;4.970717944;-4.599631053
-74.50635834;1.356216846;1.859298456
-25.52610342;2.772254116;3.800967976
15.60172906;-3.246171797;2.671560076
83.49176514;3.979643032;3.974179372
27.77577715;1.931596097;5.992937591
-28.99808512;1.611806653;0.73239015
-57.92937153;2.88338048;2.105981355
-66.28226616;1.523026721;-4.454365728
-8.00049463;2.435515384;6.321685889
9.700684266;1.991786174;6.080642978
18.05759211;4.390007135;1.038406325
-4.558023182;-1.500973447;0.914007557
9.361923997;5.333531171;0.162271807
21.43415992;4.657879989;4.637382452
38.89138796;3.97991576;5.435488432
-27.61605263;4.117594698;7.483811207
-21.30704964;2.328691535;0.988636041
6.75962982;2.215612944;-1.707414312
-11.37556425;2.222377647;6.174153065
17.36407662;0.952585653;6.965609818
26.73777277;3.113451114;2.681616194
10.13015992;1.34967792;5.051603958
23.3984825;3.447181698;-1.534729723
-6.383367402;3.574058921;2.401189331
-5.060800697;2.482873349;0.184111206
-0.645982287;1.519985819;-0.8476141
8.412876381;2.185723381;2.66575731
