# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; PEXP
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=4)
# prediction_type; rolling
PEXP;HStartsSA;HStartsNT;IP-ME;HCE-Pet
-49.90572641;-27.52798427;17.75035263;9.327776938;8.695994655
11.90121964;15.79388653;-37.79032137;-12.9741103;-0.18503527600000003
-25.53765868;-84.60645956;-36.07428713;15.80097719;-8.510959378999999
-0.953644025;-85.03983554;-73.89364128;-21.70514342;13.45534366
-6.621401101;47.29246598;28.88332325;-17.4766638;-7.3946216510000005
-56.69709165;16.30968154;37.71528301;43.38499826;1.8799854130000002
24.22163962;9.147143299;-81.36042903;-36.4550848;1.7685071209999998
7.219982996000001;24.21467609;-17.41632342;26.57803976;-7.795335293
12.25449724;-15.71079733;-11.68741819;-2.148617521;3.773420352
7.9943621060000005;14.86572659;-15.38651244;9.228448361;-3.809361879
-19.77230099;57.67248569;6.666820994;-0.7023706809999999;7.381735025
1.8275622759999999;-10.07391997;-21.50447064;9.72270089;-5.615000606000001
29.20645106;68.46000578;98.45322779;21.37403258;12.3574617
28.50430687;11.59200082;50.33254736;-3.2653242560000004;-12.53139624
7.968770945;8.96750875;-40.45550251;14.80458599;8.445037111
9.861901201;-28.92701202;65.31787278;-5.72802151;-12.75522938
-22.11752996;-33.34327715;-40.39036694;30.83189702;-2.536092796
0.666938928;-69.16473909;-109.5555;-23.84204481;5.9098748379999995
10.8894664;18.89258906;39.61568314;-2.527654541;-4.222093597
0.136908712;52.43226614;22.20111383;4.412968321;26.28567886
7.6824389570000005;9.720803300000002;42.70719017;-10.15927624;-13.61683088
7.942132417000001;25.85447465;7.523732783;-3.2284275339999997;-4.83892653
-27.31680567;-5.254767313;33.35264358;-5.877656776;-6.904786542
3.141440242;-28.34577168;-1.5267194869999998;-12.69947933;-1.534025719
8.45139186;4.379185313;0.764088255;12.04104296;3.0636754789999996
5.960885372999999;27.406081;31.54704769;-5.306877178;-0.001467979
-10.88331047;-3.0618560830000003;9.756581319;-10.82976471;2.282083318
-17.720495800000002;21.82550237;24.69508017;-16.10016105;-5.331179478999999
1.663274202;56.83165293;64.42462295;-5.031512883;12.83029602
-25.80912004;-2.978949977;82.81462647;19.06804081;-5.375856536000001
-12.53149115;-9.620516801;40.43844666;-5.555644864;-4.437621368
-1.890521712;17.31136146;-5.708557561;9.672319279;-4.413151192
-13.74298767;35.8210975;34.22233399;-4.806924802;13.17804192
-16.48655104;33.97979099;-33.40182096;2.067188063;-0.9264065779999999
0.215232964;1.1015244709999998;31.89095979;27.23042842;-9.987687264
29.50907717;39.59138967;17.40209642;14.501194;18.76470354
-1.410402608;-8.220731434;21.51245563;9.181734428;-23.50800491
-1.9859261069999998;-57.74134545;-33.65131819;-1.21212214;-7.163647162999999
4.538950245;-39.09656422;-86.3733517;4.226454415;27.33481974
-9.99722853;-32.88536796;47.16471088;8.321251052000001;-13.32406418
-32.66476788;-5.951928426;41.4432835;-10.12712319;2.051860386
23.82354289;56.78320539;29.00599239;3.603627977;5.3686490110000005
13.3792911;8.376627646000001;11.91070562;24.35534787;-8.108385749
