# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; HSexfinVal
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=2)
# prediction_type; rolling
HSexfinVal;HStartsNT;HStartsSA
11.09550276;17.75035263;-27.52798427
8.73966356;-37.79032137;15.79388653
-76.30424091;-36.07428713;-84.60645956
-69.09729128;-73.89364128;-85.03983554
66.66988287;28.88332325;47.29246598
21.81537257;37.71528301;16.30968154
21.65613463;-81.36042903;9.147143299
7.888529461;-17.41632342;24.21467609
22.60551444;-11.68741819;-15.71079733
56.51745417;-15.38651244;14.86572659
67.17147485;6.666820994;57.67248569
18.51344162;-21.50447064;-10.07391997
102.0718468;98.45322779;68.46000578
-17.69335676;50.33254736;11.59200082
3.39885627;-40.45550251;8.96750875
-24.39990987;65.31787278;-28.92701202
-55.13795777;-40.39036694;-33.34327715
-45.75749787;-109.5555;-69.16473909
4.62230514;39.61568314;18.89258906
64.22347306;22.20111383;52.43226614
-43.98303508;42.70719017;9.720803300000002
6.821868257999999;7.523732783;25.85447465
8.634008745;33.35264358;-5.254767313
12.03004248;-1.5267194869999998;-28.34577168
68.83741651;0.764088255;4.379185313
19.67126675;31.54704769;27.406081
-13.01906573;9.756581319;-3.0618560830000003
26.62461704;24.69508017;21.82550237
44.60723545;64.42462295;56.83165293
24.60782703;82.81462647;-2.978949977
-1.267908895;40.43844666;-9.620516801
19.04555608;-5.708557561;17.31136146
20.71224457;34.22233399;35.8210975
24.33379652;-33.40182096;33.97979099
37.13648994;31.89095979;1.1015244709999998
36.14629935;17.40209642;39.59138967
9.323164234;21.51245563;-8.220731434
-39.09013136;-33.65131819;-57.74134545
-31.796813500000003;-86.3733517;-39.09656422
-43.10767357;47.16471088;-32.88536796
2.673243142;41.4432835;-5.951928426
11.48696028;29.00599239;56.78320539
-1.852834626;11.91070562;8.376627646000001
13.63021657;-44.27336106;7.3720036129999995
-13.31351569;-84.32540508;-42.69153481
13.38722244;30.69877252;-4.396868787
23.85135049;40.68544682;0.312482534
28.177318;-9.790013964;16.86391499
9.970747088;40.31644907;-2.7473815669999997
15.51482666;-30.139774900000003;0.172265377
8.439612613;9.546992525;-3.068792447
-2.766939902;5.248435223;-4.450307685
21.12348655;3.707162735;20.64891835
-14.43904771;14.85005309;-31.63532082
23.32848898;42.78369478;-13.76282548
39.28008225;44.12014849;25.31918471
44.03820021;28.96818678;29.79337198
15.42928782;39.50076017;26.9676715
37.13043925;-48.92563243;33.38913695
-14.47768562;9.158649314;3.204475445
-64.00003887;-100.94448;-43.37960924
-14.82999564;-26.93665854;45.90414974
5.995979006000001;-38.85801712;-4.367461066000001
42.96064841;-16.49718337;1.217974685
61.35633776;53.51780632;23.08722382
35.605923499999996;19.76153971;16.44947495
13.24758769;-6.36055805;4.538212257
10.662576199999998;-4.29726604;-0.467089695
-13.73786441;-25.26373378;13.78073977
-7.64853719;-67.9738191;-10.15182332
6.296364249;0.0;-16.2902045
30.327327399999998;60.61995926;28.69335642
31.72016156;105.1860182;23.765338699999997
27.42767938;-59.46410965;0.81716068
-12.33229808;31.15848333;-4.1879273889999995
-45.64696906;28.90577651;-37.33122991
17.63633732;11.81769849;-20.76557554
10.40605942;70.05564186;10.51752549
15.78957249;12.27163911;14.53447094
31.70438789;-14.72262722;16.64133495
-11.79658064;32.56514486;-8.203880351
18.59124864;57.13456336;9.476211904
22.24731459;14.090721100000001;0.53140461
8.665341423;-10.37522142;-2.337544072
21.82653457;-11.05151699;15.82636797
2.299096065;-29.90494379;12.66203914
-13.08778384;-69.02322181;-16.99260659
21.40586428;-20.50383135;2.3575141630000003
42.91927876;4.025528776;9.405532515
-2.838613441;16.99046656;-10.95647867
-8.941989508999999;-19.40091912;2.495794664
-22.89364676;-69.66460886;-19.18446651
-72.15594595;-0.960384615;-64.62653875
-9.560478064;-50.85663785;-27.13646261
26.77612533;75.10648657;26.18319856
90.74648935;28.52116852;69.63953911
35.30598759;17.31634179;3.93072732
-2.5549732869999997;-37.47899725;-18.04681675
-24.408799399999996;-60.48033004;-46.7134449
-48.51787528;-22.25739663;-75.67662982
-21.05290393;-61.11568369;-19.69575921
-5.285709074;-0.8474579870000001;0.964383985
1.5713262119999998;-42.47425865;-1.096071229
-12.21836696;21.5772329;-7.489278722999999
6.045715179;-4.042707068;-2.018054619
-7.357629894;11.56921583;13.52615064
7.818483883;33.22981766;-2.179129425
-6.009036541;32.17229634;5.9427434120000004
7.34455614;-26.95918989;-13.53092725
11.45567516;25.84030804;-4.388758805
5.053933163;17.53705515;1.6626434769999998
21.56035764;-9.037890095;20.83781713
14.88382297;-15.27898838;33.46500417
10.40757382;2.650269951;5.018788788
21.31257135;-20.12029535;-0.232041
8.936840507000001;26.8557211;-8.128454855
1.4111502130000002;8.081083;7.625237021
-11.16867653;25.70175591;-5.028080823
13.70189412;-19.56721987;5.492611988999999
