# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; Cons-Alc
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=4)
# prediction_type; rolling
Cons-Alc;IP-MP;IP-TCO;Cons-TraSer;Cons-Hea
2.414273447;17.31336708;-8.721430312;2.944141763;-2.357360158
-5.286420557;-3.0372203630000003;13.53194581;2.6578170869999997;38.20222363
5.505179107000001;-6.764188859;12.68648535;0.793913592;0.195312504
-0.656634894;-11.32151047;4.804862579;0.528401662;1.461811835
-8.412042169;-12.96709983;13.88553014;17.56253678;1.165615201
-6.540884397999999;26.14476212;-9.334405106;-13.36026569;11.66151885
-2.2805078880000003;-2.476788099;-6.946341768;19.87670053;4.216977091
-1.14514822;14.63577897;4.973951184;-16.23558306;8.85032647
-5.775439634;8.296593722999999;8.025715773;12.23804823;8.837149331
12.59766299;5.82251911;11.83857292;3.7488559319999997;-8.928338206
3.367968256;18.08217471;5.790434995;14.65365327;10.53047653
-3.367968256;0.552104988;2.956133547;5.714382898999999;-1.959042206
-9.122402212;-17.47987774;11.25301072;-6.674767514;-2.327669952
-2.545568325;9.117203811;-1.613990085;30.31227182;33.65062459
5.075039243;38.12407192;8.357716807000001;3.328729335;-8.424876133
15.51191842;-0.5124920620000001;-7.9984891220000005;12.83067328;4.10948158
8.508638244;-13.03046817;0.538237354;-10.84665157;6.291520433
1.508216169;3.691522575;-14.97891912;7.191694675;-6.458430513
-1.076716666;4.696727151;-6.757551611;5.576497825;7.114975592
-2.37902837;10.7492073;-12.30274775;6.967713788999999;10.12097308
1.731604436;-1.518028387;34.03921848;11.34974259;-0.560056097
6.427561976000001;-17.08997787;-36.19239226;5.054401343;-10.13533498
-7.292427177;1.056803785;7.774783151;0.40160645899999997;18.6117389
-6.766873522000001;12.46854196;-23.58870149;15.93522743;5.062865759
-0.440528679;-18.85165614;-39.90444475;18.28351244;2.5460593240000002
-2.653409398;-1.073826148;33.52406764;6.215847201;9.95019501
-3.3417069880000003;0.537273419;-2.080087891;5.942040396;-31.67964105
9.068677062999999;5.333412348;-13.79081166;6.207173992;17.94307564
-5.948884089;3.166243445;-9.170707361;-3.712733837;21.31620888
-3.1197929739999997;-17.73292387;1.323044205;-3.568266303;10.24672254
6.655727602000001;14.56668042;9.14076773;11.30817358;2.574655769
6.330282185;16.60419967;-13.34550908;-1.5710253669999998;-0.642111972
12.15769406;0.0;25.21707463;7.107445931;-1.072482544
2.721811078;-1.017812254;-13.38059456;-5.014113635;11.78111786
3.945009916;15.49225487;-8.072267403;-9.507489835;12.9275165
8.584897737999999;-11.43645333;46.54960955;21.16712374;-9.604548273999999
14.49649836;2.012582862;-22.59804086;-6.473735852000001;1.8571093459999999
18.85614522;4.987595792;-8.814627413;7.317796092999999;5.384762242000001
-1.117839572;-7.000178654;5.688797492000001;11.46972411;-6.828434859
1.4897596359999998;-12.81339539;8.281869345;4.562167581000001;8.989142341
4.803752884;4.145114813999999;4.685564145;-10.00667317;-9.333643266000001
-1.103448976;0.0;8.020318818;39.51097314;1.1700946140000001
-7.060099677;8.668280581;-36.12411726;2.5501680230000003;2.466605966
-5.8533024639999995;15.33892331;-6.57188934;-0.299177276;6.1680456260000005
-0.380589943;-22.46379362;-8.93392804;19.56594409;-6.646473705
1.70981025;33.94783597;18.5361349;-8.934088967000001;-7.315593831
9.553252015;-7.13879745;-5.427491682;2.614388392;11.53331998
9.872530389;-20.18890014;7.578034497000001;-4.65968138;-14.89056998
3.41651886;6.015150946;20.28132322;9.551828691;18.25986214
2.498892554;1.4897596359999998;-12.42335881;-8.673993665;-2.693159475
9.321151609;-2.486024161;8.324962297999999;5.515326856000001;-13.74469531
1.9076559030000002;17.56379705;-9.588786415;-1.154818557;-5.278514181999999
8.558306786000001;1.429423796;16.32879781;-1.73850328;6.2561683
2.36387349;-2.385218755;8.813576391;28.70873029;20.92513072
5.018886421;2.385218755;-10.23381628;1.349073791;4.214030745
10.66292378;0.475341708;-0.610221324;8.923293300000001;11.55571365
-1.297123147;-2.860560463;-25.20518713;-12.03299292;10.85982747
14.98183087;-8.706510592999999;3.8835256510000002;10.31710182;-11.05077345
5.129271761;-15.45363527;-7.805125689;4.995135567;6.441566425
2.00270012;27.02070633;37.38696486;15.50234043;-13.83074129
-1.5396477819999999;-35.23665627;-2.199455679;5.615440842999999;3.422411709
1.5396477819999999;3.1007907219999997;-3.4231268569999997;6.026247724;20.36940422
12.55538884;33.08485769;-8.791562687999999;13.67859737;-1.837394136
3.115165012;-32.05657949;-32.05153761;27.57355604;22.26609835
0.443049704;9.137453168;4.897111806;18.81814548;6.450823754
3.234122727;17.19110481;-0.664268074;-12.37432012;8.759267861
-3.234122727;25.605016600000003;-1.109570753;-5.673853997;15.29896571
5.278668982;0.450704273;0.0;-3.088818438;-2.53660703
1.4540183219999998;-23.181457;15.26070639;19.45277954;4.415174723
12.15029989;8.500910264;-6.686594098;18.85246549;16.11026423
-3.819657672;20.04975487;4.971693293;3.0075329660000003;-11.79626196
4.804013943;-7.175080275;-23.90091396;-6.139257512;15.83902649
3.3566630539999998;23.71715455;-22.51473489;-29.23771493;13.713341
-5.468972135;-7.3159651;32.20262044;30.35178072;-11.78317853
5.468972135;-13.24624351;1.776793593;9.49451196;14.38234172
11.53134076;4.908037037;-6.478778886000001;22.09445139;9.801926881
4.708310625;-6.257110827999999;-11.65463763;-1.4981290919999999;4.835901025
6.894436507000001;-6.814474861;-7.72631572;7.987263295;8.163072639
