# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; ExrateJPY
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_granger__graph(n_components=2)
# prediction_type; rolling
ExrateJPY;HSexfinNum;Imports
-56.0810178;2.088518489;-1.793193953
-2.7067103830000003;1.0327815340000002;9.516280621
-60.41539571;-59.30819233;-5.366970802
-29.95758125;-57.46759811;-2.693839628
-36.20431554;31.55830611;0.9449089009999999
-93.76554559;14.47703963;-24.89290348
42.60379346;12.14710511;10.33960374
-11.18720254;-5.320413015;-10.37547657
0.69054241;19.70296345;19.46481319
4.929309572;36.19526803;9.321597117
-48.52692194;44.44414087;19.79892976
-0.726506807;4.703090999;8.580850016
34.99962622;75.10166417;7.791154354
26.72296958;-32.66100428;27.34495973
-3.6309252689999996;-14.23452082;43.66793099
8.782539524;-37.62268499;19.97302524
-5.46333036;-55.90363711;12.69568361
2.623286571;-58.64221748;5.562136829
17.19677921;9.691773714;-10.05869347
6.651222509;52.146241499999995;2.443878646
16.01953089;-38.71066438;-26.77852246
-9.281895835;4.653897774;14.79719398
-48.54212117;3.636260552;-20.81119527
8.172058515;3.798115585;-2.96364465
4.369833684;47.11136125;1.136511161
2.953428428;21.18582211;10.06070035
-27.00000018;-15.49937131;12.04104296
-7.853293987000001;19.133575699999998;-6.743945126
-1.7040735759999999;33.81956627;15.81714586
-35.41731105;10.55823618;8.218011471
-17.46669362;-4.989582778;8.83068689
-13.76875693;12.79757975;-5.780347573999999
-41.9021976;22.20612752;6.693850682999999
-24.02253879;2.37973508;10.55802874
17.77325832;30.07964686;0.3553187
9.142021086;30.56576559;17.71507208
-6.402719257999999;1.069066363;15.25025863
-1.249406869;-43.56879882;24.44219341
9.285651142;-34.96908981;19.03869764
-26.21488731;-53.39371101;4.503545989
-63.09126483;-11.17411801;-3.825688405
66.21966715;17.69490555;0.859409258
29.64184796;-4.488360191;6.108649365
22.47096499;6.800945763;10.91291319
19.28607528;-19.0642992;11.30433106
3.315368077;11.4716614;0.765029878
26.7885657;14.859566699999998;17.17101697
12.982942199999998;11.58272717;6.023407657000001
-15.45204074;2.72760194;20.31131047
-15.50894539;0.050806554000000004;7.859213887999999
-9.886566797999999;-0.330358012;-1.0170511009999998
4.45682738;-0.004237089;17.1916628
-0.9276442009999999;17.38719315;1.274730288
-14.61241743;-35.05062334;-0.243174145
-47.866481799999995;8.383166494;1.471088727
4.981294883;27.48611603;13.567273499999999
23.12341066;35.67304925;7.481446761
-38.75879976;4.166531656;19.94478404
-30.29558689;23.94749499;5.685452728
0.300578628;-18.22027241;15.7707353
-25.707255399999998;-52.87204713;2.8920473510000004
-8.244154763;11.83420916;-0.327039853
-12.46882965;7.121684983;-12.32986972
17.49598139;14.56082084;-9.573798354
2.083282091;44.53914573;-5.567997107
-3.528611942;18.88314839;0.622507664
16.98782559;3.56293835;5.5593984370000005
27.91737391;-0.032072934;18.54177734
-0.46385780200000004;-18.43102662;13.21273884
-20.024995;-18.76845451;5.824293212000001
13.67039518;-8.258128382999999;27.98940961
18.58121225;23.2742039;2.58424676
32.87895047;8.884932931;3.8079691189999996
-4.936832055;9.596070241;12.12357386
12.45015594;-18.172603100000003;16.81362854
14.28901776;-55.72577671;21.77059699
-20.06122229;-1.697538681;11.14763914
2.87943655;7.435064604;6.0004075420000005
8.66642849;12.88021547;13.81432253
10.39233711;24.7469648;9.4617894
4.2597531889999996;-8.27144587;10.03976906
9.755998914;7.347956842;-1.062527862
10.12201333;21.54928176;10.888818800000001
-4.067674975;0.26206991399999996;7.786055951
-2.314165161;17.64860981;14.91774835
12.88975726;-1.8350917969999998;-4.596514838
15.54555724;-14.83310909;20.13368552
9.192839812999999;5.42478093;16.91294799
29.53481483;25.44502527;8.313001868999999
-6.398224967999999;-8.740049037;10.97413963
4.537111874;-4.102600004;12.37092721
-22.980119100000003;-30.79301815;18.13184745
19.36523636;-78.02118543;19.74533227
-27.86233418;-23.67534607;-0.154014752
-153.4718111;27.26640903;-35.48971924
-5.0950716410000005;78.95715905;-31.21559031
71.61440936;31.29089297;-0.091010125
18.74786684;-8.295471796000001;17.23908629
16.46117565;-37.38029161;28.95041019
-0.750040967;-70.10658768;14.92628261
-7.296136424;-28.68911611;13.82074851
-12.40684305;-7.166827391;-5.4240496789999995
15.25548045;7.681855604;16.21461854
12.42966725;-19.51203758;7.81189581
19.30041437;5.483981236;14.65193895
-32.936619300000004;-1.5326045130000001;19.44126636
-2.7239236769999997;24.00151163;1.163655662
21.5417953;-12.09618467;9.858233364
-19.41421911;0.879790559;-0.59946629
4.844349868;13.29252721;1.0596032690000001
22.09468097;3.653944497;0.948289079
42.84409729;17.50413966;-13.10770729
4.279448765;22.90057772;11.07502427
-32.88933554;6.614409285;-5.833613616
18.7568594;9.053149957999999;-1.9922494919999998
-6.9093804720000005;-0.902171231;-9.361639652000001
13.81366536;-1.1570014240000002;11.30357468
4.768600815;-5.939159736000001;-5.089159385
9.451199848;4.4342044330000006;-7.230196721
