# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Unum-Total
# prediction_type;rolling
# method; Part-GFS_te(n_components=7)
"Unum-Total";"IP.Min";"HSexfinNum";"UrateLabForce";"Cons.CloFoo";"Cons.FurEqu";"ExrateCNY";"Credit.Per"
-4.645466266;4.270503197;17.38719315;17.999999;11.77248007;2.89099833;-24.6901417;-0.639254095
4.979201337;8.406614145;-35.05062334;15.666667;17.81096717;-1.925008728;-24.48707402;3.622512959
-20.96333625;-19.89753;8.383166494;-55.333333;-3.902469978;1.124047307;21.35631481;-0.614601914
-16.48669889;17.81238192;27.48611603;4.666666;3.125015895;9.97676421;1.717497825;5.323823081
-12.06578409;-3.499584877;35.67304925;12;0.44444449;3.426145144;18.31322972;-8.970291822
3.778635109;7.659067766;4.166531656;45.000001;9.329548999;10.1813936;-5.180392379;0.04652267
-13.05152208;4.116674415;23.94749499;-6.666668;5.602030697;7.191204918;-1.494658342;-6.671237571
4.14312302;14.74203696;-18.22027241;-16.666666;-10.0750079;4.576540051;-16.45131668;-4.727422549
-21.76383119;14.85239223;-52.87204713;31.666667;35.56265439;27.23490511;-21.00021523;13.99739304
-14.66838639;4.412968321;11.83420916;10;-49.06275039;-32.48015526;-14.43226839;-38.43039094
8.95190535;1.87646943;7.121684983;-113.000001;26.45319759;21.42723203;-26.52696265;35.61415707
15.77405252;6.806042002;14.56082084;77.666668;17.45731589;2.529430526;-7.824510248;-8.579811921
32.75013359;0.61302694;44.53914573;69.333332;1.724796585;3.41733401;-8.932499694;5.641498938
2.912171104;-7.419068942;18.88314839;-83.999999;-1.623131824;3.663725605;1.097142854;-0.892887608
6.687492967;1.246106927;3.56293835;9.333333;3.340523021;6.077795121;1.390023029;-2.422596038
-17.31314946;5.559935076;-0.032072934;-11.333333;4.71006319;9.576083018;5.142805136;3.038102431
-16.29454977;-3.698023258;-18.43102662;-21.000001;-0.598205495;15.12798974;28.79893445;13.73830719
-4.260624499;2.469143643;-18.76845451;56.000001;14.50073064;-0.254939461;-6.615912098;-11.95612799
-5.906015905;-1.850427356;-8.258128383;6.666666;14.5504942;5.005213006;8.648561325;-0.869554518
-1.936730034;-2.480628105;23.2742039;24.666667;0.463660652;-2.08317365;26.92861979;1.756369049
-2.034839909;-3.750027466;8.884932931;-106;8.436809782;8.392354188;31.07329133;-2.060950254
-9.196322991;1.879408313;9.596070241;22.666667;0.996941719;3.455745036;6.208104323;4.39532055
-11.32216185;-8.847122101;-18.1726031;31.333333;12.73907909;8.390640533;39.01665163;-2.508044908
-11.60393944;1.275918147;-55.72577671;-27.66667;9.273516851;5.616223703;21.29383955;-2.591313356
-6.369908486;-5.128275372;-1.697538681;34.33334;7.63705846;4.777056409;-30.60152453;-1.635390229
4.805008335;13.94753026;7.435064604;-6;6.58554002;10.47286264;-2.040466025;3.300181752
-22.39821293;0.622568219;12.88021547;43.66666;3.621423913;3.977870544;34.09708052;4.068348045
0.713694244;12.25210638;24.7469648;19.66667;15.19322594;1.749068306;5.896247165;-1.69227159
0.178224732;18.27878813;-8.27144587;-12.33333;0.945440661;-3.165199503;-6.259523734;-2.984409119
-5.1236771;-9.329869027;7.347956842;-36.00001;8.255744768;-6.694956375;-14.33563116;4.776358998
6.673426544;5.856619997;21.54928176;-24.33332;1.84580216;-4.409676223;-9.354085316;-4.62261024
2.149523162;-19.66144092;0.262069914;16.66666;7.449854262;2.558892123;-4.965692381;-2.203460918
-12.76131545;7.261924112;17.64860981;22.66666;16.23539583;14.62779486;8.659859321;0.955471473
-9.11225137;35.00440091;-1.835091797;27.66668;6.456381203;9.007771687;-0.610012274;8.861874194
-12.11558272;1.644964621;-14.83310909;-64.33334;5.933359718;3.698693746;6.744338806;-3.598313037
2.135967285;1.638227546;5.42478093;40;3.212307767;11.52694492;-1.136908898;-1.801106385
-17.41589434;3.796638673;25.44502527;3.33333;2.150356345;0.210360247;17.07255365;4.659243477
-0.313915787;0;-8.740049037;-0.66666;11.7254476;11.96437999;3.719486356;-0.370698034
11.75893403;0.539447149;-4.102600004;8.66666;4.409598691;4.818418754;11.15675251;-5.662434797
-24.66936314;5.354832313;-30.79301815;-15.66666;5.870333739;3.863310056;-6.43475989;-5.678386397
18.38278105;2.122020892;-78.02118543;19.33333;-12.23296266;-0.749672238;4.525294193;-4.444080829
-1.325765496;5.256317424;-23.67534607;-33;7.092858979;-2.660151595;-41.40346989;-8.307292407
23.74926349;2.602481529;27.26640903;-9;0.861283977;5.89863226;-102.9424056;-6.442417009
74.22231929;4.129068923;78.95715905;58.33333;11.09550662;-3.789134654;-7.831778565;0.304273657
30.93019528;-3.092798913;31.29089297;-65.33333;16.27214751;9.406374047;65.17388567;0.849131864
0.327399282;21.65412255;-8.295471796;-22.33333;-4.599895292;-12.77682724;35.93194142;13.61947316
-9.311889147;0.489895958;-37.38029161;26.66666;0.187514653;10.27359801;27.62795185;4.390727394
-13.84516041;17.71683957;-70.10658768;7;7.858555801;0.442886187;-5.060735042;0.043926929
-3.286109698;4.193398918;-28.68911611;-20.99999;2.565285934;3.232934572;-10.52286762;-1.668398882
-8.68134691;3.231408226;-7.166827391;49.66666;7.359580251;2.77120525;15.18220851;-5.158593886
-1.812945498;-10.24503034;7.681855604;14.66666;-2.458225529;-0.339291144;21.05964094;1.525232071
-6.148750652;-7.13879745;-19.51203758;-56.99999;-7.160385377;4.14861413;7.384328182;1.149953602
-0.866591012;11.36171057;5.483981236;-44.33334;3.171231735;3.963501658;18.71291;1.145832897
19.90615536;14.21352976;-1.532604513;75.33334;-7.727931258;6.22360504;-16.22247903;-5.074170305
-0.565156012;11.10565504;24.00151163;-44.33334;4.189165041;1.494281448;-13.25688514;-3.343859303
0.869140415;3.055115779;-12.09618467;26.33334;10.1654238;-1.026718566;12.40721597;3.056475653
-1.130251233;5.183657857;0.879790559;-12.66667;3.094793001;3.350415121;-16.39677962;2.945406336
10.97076681;19.27074214;13.29252721;4;-4.771191204;-0.83497653;11.49853022;-14.1337464
6.803313608;6.491014649;3.653944497;1.66667;1.317761;-1.581949253;-8.068243322;15.33562987
14.23463088;5.59449679;17.50413966;33.66666;4.164225593;12.52898845;-2.042231082;1.841014054
13.16259269;4.733783059;22.90057772;-43.66666;5.816361569;2.522246844;-28.43325275;-0.723716742
3.117980415;20.63494752;6.614409285;-28.66667;10.81769035;1.56836587;-30.00409674;9.404028177
7.529364274;0;9.053149958;0.33333;8.815010395;2.007476471;0.526215202;-2.900496925
9.540295103;29.43030967;-0.902171231;51.66667;-7.059006725;6.707272432;-4.101220094;-9.975722403
4.229146705;3.102126707;-1.157001424;-12.33333;-5.005041839;4.481961496;21.63387906;2.431025189
19.03760764;15.82032025;-5.939159736;12.33333;5.174569284;6.438598077;-14.09348203;33.72514587
0.940685043;-1.322315254;4.434204433;-27.33334;3.991319744;8.134730596;-29.35690396;-32.7850797
