# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-OpeVeh
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=5)
"Cons-OpeVeh";"Cons.FurEqu";"Cons.Food";"Cons.CloFoo";"Cons.Other";"RHDI"
3.606763344;9.122854527;4.654129298;24.13550094;0.203510562;-5.337857215
2.511782194;-0.883327558;8.522199281;-12.5145719;19.26408495;1.332827059
4.79122163;1.373223516;0.800592009;5.872352853;-2.528576376;8.73017571
-3.603627977;-13.6450427;-2.966725349;-11.57677531;-7.583632297;0.921113212
10.59338278;11.09100651;6.739195448;5.578537327;9.627183756;-0.247372575
5.493182233;-0.690420588;-5.235631459;-1.766564386;7.881081467;-4.913438082
0.479328997;-7.372562382;-2.766722933;-2.919257761;2.655926286;1.859210975
-0.779201565;2.505959831;1.333217619;-3.840029492;-1.705355496;-3.438561444
0.898944119;-3.714419965;9.210135962;6.379720563;6.778227621;5.389546539
2.26832424;15.72319588;2.728988924;11.2331875;12.13607223;5.76085771
4.557273532;2.224108232;-0.23804464;-4.704480103;7.890863378;-7.986071794
8.155226415;8.302815095;-2.901903224;4.95055824;4.678415905;11.70527706
-8.037544744;-1.324504521;-8.274127723;-12.23948126;3.4079944;3.04637422
1.936765577;0.851970503;1.675541328;8.532318486;23.07600811;0.411438151
-1.348875994;9.715564022;3.50286194;1.734285777;4.816876251;12.54601144
10.66575289;-1.942874179;3.985602464;1.972876996;15.83183676;10.50769452
4.097346966;7.988329303;-1.129799185;-6.572772287;3.726735032;4.6972806
2.708431846;0.908059414;1.129799185;0.250000008;0.926283702;-7.898993352
-0.337552763;6.03139592;2.453995427;0.998440456;1.385416047;18.07172348
4.978040897;-4.582775052;7.272927633;-1.874124934;6.931526396;0.748979459
1.664126655;0.992892307;-3.317018631;0.62568447;0.829797563;-3.337618032
6.152277283;-12.54537988;2.682548406;-7.956063392;-3.177622158;-2.094452383
-21.67231673;0.278972463;1.634220808;-3.587467993;-0.684215695;2.854594799
9.608876522;-5.899673845;-1.166618885;-4.530059743;8.059777433;-10.02083156
3.356663054;0.471420208;0.966868568;-3.26745813;1.265706035;3.856518012
2.00055988;19.85245455;4.766689973;14.3079536;6.342315762;1.094233168
7.142065855;-8.518672657;-2.409347604;0.632611234;6.243320939;-3.448987307
-0.272349708;10.93235749;8.613047171;8.505636301;1.438074531;6.493175918
4.335498344;0.089116632;4.70252618;2.221542273;5.701147642;0.673129045
4.448957086;1.955559451;-0.769231006;-11.86660014;4.852806774;5.885309283
1.86133421;2.915529197;-0.288843435;-4.590423347;9.054382272;-2.02598174
-1.86133421;9.309827529;-6.016610281;-9.604614586;-1.369161015;0.712414268
7.18455659;-3.281538267;10.80364683;2.749151715;6.057112763;2.922424391
0.523217864;-4.797789501;-3.600900638;-4.328620697;-2.167292806;-4.950521335
5.349686959;14.13940314;1.118792434;6.280796363;7.401388626;5.304465913
5.940449726;-0.08471884;4.380996175;2.974953083;-1.87103582;8.718734283
-3.010410281;1.690976942;1.449733702;-0.128886742;6.576582589;8.066825572
5.139692875;5.030458252;9.205101859;-1.161853326;8.345861029;-1.656460817
-0.65785327;-3.178603092;5.162150221;4.755076077;4.236239851;4.697334126
1.163159047;3.594966198;-2.801899686;1.020734206;10.21171122;2.182327722
6.908807544;9.377357276;9.930711899;9.444795782;-5.073269291;-1.948590435
-1.043673326;-4.250142152;-0.507141061;1.118534207;7.802385166;6.504295964
-1.445754674;-2.142126644;5.013228883;5.546229666;6.803197778;4.364489538
7.961199812;0.825253026;-1.003542439;7.277338384;5.612221506;3.569889146
-4.975740002;-1.569439288;-0.798728217;-2.290197608;4.528575109;4.944575422
-1.340700157;0.661567238;-3.599206288;3.250582223;3.12801299;2.281495912
3.762403977;0.825423322;-1.556771668;-3.371482934;2.870335228;4.972910749
-3.613215189;6.055762144;2.690593104;0.845538591;5.679608606;1.855456227
4.990491513;0.243580643;-0.775425235;-1.329507192;4.520468682;5.814988088
12.61507317;3.796857752;8.067947403;5.172226628;2.156339454;1.377117224
-3.68049439;7.171506836;4.682838432;1.788645103;0.622040134;0.457417651
9.11503956;-8.137496438;2.421629018;-1.669152944;6.557064518;-1.955526811
5.083727264;2.89099833;1.291295644;11.77248007;11.39803145;3.81468826
7.756539299;-1.925008728;-5.538816323;17.81096717;12.60323598;8.022892669
8.766858367;1.124047307;-0.261523383;-3.902469978;0.784467794;-3.135166022
1.774822657;9.97676421;5.16956042;3.125015895;7.556182774;5.404492989
0.61933213;3.426145144;0.573476801;0.44444449;-0.92390648;14.13308791
-6.461456158;10.1813936;4.700071879;9.329548999;-0.668595463;0.992918145
4.289585345;7.191204918;8.656103047;5.602030697;1.848764364;3.71170225
-0.533689205;4.576540051;-3.367327779;-10.0750079;-2.570042252;3.914307667
2.705560018;27.23490511;-0.811274188;35.56265439;6.039009281;-7.44116173
1.720243044;-32.48015526;9.928950336;-49.06275039;4.947059523;23.98524457
-14.70358281;21.42723203;6.072634423;26.45319759;3.347299868;-10.55746651
12.18687933;2.529430526;-1.806724344;17.45731589;11.04025923;5.935709189
4.580034625;3.41733401;9.349340474;1.724796585;0.918484904;5.482929678
-4.757241406;3.663725605;-1.534291941;-1.623131824;2.407035787;8.087197683
5.457230647;6.077795121;0.291438993;3.340523021;1.963017884;10.89918874
4.304155436;9.576083018;10.89444607;4.71006319;2.808031045;-0.371925047
4.856880173;15.12798974;5.782740003;-0.598205495;5.136431538;-12.84035377
6.357412907;-0.254939461;-0.610143756;14.50073064;2.194600731;4.501162726
-0.252365939;5.005213006;0.965631623;14.5504942;6.191644937;1.328114369
2.809088637;-2.08317365;-3.287585007;0.463660652;1.236052486;6.452330385
4.610882355;8.392354188;1.353985007;8.436809782;0.091407679;5.552128065
-3.401098881;3.455745036;5.672417166;0.996941719;4.860106347;2.298588954
8.24516465;8.390640533;3.529765997;12.73907909;8.044963915;7.351011576
4.180869155;5.616223703;8.165814434;9.273516851;5.100091074;7.290354458
-0.20194881;4.777056409;8.45697463;7.63705846;7.744549961;14.94932298
18.66676552;10.47286264;2.146055818;6.58554002;8.814849777;-3.780715759
4.104567304;3.977870544;0.285272804;3.621423913;6.815749318;8.689843783
-8.251690348;1.749068306;-3.149246853;15.19322594;1.398602823;1.709969457
2.408241883;-3.165199503;6.462483167;0.945440661;6.112588388;8.722039568
-5.576497825;-6.694956375;5.547030177;8.255744768;7.412442293;2.339262373
-1.652732307;-4.409676223;-1.397055964;1.84580216;4.107461053;-2.052630752
2.006002533;2.558892123;1.443540566;7.449854262;11.1209759;4.296991628
-3.190720547;14.62779486;3.12528719;16.23539583;10.11279218;-2.251832146
6.472950549;9.007771687;-0.854133927;6.456381203;6.211419757;12.56491233
7.249788737;3.698693746;4.412569884;5.933359718;2.450517425;5.848381995
9.516166735;11.52694492;8.860621102;3.212307767;9.013450323;6.987229188
-1.121076967;0.210360247;1.42817446;2.150356345;3.47859145;11.07860961
1.978446477;11.96437999;1.245483353;11.7254476;10.46449634;1.965041437
3.854022774;4.818418754;9.696646816;4.409598691;8.58343562;8.007497016
-1.033973988;3.863310056;-4.599631053;5.870333739;4.223620906;5.566922424
7.218626722;-0.749672238;1.859298456;-12.23296266;-5.540022246;1.005906645
-16.23045916;-2.660151595;3.800967976;7.092858979;-2.986354755;-2.095687065
-17.43018352;5.89863226;2.671560076;0.861283977;1.665606826;26.20446099
1.104537191;-3.789134654;3.974179372;11.09550662;6.326902896;-5.305245943
3.334496827;9.406374047;5.992937591;16.27214751;2.861194933;9.263974952
12.38560487;-12.77682724;0.73239015;-4.599895292;5.007477684;-9.028550127
1.285688382;10.27359801;2.105981355;0.187514653;7.138411382;2.018933028
-3.678971556;0.442886187;-4.454365728;7.858555801;3.266893009;5.109689201
4.659364204;3.232934572;6.321685889;2.565285934;7.645758409;1.084699305
3.823117559;2.77120525;6.080642978;7.359580251;7.010648631;7.035478136
8.306329576;-0.339291144;1.038406325;-2.458225529;0.153721996;9.402520991
9.745135963;4.14861413;0.914007557;-7.160385377;2.573735421;2.254985056
-0.321041619;3.963501658;0.162271807;3.171231735;4.796657357;-0.611075012
-4.233223367;6.22360504;4.637382452;-7.727931258;3.515251527;6.245828427
-1.553821006;1.494281448;5.435488432;4.189165041;2.653458842;3.356669944
0.723458327;-1.026718566;7.483811207;10.1654238;1.838129532;-0.48246354
-4.689470715;3.350415121;0.988636041;3.094793001;1.594098051;6.399068978
0.840144595;-0.83497653;-1.707414312;-4.771191204;-1.860399795;-7.957772037
2.147118834;-1.581949253;6.174153065;1.317761;-1.660984146;4.193423779
-2.841024509;12.52898845;6.965609818;4.164225593;3.66866477;5.528321919
0;2.522246844;2.681616194;5.816361569;2.963519882;-1.266274
0.365363562;1.56836587;5.051603958;10.81769035;-1.376332849;0.440981735
0.109544024;2.007476471;-1.534729723;8.815010395;4.027761139;3.483768534
-1.829661959;6.707272432;2.401189331;-7.059006725;3.901342201;0.8904183
-1.285761313;4.481961496;0.184111206;-5.005041839;-0.258908995;1.811082357
0.183933419;6.438598077;-0.8476141;5.174569284;4.976113363;2.037011517
0.257364777;8.134730596;2.66575731;3.991319744;1.446861395;0.819848802
