# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;SPASXAllOrds
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=9)
"SPASXAllOrds";"Cons.InsFin";"Imports";"HStartsQLD";"HStartsSA";"HCE.MV";"HCE.TelEqu";"Var.7"
-5.265155561;9.186787684;19.94478404;10.85437384;26.9676715;4.620501432;-13.0907387;
10.20212862;7.872883957;5.685452728;27.09798592;33.38913695;-9.264905008;11.1920078;
12.29157462;5.257641316;15.7707353;3.73296502;3.204475445;8.217504462;4.14775473;
0.78088358;4.756964074;2.892047351;-57.10546597;-43.37960924;-1.794529703;5.029384337;
14.15924452;-8.149210553;-0.327039853;39.82638383;45.90414974;-10.15467045;21.70457779;
-5.835780477;4.173405186;-12.32986972;14.33398423;-4.367461066;8.682727671;-30.63807253;
3.404883502;0.093636612;-9.573798354;19.79166104;1.217974685;9.139909226;0.837842782;
14.24074737;-0.312207322;-5.567997107;64.59119133;23.08722382;0.210533547;-0.443736226;
-22.01146794;-2.003918086;0.622507664;32.15652258;16.44947495;-6.462569308;1.720414702;
14.32372854;-4.006500628;5.559398437;4.509835897;4.538212257;1.049951192;8.166057508;
12.18463149;0.316932114;18.54177734;9.62763522;-0.467089695;1.030643887;-7.300256304;
-13.58391814;4.2855302;13.21273884;0.705890077;13.78073977;-6.993051521;3.389850796;
-32.03002218;1.688953952;5.824293212;-13.4603149;-10.15182332;-0.385286795;2.474128568;
-1.725992724;-2.818898206;27.98940961;11.87030713;-16.2902045;7.763625111;-3.790361449;
-19.74646659;7.442509672;2.58424676;36.04387005;28.69335642;-5.994493523;-1.660181186;
17.69132351;0.462516914;3.807969119;17.47614857;23.7653387;-1.78978901;-0.000426884;
23.2748403;13.24513933;12.12357386;36.50795695;0.81716068;2.115955173;2.466179963;
12.38507252;14.69290145;16.81362854;-18.94756525;-4.187927389;-1.088609882;-2.469563557;
11.62013356;5.678306291;21.77059699;-57.64034953;-37.33122991;-4.404421079;-0.000419055;
12.6025415;5.179523461;11.14763914;-1.052857462;-20.76557554;7.279545767;1.223448131;
14.65108063;0.81025418;6.000407542;-5.791029147;10.51752549;-7.040478191;-0.006636829;
35.45877646;3.141632136;13.81432253;6.415732616;14.53447094;12.97750741;-0.410827691;
19.27317488;4.871899208;9.4617894;40.88399964;16.64133495;-11.50040123;-0.003680543;
-3.914345358;13.66183213;10.03976906;1.610104018;-8.203880351;1.433818682;-4.85710512;
34.6956457;6.867796494;-1.062527862;17.29615004;9.476211904;2.995872842;0.376935195;
10.41676432;3.493245994;10.8888188;11.81840417;0.53140461;-3.433448094;0.386506171;
31.97959326;6.440210676;7.786055951;-0.77848926;-2.337544072;10.26793767;4.531640362;
9.781206352;0.202762645;14.91774835;14.90393152;15.82636797;-9.492306665;-1.238175783;
-1.670443056;2.651775978;-4.596514838;19.1522866;12.66203914;7.205458562;2.047713048;
33.1465408;15.72120046;20.13368552;-5.088849862;-16.99260659;-2.2824185;-0.828033091;
25.74583947;12.32039729;16.91294799;9.033645675;2.357514163;-0.003191944;-0.817982637;
27.68038635;10.49187324;8.313001869;20.76619137;9.405532515;-2.256701073;-0.407123038;
4.356673473;13.90565412;10.97413963;-9.268690999;-10.95647867;0.751525261;-0.405885372;
16.01847603;1.674472288;12.37092721;-20.74101483;2.495794664;-0.000355328;0;
-66.03702466;-3.444680411;18.13184745;-33.98997471;-19.18446651;-1.514075875;-0.405885372;
-0.419746194;-3.45223335;19.74533227;-78.74871093;-64.62653875;-0.390118527;0.811770744;
-47.16034035;-11.25173426;-0.154014752;-39.61686146;-27.13646261;-1.165271499;-0.00041144;
-110.0872705;-8.722036412;-35.48971924;27.98985186;26.18319856;-3.537042044;0.808487546;
-37.30014961;-7.764006917;-31.21559031;61.04964756;69.63953911;12.03966252;-0.003673111;
43.9995494;1.698617942;-0.091010125;20.75814165;3.93072732;-3.513059814;-0.003650951;
63.13159716;0.501028964;17.23908629;-14.62371573;-18.04681675;-0.389621674;-1.608445586;
22.29309661;-1.91204953;28.95041019;-51.52984624;-46.7134449;0.379276439;0.40180817;
-2.931014722;9.39994128;14.92628261;-64.46875601;-75.67662982;-4.218430335;-0.402212201;
-15.24467063;-6.392587774;13.82074851;-25.21463632;-19.69575921;-0.405941423;-0.000404844;
-0.858974852;-0.76163298;-5.424049679;-8.088118066;0.964383985;4.254031253;-1.616569474;
19.36024269;6.052840404;16.21461854;10.89865348;-1.096071229;-3.101156114;2.019186519;
12.30808195;4.665864172;7.81189581;-53.90186461;-7.489278723;-0.0094444;0.808898152;
-9.763010263;1.59717813;14.65193895;12.82464334;-2.018054619;-1.188898891;0.804007259;
-41.2910808;-2.479514356;19.44126636;9.911107291;13.52615064;-1.217052074;-2.41854516;
-8.885879677;-7.484747812;1.163655662;14.11250141;-2.179129425;1.95910632;5.21671202;
