# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; HStartsQLD
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; dm_PCA(copy=True, iterated_power='auto', n_components=1, random_state=None, svd_solver='auto', tol=0.0, whiten=False)
# prediction_type; rolling
HStartsQLD;0
18.15595854;-27.2453544703
-32.70531707;-11.049414684
-54.36161478;-224.702134401
-149.3142071;-225.29930821
65.78131035;127.241813938
35.85655561;24.8429716441
8.839457343;41.2993342469
17.15259063;-18.9166672678
19.24142442;34.6813887723
45.89857574;113.967958652
119.4922178;152.260795618
-24.42483016;-16.7571025755
60.1511181;250.581015689
7.01167059;-65.0165794265
-17.66136954;-51.6735621836
-34.86954732;-94.9509967259
-74.24423931;-233.033904262
-52.6343298;-208.819976912
55.80260345;62.7626635095
53.66794174;168.03234219
-29.01697355;-105.972996311
-3.605034486;21.6820826024
1.849155201;17.6877385014
33.07893894;41.8168069934
36.0568346;120.776363092
50.07368455;107.480438379
2.603957096;-17.9832910814
29.39043655;91.2440688965
24.808892;117.579921446
27.83470544;55.506343343
3.294156258;-30.7173636911
9.871270691;56.2122350376
13.04939841;73.6763913794
-4.771045097;5.95661340769
29.64318883;74.0508747355
25.40628575;112.454863481
4.077164496;5.3300948923
-50.00392716;-172.865465905
-35.31752887;-114.54434328
-69.63291572;-176.463172297
0.861538795;-29.5776515269
40.72167051;102.730396985
-1.799256418;8.44242206638
-12.2319837;1.50510035201
-66.08695077;-98.4170267861
66.16361582;113.556026677
0.459682104;-33.401269478
6.324167343;14.7331194023
-16.85594011;-15.9810994724
7.823544134;-12.4466708259
-20.88772339;-19.5716880989
-25.20535222;0.207271716222
17.95179827;18.6481795597
-40.75664982;-84.1906867721
15.05288256;17.1048110771
35.54803008;96.8881085527
18.35482774;71.43935378
10.85437384;31.3991367274
27.09798592;62.846566929
3.73296502;-46.9020528539
-57.10546597;-180.699831087
39.82638383;1.41722091594
14.33398423;18.0181686909
19.79166104;15.4035499245
64.59119133;133.147301796
32.15652258;44.7410996852
4.509835897;2.45505258102
9.62763522;11.6375599379
0.705890077;-8.88893425198
-13.4603149;-69.4192925754
11.87030713;0.800982583676
36.04387005;65.9485081745
17.47614857;69.3665931277
36.50795695;45.6287739164
-18.94756525;-35.9873746366
-57.64034953;-158.061166177
-1.052857462;-37.9936931795
-5.791029147;12.7725783546
6.415732616;11.327366789
40.88399964;91.8174432714
1.610104018;-5.15517862236
17.29615004;31.6249760017
11.81840417;26.0241603236
-0.77848926;3.25460435194
14.90393152;28.1332971452
19.1522866;28.0707190801
-5.088849862;-62.5447383904
9.033645675;-4.75331365735
20.76619137;61.3697255553
-9.268690999;-23.2552558576
-20.74101483;-16.6464519801
-33.98997471;-82.271199561
-78.74871093;-203.957520351
-39.61686146;-107.335020637
27.98985186;35.702093618
61.04964756;218.646014883
20.75814165;89.5716052026
-14.62371573;-56.8446513923
-51.52984624;-120.654194155
-64.46875601;-206.177553434
-25.21463632;-106.067623135
-8.088118066;-8.88561814391
10.89865348;24.6886776871
-53.90186461;-49.8517090435
12.82464334;28.9632206999
9.911107291;-0.000162054117022
14.11250141;31.2524941429
22.0326092;4.37195364057
-6.085239392;-24.2651362425
-2.143267361;23.229146088
12.5386627;6.1889207102
9.271465545;26.7602785509
27.52089146;63.6224457082
3.685262692;29.1893120398
9.30227109;7.58230855025
4.869729908;-5.1968820639
0.463860099;-5.61640729959
6.0339314;2.80419193824
0.75602095;4.87072748945
