# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Urate-LFT
# prediction_type;rolling
# method; FCBF(n_components=12)
"Urate-LFT";"Urate";"Cap.MacEqu";"Cons.Other";"FedFunds";"Unum.LPT";"Unum.Total";"Cap.BioRes";"HSexfinNum";"Emp.HoursPt";"HStartsWA";"ExrateJPY";"HCE.Pet"
-0.36666668;-0.5;-23.55591245;-1.369161015;-0.063333334;-40.36352653;-8.180766147;1.850427356;12.79757975;-3.114277323;35.98874058;-13.76875693;-4.413151192
-0.03333332;0.16666667;-0.805755668;6.057112763;-0.443333333;19.8326468;-0.616410235;9.125871106;22.20612752;-2.189582607;35.05648979;-41.9021976;13.17804192
0.23333332;0.06666666;-3.181276258;-2.167292806;-0.35;-2.357748925;2.459961972;17.64992196;2.37973508;8.909592697;22.87017584;-24.02253879;-0.926406578
-0.16666666;-0.1;18.94046229;7.401388626;-0.203333333;19.35145492;1.948621523;-9.316287202;30.07964686;2.763146429;19.32306205;17.77325832;-9.987687264
-0.33333333;-0.29999999;35.23356462;-1.87103582;0.006666666;0.865613755;-13.34490931;1.176471436;30.56576559;9.742044925;46.71588519;9.142021086;18.76470354
-0.23333334;-0.20000001;0.101419879;6.576582589;-0.033333333;-6.97793544;-20.63624195;8.139815766;1.069066363;7.319682441;-2.77758374;-6.402719258;-23.50800491
7e-09;0.100000003;17.07243368;8.345861029;0.353333333;24.48786706;-15.54434515;43.58047352;-43.56879882;9.743383622;-63.44664514;-1.249406869;-7.163647163
0.233333329;0.033333334;15.62661498;4.236239851;1.333333334;-19.24303667;-18.28542497;-13.64961833;-34.96908981;7.605984664;-18.39295518;9.285651142;27.33481974
0.133333334;0.166666666;4.460494589;10.21171122;1.12;1.646628;-9.405795143;-16.35105032;-53.39371101;5.613794843;-69.40769008;-26.21488731;-13.32406418
0.033333334;-0.066666666;21.14752452;-5.073269291;0.02;-37.89062672;-13.63659021;-22.30742382;-11.17411801;4.579528901;-15.41140471;-63.09126483;2.051860386
0.166666666;0.3;-14.27607748;7.802385166;-0.003333334;18.21452905;1.262307388;-33.73645937;17.69490555;3.922501702;45.41713634;66.21966715;5.368649011
0.2;0.033333333;-13.06445823;6.803197778;-0.006666666;-11.70725363;2.036168476;-62.19396114;-4.488360191;2.134611011;-0.187410037;29.64184796;-8.108385749
-0.266666667;0;63.7597335;5.612221506;0.01;26.42299186;2.060997624;-26.26425832;6.800945763;1.76181038;22.03682204;22.47096499;8.602482088
0.133333334;0.066666666;-3.012213642;4.528575109;-0.003333334;29.12371233;2.958373241;12.57470937;-19.0642992;-0.158165108;-16.79581723;19.28607528;-13.21158658
0.199999999;0.066666668;-20.85270482;3.12801299;-0.326666666;2.839480375;7.549838674;67.4757632;11.4716614;3.474718029;3.316463033;3.315368077;20.19549191
-0.166666666;-0.066666668;-0.297413578;2.870335228;-0.573333334;11.78898566;2.23573912;-31.96262055;14.8595667;5.072053159;7.375874436;26.7885657;-18.14230665
0.066666667;-0.099999999;-2.344547662;5.679608606;-0.573333333;-13.97766271;0.340237353;-8.58709185;11.58272717;9.098684689;21.95451662;12.9829422;8.915353667
-0.133333334;-0.1;75.79703644;4.520468682;-0.186666667;-7.466117606;-5.858275319;9.294430672;2.72760194;1.438129536;-15.57235297;-15.45204074;-2.591745661
1e-09;-1e-09;-20.6141403;2.156339454;-0.71;-16.31154482;-6.400971501;33.21127584;0.050806554;3.414245385;-2.464203964;-15.50894539;-10.70245663
-0.266666668;-0.199999999;4.518148213;0.622040134;-0.13;-21.07614539;-16.15495812;-39.62281115;-0.330358012;5.39251737;-1.76217364;-9.886566798;18.22078298
0.233333334;0.2;18.00159781;6.557064518;-0.01;-23.69329125;-6.348609403;-7.246575002;-0.004237089;-1.025027881;6.952284165;4.45682738;-16.26275117
0;-1e-09;-28.48580569;11.39803145;0.023333334;-7.892108406;-4.645466266;19.27223756;17.38719315;5.643832861;34.14371088;-0.927644201;5.60222484
0.133333334;0.166666668;3.050431391;12.60323598;-0.043333334;10.77604303;4.979201337;54.630214;-35.05062334;0.63324552;-41.76202141;-14.61241743;-0.000976564
-0.600000001;-0.433333334;-3.731475824;0.784467794;-0.073333333;16.14484738;-20.96333625;-32.9299781;8.383166494;5.53619022;8.999397279;-47.8664818;5.567561888
0.233333334;0.1;4.106464133;7.556182774;-0.173333333;-7.147190774;-16.48669889;-0.660611215;27.48611603;2.904117871;11.63583667;4.981294883;-10.51644056
0.066666666;0.1;-8.791562688;-0.92390648;0.023333333;-5.279360256;-12.06578409;23.12039956;35.67304925;3.394775644;18.25257914;23.12341066;-5.739057413
0.1;0.2;17.87064994;-0.668595463;-0.01;39.63098928;3.778635109;55.28026472;4.166531656;3.854846915;3.750895742;-38.75879976;2.994966829
0.033333334;-0.233333334;9.557880747;1.848764364;0.16;-38.21002864;-13.05152208;-29.89410366;23.94749499;8.11314916;31.02845309;-30.29558689;12.22150736
0.033333333;0.300000001;1.071812002;-2.570042252;0.41;40.52390762;4.14312302;4.078695208;-18.22027241;5.295871719;-7.42575605;0.300578628;-23.48686487
-0.266666667;-0.5;28.20323633;6.039009281;0.59;-34.79678253;-21.76383119;28.52361108;-52.87204713;2.767507713;-55.41626374;-25.7072554;30.2158763
0.133333334;0.133333333;7.771070887;4.947059523;0.256666667;-17.04411095;-14.66838639;46.81320675;11.83420916;4.144718782;26.92117746;-8.244154763;-26.45320929
0.433333333;0.466666666;-24.92504733;3.347299868;0.07;0.680354823;8.95190535;-18.17378253;7.121684983;-5.522394617;-16.04117616;-12.46882965;9.821303755
-0.066666667;0.100000001;9.669594817;11.04025923;-0.353333334;37.60286459;15.77405252;6.974024729;14.56082084;12.02905385;22.49759472;17.49598139;8.1483349
0.300000001;0.166666666;2.263423969;0.918484904;-0.86;52.52760103;32.75013359;24.8884092;44.53914573;12.9482817;35.91634717;2.083282091;-1.373170349
-0.200000001;-0.399999999;-2.873697015;2.407035787;-0.1;-22.97281963;2.912171104;56.18713465;18.88314839;9.711572965;-3.41396098;-3.528611942;13.81833446
-0.166666666;0.066666666;6.361896213;1.963017884;-0.49;10.53332074;6.687492967;-13.53281296;3.56293835;-0.380589048;-7.757274927;16.98782559;-0.603716745
-0.366666667;-0.433333334;7.148957457;2.808031045;-0.186666666;-20.84574212;-17.31314946;-15.73834053;-0.032072934;6.26832091;11.61166065;27.91737391;-10.90217329
-0.033333334;0.066666668;11.82925342;5.136431538;0.23;-6.026639286;-16.29454977;-24.60249871;-18.43102662;2.036354266;-11.87068607;-0.463857802;4.802007903
0.133333334;0.166666666;-1.915406693;2.194600731;0.283333333;20.01668387;-4.260624499;-82.16949571;-18.76845451;9.204973638;-7.4976314;-20.024995;-21.37314246
0.033333334;0;57.84787584;6.191644937;0;-4.252749035;-5.906015905;-84.89041113;-8.258128383;8.775863337;-3.757764109;13.67039518;17.17170368
0.233333332;-0.033333334;-11.20427047;1.236052486;0;-29.15649005;-1.936730034;-1.403510212;23.2742039;5.91968713;25.63353377;18.58121225;11.29229192
-0.099999999;0.100000001;-2.084304655;0.091407679;0;4.485042041;-2.034839909;75.38154324;8.884932931;0.997256701;27.42908397;32.87895047;-19.18703291
-0.133333334;-0.066666667;22.97308593;4.860106347;0;-7.146986203;-9.196322991;138.8086049;9.596070241;-3.621847207;12.9741103;-4.936832055;-4.229415332
-0.099999999;-0.066666667;-8.412737542;8.044963915;0.236666667;5.13054349;-11.32216185;16.92095188;-18.1726031;3.787803186;14.71379273;12.45015594;-1.981882584
-0.033333334;-0.033333333;-3.075765908;5.100091074;0.263333333;2.540803724;-11.60393944;11.27930834;-55.72577671;0.104045075;-37.23395596;14.28901776;4.816457316
0.266666666;0.1;7.795584681;7.744549961;0;-12.14766976;-6.369908486;1.14887585;-1.697538681;3.600186375;-10.00405095;-20.06122229;13.0069173
-0.033333332;0.133333334;19.3822436;8.814849777;0;20.53082192;4.805008335;-12.82285615;7.435064604;0.814116968;27.97957146;2.87943655;-1.983794362
-0.300000001;-0.366666668;31.78711238;6.815749318;0;-16.23259386;-22.39821293;-30.34241002;12.88021547;4.709481305;9.187150855;8.66642849;-9.690757934
0.333333334;0.300000001;-9.817039936;1.398602823;0.08;-0.178173811;0.713694244;-3.422480772;24.7469648;9.765397991;21.00929126;10.39233711;9.0340332
-0.033333334;-0.033333334;24.01245828;6.112588388;0.17;4.694993643;0.178224732;19.7001571;-8.27144587;1.263343626;9.38961093;4.259753189;-0.089116632
