# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;HCE-TelEqu
# prediction_type;rolling
# method; Part-GFS_te(n_components=4)
"HCE-TelEqu";"Unum.LFT";"Cons.TraSer";"Cap.MacEqu";"HCE.MV"
0.376935195;-6.315825786;-0.537996046;13.95503598;2.995872842
0.386506171;9.276820284;8.610118299;26.6758281;-3.433448094
4.531640362;-0.604686363;-5.838228365;2.399652467;10.26793767
-1.238175783;-19.8864427;19.05329184;-20.09379584;-9.492306665
2.047713048;-2.36387349;6.4055309;-4.664775899;7.205458562
-0.828033091;-7.099991787;15.09613119;-9.360032989;-2.2824185
-0.817982637;-6.176536619;19.33198835;26.621732;-0.003191944
-0.407123038;-20.7999757;27.78122591;25.85515211;-2.256701073
-0.405885372;-10.75702065;11.98538729;7.870396552;0.751525261
0;8.908683433;21.03790262;7.96689225;-0.000355328
-0.405885372;-26.59563929;1.184406195;3.082207031;-1.514075875
0.811770744;24.03496968;-8.969730555;13.85806987;-0.390118527
-0.00041144;4.859526422;19.28242174;-10.9311124;-1.165271499
0.808487546;28.89399344;-22.45302608;-10.6967932;-3.537042044
-0.003673111;83.48867989;-10.29039772;0.328383454;12.03966252
-0.003650951;46.0196691;-16.52863924;-4.563488583;-3.513059814
-1.608445586;1.868905447;11.21201673;-23.15642731;-0.389621674
0.40180817;-13.4679714;-0.845964362;39.83427448;0.379276439
-0.402212201;-21.43630024;1.057176195;-43.1174098;-4.218430335
-0.000404844;-4.755511182;14.51437742;-24.78878552;-0.405941423
-1.616569474;-20.21306194;20.05548668;-16.08006372;4.254031253
2.019186519;-1.020408748;13.39488804;23.64446924;-3.101156114
0.808898152;-7.281715352;5.518184081;10.89423554;-0.0094444
0.804007259;6.194671314;11.77090851;7.684065614;-1.188898891
-2.41854516;17.93657557;0.955509562;24.69484471;-1.217052074
5.21671202;4.98903716;8.498401692;0.097734992;1.95910632
-4.012467355;-1.696586593;14.11303709;2.765750903;0.790400142
-1.995413424;-10.58279064;-1.46830604;7.194230955;3.609833325
3.989637179;31.89476441;-9.561752075;-4.274015891;-6.025151071
2.743044354;0.977503512;-3.842824316;-14.07988496;2.806172863
-5.52860747;11.68689224;-0.175554095;-32.22005191;-4.089532838
1.961363906;23.18704713;-0.761626008;-1.756147974;2.004506544
-1.177431386;-1.133257197;-4.659788744;-6.417659908;-0.027434725
4.273577824;10.95958965;-0.296757933;-25.45640276;3.743741262
-5.051436152;7.277554484;-14.87924797;21.61821917;0.832031548
-6.244403355;3.464746744;-6.962102717;-11.19001513;-2.498700626
0.687417846;10.5343903;1.439638515;12.05849147;-0.00391442
5.144444696;-4.480810789;1.932220352;2.439437621;-0.84427547
