# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-Man
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=6)
"IP-Man";"Cons.Other";"BusInv";"Urate";"Cap.MacEqu";"LoaAdv";"Imports"
18.00947255;-2.570042252;-49.08486453;0.300000001;1.071812002;-3.143488689;15.7707353
-6.765488977;6.039009281;22.61345244;-0.5;28.20323633;0.853507745;2.892047351
7.18455659;4.947059523;13.46293074;0.133333333;7.771070887;-0.896619572;-0.327039853
1.254574996;3.347299868;-47.44266517;0.466666666;-24.92504733;-1.698507728;-12.32986972
-9.720499473;11.04025923;20.72154713;0.100000001;9.669594817;-0.349743729;-9.573798354
5.101025559;0.918484904;-0.372167236;0.166666666;2.263423969;-1.883779149;-5.567997107
0.84388217;2.407035787;11.84417725;-0.399999999;-2.873697015;2.243385828;0.622507664
8.754909155;1.963017884;0.876910532;0.066666666;6.361896213;1.237908189;5.559398437
3.694228413;2.808031045;13.55947564;-0.433333334;7.148957457;-1.668142225;18.54177734
3.660422087;5.136431538;15.70935777;0.066666668;11.82925342;16.35475162;13.21273884
0.808898152;2.194600731;17.72031641;0.166666666;-1.915406693;-12.27963902;5.824293212
6.412963012;6.191644937;24.95353067;0;57.84787584;-0.184599677;27.98940961
8.653238142;1.236052486;1.918056994;-0.033333334;-11.20427047;0.975825615;2.58424676
-5.090621816;0.091407679;4.62826814;0.100000001;-2.084304655;0.656400145;3.807969119
-1.975312656;4.860106347;14.17181744;-0.066666667;22.97308593;-7.750586211;12.12357386
4.332883332;8.044963915;9.345023943;-0.066666667;-8.412737542;10.12000016;16.81362854
5.833841862;5.100091074;1.739739458;-0.033333333;-3.075765908;-5.552905761;21.77059699
-3.490085156;7.744549961;5.331218366;0.1;7.795584681;1.396066633;11.14763914
-4.307432716;8.814849777;7.987708185;0.133333334;19.3822436;-0.822459289;6.000407542
-1.577911316;6.815749318;30.99134402;-0.366666668;31.78711238;-0.659774066;13.81432253
1.577911316;1.398602823;-0.344147293;0.300000001;-9.817039936;-2.811494814;9.4617894
-0.393894665;6.112588388;20.27742629;-0.033333334;24.01245828;3.057263845;10.03976906
3.14034979;7.412442293;20.41573619;1e-09;13.95503598;0.130456956;-1.062527862
-7.897591196;4.107461053;21.09598745;0.133333332;26.6758281;2.936469765;10.8888188
0.398604916;11.1209759;1.300021457;-0.066666666;2.399652467;-0.77743827;7.786055951
4.752531155;10.11279218;0.577558901;-0.2;-20.09379584;-1.60669409;14.91774835
0.393507164;6.211419757;3.819197917;0.066666667;-4.664775899;-0.29548107;-4.596514838
10.48094896;2.450517425;7.451965444;-0.033333334;-9.360032989;-0.359275336;20.13368552
-1.920310937;9.013450323;31.02388144;0.133333334;26.621732;0.081336153;16.91294799
-4.646712468;3.47859145;15.14977146;-0.166666667;25.85515211;0.643197574;8.313001869
7.332573879;10.46449634;10.5084701;0.166666667;7.870396552;5.228718507;10.97413963
2.667947004;8.58343562;0.563464546;0.099999999;7.96689225;6.715553547;12.37092721
13.07916611;4.223620906;17.28112484;-0.333333332;3.082207031;-6.5582793;18.13184745
5.114224919;-5.540022246;12.44432197;0.433333332;13.85806987;-4.738801567;19.74533227
-8.436809782;-2.986354755;6.870929926;-0.199999999;-10.9311124;-1.357179009;-0.154014752
-22.10085884;1.665606826;2.282393383;0.3;-10.6967932;0.861156;-35.48971924
-17.62046645;6.326902896;-6.343580298;0.566666666;0.328383454;-9.147087462;-31.21559031
3.261995652;2.861194933;-3.435938309;-0.4;-4.563488583;2.326739072;-0.091010125
-0.406297648;5.007477684;-26.57343759;-0.466666666;-23.15642731;2.93789636;17.23908629
17.49781959;7.138411382;13.10963923;-0.133333334;39.83427448;-2.74641266;28.95041019
4.642218448;3.266893009;-18.70138975;-0.033333333;-43.1174098;0.356131215;14.92628261
-4.253302521;7.645758409;11.35717632;0.166666667;-24.78878552;-0.379228916;13.82074851
-2.730386028;7.010648631;10.46603698;-0.133333334;-16.08006372;-1.312142213;-5.424049679
-1.175895016;0.153721996;10.02453968;0.100000001;23.64446924;0.842894927;16.21461854
-7.128901563;2.573735421;19.13632431;-0.033333334;10.89423554;0.898034272;7.81189581
11.42372076;4.796657357;11.48839759;0.066666666;7.684065614;-1.239569115;14.65193895
4.633256436;3.515251527;45.78322037;0.266666668;24.69484471;0.211913911;19.44126636
-3.857310509;2.653458842;-7.140033579;-0.233333334;0.097734992;1.747475135;1.163655662
1.161103863;1.838129532;34.58805645;0;2.765750903;-1.573402641;9.858233364
-15.36377925;1.594098051;10.47984037;-0.033333334;7.194230955;2.516479558;-0.59946629
6.769698666;-1.860399795;2.349361796;0.166666668;-4.274015891;-3.677663855;1.059603269
-2.773661436;-1.660984146;-24.69969387;-0.100000001;-14.07988496;-1.261609043;0.948289079
-3.193629739;3.66866477;5.805235398;0.133333334;-32.22005191;1.123913517;-13.10770729
-6.057662466;2.963519882;28.14471317;-1e-09;-1.756147974;1.998684423;11.07502427
1.624367715;-1.376332849;-24.64734871;-0.099999999;-6.417659908;-0.01811002;-5.833613616
2.021227141;4.027761139;-15.83400615;0.033333333;-25.45640276;0.158979951;-1.992249492
-11.03800238;3.901342201;3.085020602;0.033333333;21.61821917;0.666677244;-9.361639652
6.577743291;-0.258908995;5.233873127;-0.133333333;-11.19001513;0.505323111;11.30357468
-3.686662042;4.976113363;-15.70260375;0.233333334;12.05849147;-0.191193306;-5.089159385
0;1.446861395;-4.268072931;-0.200000001;2.439437621;0.646954508;-7.230196721
