# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Gov-NatLoc
# prediction_type;rolling
# method; Part-GFS_te(n_components=11)
"Gov-NatLoc";"Cons.Other";"ExrateGBP";"HCE.TelEqu";"AveComp";"UrateLabForce";"HCE.Post";"Cons.PurVeh";"RHDI";"Hstarts.PDA";"IP.PRM";"HCE.ParAcc"
3.840453272;7.401388626;2.979751266;1.668390543;1.38781021;53.666666;0;10.84213871;5.304465913;6.400136446;26.71899237;-7.813638296
2.938112063;-1.87103582;24.07867671;5.019221013;7.712108311;-73.333334;0;0;8.718734283;8.968985534;20.00416823;3.325642903
4.116283707;6.576582589;-0.083866234;-4.17976635;5.95359828;-3.333332;0;0.248678901;8.066825572;23.2573572;-2.34834334;-1.112623175
2.050417196;8.345861029;1.506908438;0;-7.455947464;58.333332;0;-2.243695506;-1.656460817;6.639156647;13.88760507;-1.654792964
-2.487690758;4.236239851;2.996892271;5.369208133;2.812291875;-59.333332;0;29.3931107;4.697334126;-44.34503712;-1.519470013;3.848065946
2.407164114;10.21171122;-14.46822482;-5.369208133;5.934276667;43.333332;0;51.57909318;2.182327722;-59.36800205;-32.90611344;-1.113906173
16.13160014;-5.073269291;-15.75593727;-0.821355525;-0.829206792;11.000001;0;4.063011063;-1.948590435;-40.37036744;38.19919635;1.608681797
-8.44243017;7.802385166;24.095482;0.821355525;6.948746174;-19.666667;1.259843561;-59.37608702;6.504295964;-30.64284846;-10.27160577;-0.570003659
12.5365057;6.803197778;6.266883048;0;7.897945609;-1.333333;-1.259843561;27.62840958;4.364489538;-31.80482528;-8.175467071;-5.366271179
9.203463598;5.612221506;15.10431894;-4.132268155;3.142478127;-28.333334;0;13.13004619;3.569889146;-2.768177152;-1.181684759;-0.552468297
4.123824604;4.528575109;12.59967364;4.132268155;4.210103552;5.666667;0;12.71271362;4.944575422;16.32879781;18.12358179;0.52627686
-3.301624932;3.12801299;-10.47638526;0;8.332285524;-10.333333;0;8.323061003;2.281495912;6.611720912;5.615440843;4.882843488
2.782904616;2.870335228;-19.63917347;-2.082253531;3.488270538;-1.666667;0;0.602258583;4.972910749;12.90434476;16.74493814;1.05412478
2.925653026;5.679608606;-1.895078023;2.499572296;1.943597359;16.666666;3.132357432;24.50936686;1.855456227;28.18930278;15.38651233;-6.991823509
1.68947088;4.520468682;-11.44797297;-0.417318765;10.85249249;-43.999999;-3.132357432;21.84529957;5.814988088;18.50040694;-4.831810262;4.841987749
6.297968403;2.156339454;-10.36674402;0.416883831;-0.656882012;24;0;27.6090585;1.377117224;12.24017629;2.077926751;-2.154159861
4.477337412;0.622040134;-41.68884425;0.41558265;1.148836568;24.999999;0;32.95227654;0.457417651;3.274233834;-1.730855146;-1.080347362
-0.47120144;6.557064518;-2.068036285;-0.416882029;0.859467257;-16.333332;0;-7.908767038;-1.955526811;10.72450287;-37.05005976;1.618343408
1.198331793;11.39803145;-25.44259051;-3.333783952;4.229400932;17.999999;0;32.76332949;3.81468826;26.60827304;6.418259457;0
16.94311875;12.60323598;-28.63814663;-1.287938101;8.009879179;15.666667;0;14.03652792;8.022892669;-28.73029403;-7.94352346;-0.5409061
-0.696947615;0.784467794;22.88010946;-0.04469943;1.148231424;-55.333333;0.623538708;-8.163548652;-3.135166022;-4.27811554;6.818346909;4.847811774
4.339514411;7.556182774;12.91846404;-8.338373515;1.420820438;4.666666;-0.623538708;-5.00811407;5.404492989;-3.238884093;77.59612025;-2.170719021
4.787899273;-0.92390648;24.13026912;11.26397466;5.82752913;12;0;13.17166272;14.13308791;26.221706;-16.09684651;-3.202853951
0.093571942;-0.668595463;-10.41580096;-13.0907387;0.504438152;45.000001;0;-10.15927624;0.992918145;40.51653363;12.67934999;3.197165012
2.172723072;1.848764364;-2.06925718;11.1920078;7.491215346;-6.666668;15.28069689;19.25057667;3.71170225;14.41597477;-11.39317525;-2.130497713
2.887525371;-2.570042252;-12.61097812;4.14775473;4.127065813;-16.666666;-14.68144584;7.82223174;3.914307667;12.20138154;10.45604089;-3.735851038
-1.745919047;6.039009281;-1.903858554;5.029384337;-2.190751463;31.666667;-0.599251048;-62.61856974;-7.44116173;-91.19342841;28.36784168;1.045861075
-0.464214121;4.947059523;0.034696274;21.70457779;4.893718107;10;11.21844747;102.2574507;23.98524457;-127.1120416;2.323899057;-12.15707522
3.514589566;3.347299868;-20.75660265;-30.63807253;7.377068365;-113.000001;-11.21844747;-29.74554896;-10.55746651;31.33273729;-9.9711908;18.74953516
0.341880363;11.04025923;-5.03798928;0.837842782;6.123684388;77.666668;0;-37.25205895;5.935709189;-18.21680817;15.43693568;2.700155863
4.600004957;0.918484904;-2.971506285;-0.443736226;3.708564303;69.333332;0;-14.26643207;5.482929678;75.54845929;6.236837904;4.696040608
