# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;PIMP
# prediction_type;rolling
# method; Part-GFS_te(n_components=5)
"PIMP";"ResInv";"M1";"ExrateNZD";"HStartsQLD";"ExrateSGD"
14.60442398;39.41471968;-76.28719259;-13.71093001;0.705890077;17.66805512
-12.58578631;0.679405684;53.13905331;-4.661527487;-13.4603149;-11.85715165
8.532922147;10.61727672;12.47475515;-17.13872035;11.87030713;7.058765305
16.3078398;19.85903386;-0.022680229;-12.73413587;36.04387005;24.90417108
24.59729538;-15.55243791;7.573953823;17.02025147;17.47614857;33.00184954
12.49315662;17.77928335;-10.25103958;-0.307164998;36.50795695;4.642398711
22.53225484;26.9397943;2.352245894;4.723076667;-18.94756525;32.75147305
19.77569405;20.04481657;3.156330488;-1.568170645;-57.64034953;15.18041668
-20.25095589;-0.25037383;-10.51684137;-2.835931449;-1.052857462;-27.89264939
-3.434726881;2.96657052;5.477433288;-16.834944;-5.791029147;-1.436505204
15.50458578;-2.632773561;4.004585046;2.357860199;6.415732616;19.08674448
7.939865132;-0.278144786;-1.60476607;0.048974839;40.88399964;4.136845755
2.446299702;22.16251075;1.126556497;-4.729119123;1.610104018;-0.250770605
3.403865715;-4.101243139;-0.846714285;8.276030456;17.29615004;-2.053866191
-3.352007911;-8.684012136;-2.007915837;-13.37529405;11.81840417;-7.390436894
-4.074692506;-10.29650795;6.863476506;24.3509536;-0.77848926;-17.32127937
-2.180407083;20.81142978;0.212388855;23.73281239;14.90393152;-0.357771889
5.577662408;-13.13269653;-3.406166923;-4.970816019;19.1522866;2.108468019
3.717695541;10.98251051;4.995359168;-13.54236339;-5.088849862;3.500631847
6.043122675;13.68392701;0.180229586;-6.615216906;9.033645675;-1.027071617
18.14811729;-1.00441092;2.509193876;-3.247553191;20.76619137;21.5890566
5.371601459;2.185868052;-4.613263584;11.82734767;-9.268690999;4.521352546
10.84120158;8.550641155;-6.356113473;4.416876234;-20.74101483;2.776964608
-1.030194019;15.46228946;-7.879476419;-3.860644613;-33.98997471;-4.552322788
10.53723169;7.299254266;1.604514437;26.13228818;-78.74871093;4.346519018
-13.89396774;8.377883914;21.16541037;2.088156323;-39.61686146;-24.18423731
-87.4570186;-6.650428335;-23.81603984;-19.84371486;27.98985186;-82.48924368
5.665050806;-13.03171918;0.78003491;24.1370986;61.04964756;4.410335356
46.10597114;-18.21672074;11.47453351;3.888476837;20.75814165;48.41216777
27.72369712;24.41351639;-3.90691321;-7.674992396;-14.62371573;28.54988018
27.21794549;14.45954777;-5.652566124;5.225193527;-51.52984624;17.09648172
5.892389907;-0.55639281;-0.391864569;8.348000821;-64.46875601;-1.800595341
-3.613638194;16.31951803;1.953192207;-8.731142612;-25.21463632;-14.45247782
2.911902534;8.527604209;12.69549658;7.875951276;-8.088118066;5.617291483
22.28835267;-6.195883519;-4.589243377;7.68289989;10.89865348;14.44184871
5.230932749;8.131564103;1.239322928;9.253063427;-53.90186461;2.944620572
13.1988226;7.416178256;-10.6537619;-4.286078689;12.82464334;10.75265082
-8.059692627;-5.079773561;-3.460418277;-16.74247503;9.911107291;-10.25710295
-5.178087786;-3.749180908;5.114459901;14.03252696;14.11250141;5.889011007
16.5049144;-12.96717157;-7.284668446;-8.616208691;22.0326092;5.583058948
-13.98782599;-11.68432668;9.230662071;-0.770773147;-6.085239392;-15.49543494
13.67777927;1.387044099;-25.61430127;0.416818565;-2.143267361;4.641937756
-5.557241163;9.824695388;23.03379055;-5.083459722;12.5386627;-7.665241624
4.391727357;-6.973289235;3.93014815;-6.937266474;9.271465545;4.70808614
-13.35645553;16.43052057;7.346176778;-14.90298767;27.52089146;-19.8171415
-27.45588127;3.699372416;-6.801397798;-21.18276521;3.685262692;-23.21248208
3.159686992;7.08365343;6.714305544;-5.463822648;9.30227109;-1.400808806
-10.36377166;18.85702139;-6.527267315;-18.26000198;4.869729908;-3.915772902
14.3868142;10.06228232;4.53068341;5.778641078;0.463860099;11.17887945
-0.57599516;0.099554494;-3.097427666;9.50532566;6.0339314;-7.820161214
-16.45655773;19.42883831;-2.377418292;-9.837158596;0.75602095;-15.06397221
