# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; HStartsTotal
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; dm_KernelPCA_fit_inverse_transform_True_kernel_rbf(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto', fit_inverse_transform=True, gamma=None, kernel='rbf', kernel_params=None, max_iter=None, n_components=4, n_jobs=1, random_state=None, remove_zero_eig=False, tol=0)
# prediction_type; rolling
HStartsTotal;0;1;2;3
0.578735981;0.0;0.0;0.0;0.0654235789070351
-15.20050921;0.0;0.0;0.0;-0.03401810775375268
-71.07640469;0.0;0.0;0.0;-0.0029057845510141603
-29.21613059;0.0;0.0;0.0;0.07614676149000658
15.22948762;0.0;0.0;0.0;-0.0326950002380402
58.40193489;0.0;0.0;0.0;0.0041928762524256
24.00504676;0.0;0.0;0.0;0.033367025600023144
-16.23875152;0.0;0.0;0.0;0.031695684735221656
-36.59971786;0.0;0.0;0.0;0.01776434253995209
-58.87845013;0.0;0.0;0.0;-0.1003413822739485
-21.851922000000002;0.0;0.0;0.0;0.07066685647558675
2.7486458660000004;0.0;0.0;0.0;-0.012852281950933558
14.98403325;0.0;0.0;0.0;-0.0019153643391066613
-17.93501319;0.0;0.0;0.0;0.021040684214629186
15.04651339;0.0;0.0;0.0;-0.14638975137662544
6.612329379;0.0;0.0;0.0;-0.024049184880399296
17.97660907;0.0;0.0;0.0;-0.07683253954288223
-0.58813261;0.0;0.0;0.0;-0.11128315545095299
-4.232595788;0.0;0.0;0.0;0.03002666575435323
1.768783349;0.0;0.0;0.0;-0.056220038057036334
2.119849292;0.0;0.0;0.0;0.02660865539862505
12.70604066;0.0;0.0;0.0;0.0731358926332566
25.37958863;0.0;0.0;0.0;-0.0062495838952113985
9.733005999;0.0;0.0;0.0;0.1490286420537636
5.223758171;0.0;0.0;0.0;-0.07488832932991116
-2.5647929940000003;0.0;0.0;0.0;0.06695261727883954
-3.080967644;0.0;0.0;0.0;-0.036631258097241534
0.7918591209999999;0.0;0.0;0.0;0.02820272469356352
7.2221284489999995;0.0;0.0;0.0;0.010853307237727693
