# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;PIMP
# prediction_type;rolling
# method; Part-GFS_te(n_components=15)
"PIMP";"HStartsSA";"M1";"Cons.Hea";"Cons.FurEqu";"UrateLabForce";"ExrateNZD";"HStartsVIC";"IP.PCCR";"ResInv";"ExrateSGD";"Imports";"HStartsTotal";"HCE.MaiRep";"Credit.Per";"ExrateCNY"
6.621046877;27.406081;10.2327561;9.95019501;19.85245455;-49;16.36066342;38.75676419;-3.092229646;-4.086672245;-2.712008031;10.06070035;46.44667058;-0.036282825;-4.811416549;11.7161848
-11.00859982;-3.061856083;-7.100658965;-31.67964105;-8.518672657;33.333334;7.318710156;2.683998935;-14.90855792;16.57517909;-19.11350765;12.04104296;-7.581628776;-3.791497582;3.426406763;-2.857290797
-18.05533936;21.82550237;2.128289451;17.94307564;10.93235749;40.666666;-3.666596857;-5.770892644;-28.12355104;14.92970358;-13.24798461;-6.743945126;24.31921055;1.255888002;2.567010998;-5.241507274
1.198946825;56.83165293;0.623395456;21.31620888;0.089116632;-38.999999;3.495473859;36.84118823;5.395544714;5.654603638;-3.629749778;15.81714586;38.49941927;-1.883339111;-2.311272048;0.724069467
-26.40520576;-2.978949977;30.40470827;10.24672254;1.955559451;36.333332;-18.16902822;21.3949254;15.76323373;18.50590553;-25.61480621;8.218011471;15.50709959;0.627451109;5.252144519;-20.5630097
-8.006121617;-9.620516801;-38.57824626;2.574655769;2.915529197;-64.666666;-3.277232601;30.79797442;-1.407626086;21.97285074;-12.21486798;8.83068689;-2.392283;-0.628436893;0.980769449;-3.283136374
0.533092176;17.31136146;7.748251709;-0.642111972;9.309827529;10.666667;-2.223373825;-1.961431742;16.12192881;9.692177741;5.066640382;-5.780347574;23.03639513;3.760794325;-4.596098061;7.70284771
-9.945564438;35.8210975;5.953063206;-1.072482544;-3.281538267;4.666666;-16.1190955;34.21191506;-10.52090381;8.235585031;-10.34243887;6.693850683;22.83788502;-1.264649759;0.976418744;-4.582213877
-13.63019204;33.97979099;-9.642570517;11.78111786;-4.797789501;43.000001;-19.51081391;20.87887836;5.52367811;18.14900717;-14.97137693;10.55802874;10.10562873;-0.627396602;0.657059104;-8.853872836
0.181056876;1.101524471;6.954166269;12.9275165;14.13940314;53.666666;-0.80588422;40.90929125;18.75343436;3.385937878;3.947032989;0.3553187;26.90914797;1.843744299;2.978905068;0.553527929
30.34238283;39.59138967;3.123658734;-9.604548274;-0.08471884;-73.333334;12.90662495;17.28053265;-3.504951232;12.19533033;16.02731968;17.71507208;30.83621747;-2.470087483;4.561675281;188.5559409
0.303892009;-8.220731434;-5.980579256;1.857109346;1.690976942;-3.333332;-4.054288368;-5.815678203;6.546790986;28.56718198;-2.822154212;15.25025863;3.351648874;0.611147925;-3.635334574;7.138425975
-1.372515813;-57.74134545;-3.27718996;5.384762242;5.030458252;58.333332;-1.36422826;-46.32255269;7.717281174;1.712591526;-2.10873647;24.44219341;-52.44706316;2.427877613;-13.36103031;3.486283855
5.251858527;-39.09656422;-6.179727896;-6.828434859;-3.178603092;-59.333332;-5.944003174;-41.0045643;-10.32315358;0.110238391;2.395432017;19.03869764;-28.87210469;-3.047391493;25.38637422;8.157054049
-9.813505455;-32.88536796;-6.86706625;8.989142341;3.594966198;43.333332;-17.89730743;-53.08880148;-2.622960218;-15.62215681;-17.33911837;4.503545989;-52.57236295;-1.211203865;-5.798947243;-13.83246892
-27.73222675;-5.951928426;4.047024281;-9.333643266;9.377357276;11.000001;-30.48798275;-29.68845359;21.76536869;-15.72037824;-27.05772292;-3.825688405;0.208806617;1.815890299;3.736821493;-17.82449385
20.04636584;56.78320539;7.458928362;1.170094614;-4.250142152;-19.666667;21.87724235;48.55313748;-18.70691578;2.969134773;22.80776521;0.859409258;29.30782995;2.99711331;-1.866170247;15.7775792
9.630166345;8.376627646;2.658220555;2.466605966;-2.142126644;-1.333333;3.046562227;21.3431826;18.70691578;-23.89133469;0.780660157;6.108649365;7.181546981;-0.635949379;-11.30208232;0.488107787
8.914581883;7.372003613;3.879205847;6.168045626;0.825253026;-28.333334;-4.047608194;33.30033865;28.06762293;-13.28134774;6.525307944;10.91291319;8.687988549;-1.208077623;5.835044616;7.314058234
20.03263332;-42.69153481;-3.525718078;-6.646473705;-1.569439288;5.666667;9.623298212;-28.11909517;-5.065825137;-1.365743949;13.41043664;11.30433106;-18.359802;2.321891191;3.904410569;14.73105623
-1.095133952;-4.396868787;-2.928718188;-7.315593831;0.661567238;-10.333333;-8.987049588;37.17880021;-20.9303276;1.690234922;-2.557223387;0.765029878;36.97314451;-2.942343718;9.07210996;-3.704248136
5.538527515;0.312482534;9.247524201;11.53331998;0.825423322;-1.666667;-1.072781651;-33.57806623;27.15613422;9.487624269;5.597340551;17.17101697;-16.77715745;-1.742922148;-12.08784201;6.872617496
4.134412651;16.86391499;-9.115407126;-14.89056998;6.055762144;16.666666;-2.997777438;-0.699678222;-16.15187426;22.65918152;-6.103517178;6.023407657;11.47194748;4.037525268;1.985681324;-12.89950397
-3.29225403;-2.747381567;5.474131925;18.25986214;0.243580643;-43.999999;-3.800106255;33.33297533;0.40180817;16.41977818;-4.157928068;20.31131047;5.107405585;-6.917307325;-1.961991694;-6.435206484
-10.03813196;0.172265377;2.529602005;-2.693159475;3.796857752;24;10.54594666;-0.164535703;8.346055386;16.0483203;3.795980767;7.859213888;-5.464937835;1.141908216;-1.364707676;-16.00600628
-7.392215277;-3.068792447;-3.618427892;-13.74469531;7.171506836;24.999999;-7.889242802;3.685781317;2.74376382;31.86845285;-2.178588702;-1.017051101;-5.947589154;1.156900609;7.847323766;-31.08428086
6.174728903;-4.450307685;-11.05609124;-5.278514182;-8.137496438;-16.333332;18.89307964;-1.770396449;-4.32012054;6.571612488;2.202728835;17.1916628;-1.628554648;1.161946464;0.068909007;-5.927910444
-21.8266904;20.64891835;7.711635937;6.2561683;2.89099833;17.999999;1.770919002;3.397682824;12.82285615;6.317360682;-23.88490846;1.274730288;15.86697322;1.734518038;-0.639254095;-24.6901417
-14.34500833;-31.63532082;-0.973033379;20.92513072;-1.925008728;15.666667;-1.702661557;-15.98666766;-6.943279444;7.722625013;-6.861852354;-0.243174145;-32.09840412;1.132805947;3.622512959;-24.48707402
-9.39244637;-13.76282548;-5.667942605;4.214030745;1.124047307;-55.333333;2.822460951;-6.675343075;1.940809242;8.714733016;1.651900437;1.471088727;4.512247776;0.537500886;-0.614601914;21.35631481
10.51722353;25.31918471;6.904145598;11.55571365;9.97676421;4.666666;-0.678291998;41.41885409;11.07469307;6.483580991;18.40440033;13.5672735;27.02585186;-1.16292118;5.323823081;1.717497825
18.67494658;29.79337198;-3.571078724;10.85982747;3.426145144;12;11.58628658;9.468653048;-4.16473237;3.202802142;17.08427434;7.481446761;30.55883528;-0.578831768;-8.970291822;18.31322972
-2.061933611;26.9676715;0.44862224;-11.05077345;10.1813936;45.000001;9.621747907;-3.063597088;14.94104598;19.44561057;-9.909414693;19.94478404;5.110145119;-1.68499545;0.04652267;-5.180392379
-8.883162049;33.38913695;1.414389174;6.441566425;7.191204918;-6.666668;3.429645595;24.31861615;11.91961785;17.28065347;-5.690031016;5.685452728;30.51628726;-14.19673424;-6.671237571;-1.494658342
-0.607464759;3.204475445;0.676818503;-13.83074129;4.576540051;-16.666666;1.433636197;-14.93656311;-3.933871671;44.53686724;-7.089976256;15.7707353;-16.5932278;13.63768454;-4.727422549;-16.45131668
-19.72083574;-43.37960924;0.940562652;3.422411709;27.23490511;31.666667;-4.252128121;-38.46061915;-42.42382878;27.20202221;-18.7888374;2.892047351;-40.31292663;2.305481887;13.99739304;-21.00021523
-1.889335231;45.90414974;-0.054061722;20.36940422;-32.48015526;10;22.53765216;-4.867377535;47.42389389;-74.78716838;-12.28231214;-0.327039853;9.963458626;2.833775104;-38.43039094;-14.43226839
-20.77154427;-4.367461066;-0.953724617;-1.837394136;21.42723203;-113.000001;-10.30918806;20.41424379;-21.50859781;-68.1800403;-22.58213422;-12.32986972;17.38799428;1.611958124;35.61415707;-26.52696265
3.685233734;1.217974685;4.444914982;22.26609835;2.529430526;77.666668;-18.19751575;4.457635439;2.613168417;13.23458804;-4.888869535;-9.573798354;11.52217444;3.16664833;-8.579811921;-7.824510248
-3.103828841;23.08722382;6.296468662;6.450823754;3.41733401;69.333332;4.810283645;42.21569784;31.12879874;14.64804095;3.188884697;-5.567997107;42.36508029;-4.512375779;5.641498938;-8.932499694
-0.67637368;16.44947495;-2.006145396;8.759267861;3.663725605;-83.999999;-8.228688035;21.10877977;-19.03442804;33.9575913;-9.49608134;0.622507664;11.55661138;-1.664645439;-0.892887608;1.097142854
1.945702359;4.538212257;1.901139622;15.29896571;6.077795121;9.333333;6.365489394;-6.916985925;-8.022146725;33.33019044;16.42340518;5.559398437;-0.34564708;0.492001504;-2.422596038;1.390023029
12.06667421;-0.467089695;-2.459999039;-2.53660703;9.576083018;-11.333333;-4.701784601;14.65349094;14.82320542;22.85233041;5.285954818;18.54177734;7.006757302;-4.759506086;3.038102431;5.142805136
14.60442398;13.78073977;-76.28719259;4.415174723;15.12798974;-21.000001;-13.71093001;-16.74758851;15.31953982;39.41471968;17.66805512;13.21273884;-4.707222803;4.720671943;13.73830719;28.79893445
-12.58578631;-10.15182332;53.13905331;16.11026423;-0.254939461;56.000001;-4.661527487;1.201202331;4.078200152;0.679405684;-11.85715165;5.824293212;-8.774316222;0.472277938;-11.95612799;-6.615912098
8.532922147;-16.2902045;12.47475515;-11.79626196;5.005213006;6.666666;-17.13872035;-5.307897466;-2.033902687;10.61727672;7.058765305;27.98940961;-4.532272995;-3.636685928;-0.869554518;8.648561325
16.3078398;28.69335642;-0.022680229;15.83902649;-2.08317365;24.666667;-12.73413587;22.03885778;32.61789951;19.85903386;24.90417108;2.58424676;23.00940781;2.553275844;1.756369049;26.92861979
24.59729538;23.7653387;7.573953823;13.713341;8.392354188;-106;17.02025147;-2.503682152;-58.22945168;-15.55243791;33.00184954;3.807969119;11.21865579;-0.031807829;-2.060950254;31.07329133
12.49315662;0.81716068;-10.25103958;-11.78317853;3.455745036;22.666667;-0.307164998;16.33622315;1.446656188;17.77928335;4.642398711;12.12357386;20.415218;-1.535952001;4.39532055;6.208104323
22.53225484;-4.187927389;2.352245894;14.38234172;8.390640533;31.333333;4.723076667;-5.743645009;21.09451843;26.9397943;32.75147305;16.81362854;-6.073774779;0.489586878;-2.508044908;39.01665163
19.77569405;-37.33122991;3.156330488;9.801926881;5.616223703;-27.66667;-1.568170645;-41.38398304;-0.342612441;20.04481657;15.18041668;21.77059699;-50.810365;0.975740092;-2.591313356;21.29383955
-20.25095589;-20.76557554;-10.51684137;4.835901025;4.777056409;34.33334;-2.835931449;-13.40733472;-9.714267536;-0.25037383;-27.89264939;11.14763914;-10.73997277;-0.521121589;-1.635390229;-30.60152453
-3.434726881;10.51752549;5.477433288;8.163072639;10.47286264;-6;-16.834944;16.97658544;18.8633322;2.96657052;-1.436505204;6.000407542;3.422121352;0.465774387;3.300181752;-2.040466025
15.50458578;14.53447094;4.004585046;8.813644999;3.977870544;43.66666;2.357860199;4.833193775;-11.90058025;-2.632773561;19.08674448;13.81432253;8.032095144;-0.996431753;4.068348045;34.09708052
7.939865132;16.64133495;-1.60476607;-21.19301771;1.749068306;19.66667;0.048974839;33.14102182;-14.76441771;-0.278144786;4.136845755;9.4617894;28.81384916;1.906114905;-1.69227159;5.896247165
2.446299702;-8.203880351;1.126556497;6.378213449;-3.165199503;-12.33333;-4.729119123;17.00302805;2.854606228;22.16251075;-0.250770605;10.03976906;2.846069487;0.427180471;-2.984409119;-6.259523734
3.403865715;9.476211904;-0.846714285;-1.97345637;-6.694956375;-36.00001;8.276030456;-9.891308184;7.746720996;-4.101243139;-2.053866191;-1.062527862;9.298259176;-8.089371753;4.776358998;-14.33563116
-3.352007911;0.53140461;-2.007915837;14.5235054;-4.409676223;-24.33332;-13.37529405;20.36848054;-19.28945158;-8.684012136;-7.390436894;10.8888188;13.83689527;5.706953758;-4.62261024;-9.354085316
-4.074692506;-2.337544072;6.863476506;7.648416579;2.558892123;16.66666;24.3509536;-9.053430181;-1.834024304;-10.29650795;-17.32127937;7.786055951;-1.953874647;3.274261366;-2.203460918;-4.965692381
-2.180407083;15.82636797;0.212388855;3.902469978;14.62779486;22.66666;23.73281239;11.99999999;9.446397229;20.81142978;-0.357771889;14.91774835;16.74376204;-1.928515515;0.955471473;8.659859321
5.577662408;12.66203914;-3.406166923;12.98209129;9.007771687;27.66668;-4.970816019;20.06783761;-39.20272426;-13.13269653;2.108468019;-4.596514838;9.621278128;-1.414479428;8.861874194;-0.610012274
3.717695541;-16.99260659;4.995359168;-15.10599009;3.698693746;-64.33334;-13.54236339;-12.55322205;36.68132915;10.98251051;3.500631847;20.13368552;-11.37339441;1.815301654;-3.598313037;6.744338806
6.043122675;2.357514163;0.180229586;15.78894832;11.52694492;40;-6.615216906;0.096669632;4.670012632;13.68392701;-1.027071617;16.91294799;-3.241584498;-3.67027058;-1.801106385;-1.136908898
18.14811729;9.405532515;2.509193876;3.566524;0.210360247;3.33333;-3.247553191;13.75678849;6.025811785;-1.00441092;21.5890566;8.313001869;16.92626193;3.172302283;4.659243477;17.07255365
5.371601459;-10.95647867;-4.613263584;7.1220985;11.96437999;-0.66666;11.82734767;-6.03156543;-12.50660162;2.185868052;4.521352546;10.97413963;-11.47205524;-0.032612961;-0.370698034;3.719486356
10.84120158;2.495794664;-6.356113473;5.730579848;4.818418754;8.66666;4.416876234;17.53824998;6.837773344;8.550641155;2.776964608;12.37092721;0.578735981;-0.032031872;-5.662434797;11.15675251
-1.030194019;-19.18446651;-7.879476419;15.6930083;3.863310056;-15.66666;-3.860644613;4.520535801;7.423986858;15.46228946;-4.552322788;18.13184745;-15.20050921;-0.91155454;-5.678386397;-6.43475989
10.53723169;-64.62653875;1.604514437;-0.86682461;-0.749672238;19.33333;26.13228818;-71.8712981;-7.067321653;7.299254266;4.346519018;19.74533227;-71.07640469;0.856851014;-4.444080829;4.525294193
-13.89396774;-27.13646261;21.16541037;11.04806202;-2.660151595;-33;2.088156323;-32.23369674;-11.94118526;8.377883914;-24.18423731;-0.154014752;-29.21613059;1.266085928;-8.307292407;-41.40346989
-87.4570186;26.18319856;-23.81603984;0.575125908;5.89863226;-9;-19.84371486;5.353068055;-35.30574119;-6.650428335;-82.48924368;-35.48971924;15.22948762;-1.337694868;-6.442417009;-102.9424056
