# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;10yrNSWT-bond
# prediction_type;rolling
# method; Part-GFS_te(n_components=15)
"10yrNSWT-bond";"HCE.OthMot";"Cons.Final";"HCE.MV";"IP.Man";"Emp.TotalPer";"Cons.EGF";"Cons.RecCul";"Gov.Nat";"RetSales";"Emp.PtPer";"Currency";"Gov.NatLoc";"IP.ME";"LabForce";"X10yrT.bond"
-0.34;6.960777864;5.127280914;-1.958460105;-0.513149525;-2.20940689;-8.716481538;8.450020053;18.39112851;14.82945898;-1.987785084;-5.669564821;5.946269274;-5.306877178;-1.165975408;-0.31
-1.05666667;-0.356585716;0.414780031;2.054865301;-4.648212409;-1.206473905;2.137772309;-0.449185898;-11.82569027;3.345493669;1.567666012;-3.644504897;-1.756350943;-10.82976471;0.281590969;-0.993333337
0.30666667;-9.837839508;3.932789768;-6.125879327;-3.129090272;1.229169718;9.596715421;5.745061458;-7.605159406;3.814815652;9.33996359;4.431513371;-3.268046524;-16.10016105;2.234673347;0.349999997
-0.906666667;2.851314794;3.518764664;-6.402283882;0.523217864;-0.669193058;6.310183924;5.718310444;9.579371342;7.138964858;7.331497841;-1.838445756;-3.784800836;-5.031512883;0.400137612;-0.86333333
-0.516666666;-2.883291223;0.766587855;9.25689011;0;1.330296877;7.666525549;-7.661274503;4.830557147;-2.657817105;7.126197856;1.676464962;19.67136532;19.06804081;2.044446109;-0.413333333
0.263333333;-1.895738146;1.748354055;-1.806563863;9.81327461;-2.154784982;4.773193867;8.969355788;9.458904917;5.142243152;-2.848558783;-0.93901313;-8.652854283;-5.555644864;-0.902506378;0.243333333
-0.933333333;30.04825219;0.01925493;7.243725848;4.565680514;0.528848143;-10.16956576;4.921308613;-3.571177419;3.860934031;-6.598916971;1.60872607;6.393872886;9.672319279;-0.428625202;-0.846666667
-0.643333334;-26.5547802;3.405059099;-2.931659986;4.514154493;-0.187293391;3.493471988;9.507185904;6.715631696;3.70507396;-4.569406751;-0.933790929;-11.2406125;-4.806924802;-0.229308163;-0.59
-0.746666666;-2.624850582;-0.450807585;0.866319628;-3.506597285;1.689465408;-14.50965876;2.407123957;-3.20575696;0.679232664;7.412985008;0.727546884;0.216292666;2.067188063;1.768660601;-0.756666666
-0.136666667;0.86298303;6.942329285;-11.3142873;12.38489024;4.579838827;22.06753851;15.9550743;12.31516571;11.78596243;7.073028302;-0.104916555;3.840453272;27.23042842;4.293997196;-0.126666667
0.486666667;2.564892297;2.300040988;8.931626368;4.366325951;2.527396664;-1.876124284;7.351504578;9.632651087;6.276433272;6.489083753;-0.101598351;2.938112063;14.501194;0.841333101;0.46
1.893333333;-1.740577493;2.390868219;-4.961867903;5.272694681;3.132279945;-5.569569236;-1.380501802;-11.03213887;4.146285102;3.40922362;-0.098435797;4.116283707;9.181734428;0.709457754;1.833333333
0.80333333;-0.016228168;7.740457104;6.487309108;3.791497582;5.394652628;7.225429197;18.24640654;15.24635017;9.985857581;8.695379876;0.664315818;2.050417196;-1.21212214;3.367648187;0.8
0.64333334;-0.016023394;2.920979076;-2.663000128;-3.315590328;2.578675586;17.56511163;6.830575338;-2.217029249;4.14253266;6.726460566;-3.112946342;-2.487690758;4.226454415;0.653772148;0.586666667
-0.33333334;-0.850025068;4.479523371;-5.754948309;-5.748601935;3.798333744;-11.11776538;5.802542462;1.095654113;7.672477073;5.280536969;2.933139634;2.407164114;8.321251052;2.624030076;-0.13333333
-0.84333333;2.480081113;4.762130236;10.11504028;2.884627886;4.65738628;9.427324411;12.29065234;11.66246824;11.85981911;3.647934492;-1.567912416;16.13160014;-10.12712319;3.088331958;-0.950000003
-0.303333333;-1.682037176;0.688295184;-2.643268154;3.81409326;2.2704047;5.676836412;4.584577408;-8.250628033;6.976793503;2.53390266;-2.233299729;-8.44243017;3.603627977;2.187410024;-0.293333334
-0.643333334;2.426333838;4.269111246;-5.889532944;6.588384238;2.1301725;4.050404595;6.736726843;16.77277372;5.672424443;5.62020423;0.697773873;12.5365057;24.35534787;2.120825804;-0.543333333
0.126666667;-1.665679562;3.716175479;-0.92224943;8.314387104;0.731697726;-14.09188844;10.29625024;3.733124273;2.465492811;0.111997629;-0.032233688;9.203463598;-10.25697225;0.843126731;-0.03
