# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-EGWWS
# prediction_type;rolling
# method; Part-GFS_te(n_components=8)
"IP-EGWWS";"RGDP";"ExrateNZD";"HCE.UTF";"Cap.BioRes";"HStartsNT";"Cap.MacEqu";"HStartsTAS";"HCE.ITA"
-1.531590895;4.861530801;-8.987049588;3.528403148;67.4757632;30.69877252;-20.85270482;96.63232936;13.18425667
-1.53747787;2.893411827;-1.072781651;-3.702426274;-31.96262055;40.68544682;-0.297413578;-61.47609586;-0.018511234
1.53747787;1.160005411;-2.997777438;1.332543018;-8.58709185;-9.790013964;-2.344547662;-55.69001184;-4.457091389
7.09777812;11.91947646;-3.800106255;-2.158098616;9.294430672;40.31644907;75.79703644;10.23821888;6.629207962
2.50470449;-0.078847118;10.54594666;-4.152286422;33.21127584;-30.1397749;-20.6141403;-17.37978286;8.851586571
7.911259117;5.559877233;-7.889242802;2.060090391;-39.62281115;9.546992525;4.518148213;-3.53463272;-7.200420261
0.489296697;4.383223179;18.89307964;-1.375744629;-7.246575002;5.248435223;18.00159781;8.365005773;-0.547566164
-0.489296697;3.328738573;1.770919002;2.041388806;19.27223756;3.707162735;-28.48580569;9.003858806;1.086214739
2.440520078;7.198163037;-1.702661557;-1.369801066;54.630214;14.85005309;3.050431391;-44.83320106;-9.303013442
2.909103732;5.671514142;2.822460951;-0.679686511;-32.9299781;42.78369478;-3.731475824;25.4304338;7.117834706
4.324366442;3.077664237;-0.678291998;2.017365881;-0.660611215;44.12014849;4.106464133;55.00242636;10.94382787
-0.478182962;1.898103872;11.58628658;0.648094115;23.12039956;28.96818678;-8.791562688;-26.00303727;3.404275867
-1.918468905;3.609118265;9.621747907;2.603902065;55.28026472;39.50076017;17.87064994;0;-9.128182902
4.779029368;6.618342439;3.429645595;2.489415595;-29.89410366;-48.92563243;9.557880747;-5.409788138;1.979232739
