# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; 90daysBkbills
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=1)
# prediction_type; rolling
90daysBkbills;HStartsVIC
1.54;8.297846612999999
0.36666667;23.59597624
1.97666666;-49.13599022
-0.13333333;7.603146754
-2.84333333;-42.35701267
1.71;20.21919848
-0.68333334;15.42578449
0.24;-12.20088939
-2.02333333;-4.518301285
-1.89;1.4668291269999998
-0.44333333;40.09300888
-0.98333334;0.974761109
1.27333334;69.00353991
1.09;-30.67089925
1.26666666;7.449354547
1.83666667;-38.10236539
1.33333333;-50.05957235
0.26333334;-64.91094175
0.12;-25.48363361
-1.71;67.66875848
-1.38666667;-67.49918999
-0.98;2.631191456
-1.53333333;-8.510959403
-0.87666667;13.12782133
-0.85666667;48.9851239
-0.80666666;38.75676419
-1.6333333369999998;2.683998935
-0.89;-5.770892644
-0.773333333;36.84118823
-0.95;21.394925399999998
0.11;30.79797442
-0.18666666699999998;-1.9614317419999998
-0.48;34.21191506
-0.31666666600000004;20.87887836
-0.093333334;40.90929125
0.026666667;17.28053265
0.133333333;-5.815678202999999
0.6833333340000001;-46.32255269
1.54;-41.0045643
1.0066666659999999;-53.08880148
-0.48;-29.68845359
-0.17;48.55313748
-0.09;21.3431826
0.033333334;33.30033865
0.076666666;-28.11909517
-0.433333333;37.17880021
-0.703333333;-33.57806623
-0.5;-0.6996782220000001
-0.17333333399999998;33.33297533
-0.8;-0.164535703
-0.003333333;3.685781317
0.023333332999999998;-1.7703964490000001
0.093333334;3.397682824
0.06333333299999999;-15.98666766
-0.29333333300000003;-6.675343075
-0.046666667;41.41885409
0.06;9.468653048
0.09;-3.0635970880000003
0.526666667;24.31861615
0.31666666600000004;-14.93656311
0.41;-38.46061915
0.226666667;-4.867377535
-0.10666666699999999;20.41424379
-0.7666666659999999;4.457635439
-0.64;42.21569784
-0.06;21.10877977
-0.55;-6.916985925
0.046666665999999996;14.65349094
0.49;-16.74758851
0.12;1.201202331
-0.096666666;-5.307897466
-0.08666666699999999;22.03885778
-0.023333332999999998;-2.5036821519999997
0.07;16.33622315
0.433333333;-5.743645009
0.29333333300000003;-41.38398304
-0.03;-13.40733472
-0.073333333;16.97658544
-0.023333332999999998;4.833193775
0.203333333;33.14102182
0.07666666700000001;17.00302805
-0.066666667;-9.891308184
0.0;20.36848054
-0.013333333000000001;-9.053430181
0.223333333;11.99999999
0.31;20.06783761
0.196666667;-12.55322205
0.06333333299999999;0.09666963199999999
0.013333333000000001;13.75678849
0.296666667;-6.03156543
0.39666666700000003;17.53824998
0.47333333299999997;4.520535801
0.21;-71.87129809999999
-0.35666666700000005;-32.23369674
-2.383333333;5.353068055
-1.706666667;45.41883019
-0.193333333;22.4262802
0.11;0.135678443
0.683333333;-20.01733629
0.276666667;-33.77052602
0.52;-16.90097334
0.05;8.126406253999999
0.15333333300000002;15.58848035
-0.02;-11.16032848
0.03;8.602243785
-0.08666666599999999;-6.378557083
-0.256666667;-2.986382275
-0.213333333;9.759557241
-0.623333334;7.123460839
-0.23;-3.187698265
-0.38333333299999994;6.691745749
-0.17;11.42183557
-0.12;11.3668405
-0.233333333;26.66484602
-0.053333334;-13.00312104
0.043333334;-3.5905392789999997
0.053333333;0.863889012
-0.043333332999999995;5.22195521
0.093333333;11.41189898
