# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-Hea
# prediction_type;rolling
# method; Part-GFS_te(n_components=3)
"Cons-Hea";"DomSales";"Cons.TraSer";"ExrateJPY"
2.217415813;2.266206158;11.77090851;19.30041437
10.67093579;18.29226336;0.955509562;-32.9366193
-5.862772807;0.191679973;8.498401692;-2.723923677
12.13793488;14.87641528;14.11303709;21.5417953
8.389624273;3.464300014;-1.46830604;-19.41421911
10.65620397;2.875580125;-9.561752075;4.844349868
7.073736771;-0.552665696;-3.842824316;22.09468097
4.780134756;-3.313061077;-0.175554095;42.84409729
0.520813462;1.272935456;-0.761626008;4.279448765
1.466882231;3.531045017;-4.659788744;-32.88933554
3.704292452;1.722251805;-0.296757933;18.7568594
7.959568438;2.93163109;-14.87924797;-6.909380472
2.775328524;1.3313944;-6.962102717;13.81366536
2.317656563;-5.740467721;1.439638515;4.768600815
6.557048258;2.112309081;1.932220352;9.451199848
