# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-RenDwe
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=4)
"Cons-RenDwe";"AveComp";"X5yrT.bond";"X10yrNSWT.bond";"HCE.MV"
2.760743036;2.670099773;0.14;0.093333333;7.205458562
3.018157841;11.84225936;0.016666666;-0.08;-2.2824185
2.953371009;5.722235636;0.156666667;0.133333334;-0.003191944
2.711803533;7.705872018;0.183333333;0.223333333;-2.256701073
2.537436883;3.797972452;0.04;0.213333333;0.751525261
2.593840957;3.115175058;0.21;0.16;-0.000355328
2.52574904;4.053862007;-0.11;0.093333334;-1.514075875
2.499687992;7.855576969;0.09;0.136666666;-0.390118527
2.474014275;-0.052386877;-0.5;-0.313333333;-1.165271499
2.640340387;-0.183408119;-1.626666666;-1.056666667;-3.537042044
2.753226304;0.261985862;-0.67;-0.3;12.03966252
2.883560549;-2.416767055;0.933333333;0.696666667;-3.513059814
2.951750512;6.481683804;0.706666667;0.073333333;-0.389621674
2.910533982;3.356157549;0;0.016666667;0.379276439
2.889508856;4.651809616;-0.003333334;-0.07;-4.218430335
2.897755777;9.442336867;-0.006666666;-0.093333333;-0.405941423
2.924847668;5.104720801;-0.483333334;-0.5;4.254031253
2.703713555;5.354832313;0.416666667;0.316666666;-3.101156114
2.534207108;5.522628094;0.123333333;0.34;-0.0094444
2.396007541;5.682586397;-0.183333333;-0.25;-1.188898891
2.297590337;5.556617693;-0.953333333;-0.65;-1.217052074
2.32165778;2.956816421;-0.536666667;-0.426666666;1.95910632
2.345232261;7.681804312;-0.033333333;0.1;0.790400142
2.340750834;0.225708165;-0.72;-0.47;3.609833325
2.299725741;-3.854468098;-0.216666667;-0.41;-6.025151071
2.38648975;1.909203011;0.08;-0.083333334;2.806172863
2.309135396;0.702291121;0.296666667;0.303333334;-4.089532838
2.268947695;0.768839628;-0.14;-0.063333334;2.004506544
2.15793237;3.419208762;0.3;0.493333334;-0.027434725
2.226284744;4.14465298;0.236666666;0.133333333;3.743741262
2.266947247;1.46042094;-0.013333333;-0.173333333;0.832031548
2.262952489;0.904553487;-0.173333333;-0.333333334;-2.498700626
2.162901099;4.034458365;-0.263333334;-0.34;-0.00391442
2.220752267;-1.814855383;-0.286666666;-0.313333333;-0.84427547
