# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; PEXP
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=2)
# prediction_type; rolling
PEXP;HStartsSA;HStartsNT
-49.90572641;-27.52798427;17.75035263
11.90121964;15.79388653;-37.79032137
-25.53765868;-84.60645956;-36.07428713
-0.953644025;-85.03983554;-73.89364128
-6.621401101;47.29246598;28.88332325
-56.69709165;16.30968154;37.71528301
24.22163962;9.147143299;-81.36042903
7.219982996000001;24.21467609;-17.41632342
12.25449724;-15.71079733;-11.68741819
7.9943621060000005;14.86572659;-15.38651244
-19.77230099;57.67248569;6.666820994
1.8275622759999999;-10.07391997;-21.50447064
29.20645106;68.46000578;98.45322779
28.50430687;11.59200082;50.33254736
7.968770945;8.96750875;-40.45550251
9.861901201;-28.92701202;65.31787278
-22.11752996;-33.34327715;-40.39036694
0.666938928;-69.16473909;-109.5555
10.8894664;18.89258906;39.61568314
0.136908712;52.43226614;22.20111383
7.6824389570000005;9.720803300000002;42.70719017
7.942132417000001;25.85447465;7.523732783
-27.31680567;-5.254767313;33.35264358
3.141440242;-28.34577168;-1.5267194869999998
8.45139186;4.379185313;0.764088255
5.960885372999999;27.406081;31.54704769
-10.88331047;-3.0618560830000003;9.756581319
-17.720495800000002;21.82550237;24.69508017
1.663274202;56.83165293;64.42462295
-25.80912004;-2.978949977;82.81462647
-12.53149115;-9.620516801;40.43844666
-1.890521712;17.31136146;-5.708557561
-13.74298767;35.8210975;34.22233399
-16.48655104;33.97979099;-33.40182096
0.215232964;1.1015244709999998;31.89095979
29.50907717;39.59138967;17.40209642
-1.410402608;-8.220731434;21.51245563
-1.9859261069999998;-57.74134545;-33.65131819
4.538950245;-39.09656422;-86.3733517
-9.99722853;-32.88536796;47.16471088
-32.66476788;-5.951928426;41.4432835
23.82354289;56.78320539;29.00599239
13.3792911;8.376627646000001;11.91070562
9.334059292000001;7.3720036129999995;-44.27336106
18.66827887;-42.69153481;-84.32540508
1.027317885;-4.396868787;30.69877252
6.585602419;0.312482534;40.68544682
4.624064207;16.86391499;-9.790013964
-4.978830031;-2.7473815669999997;40.31644907
-8.205372591;0.172265377;-30.139774900000003
9.856295787;-3.068792447;9.546992525
21.96780264;-4.450307685;5.248435223
-23.03415675;20.64891835;3.707162735
-11.55138732;-31.63532082;14.85005309
-14.3399486;-13.76282548;42.78369478
7.582855492;25.31918471;44.12014849
17.70949127;29.79337198;28.96818678
-3.062930915;26.9676715;39.50076017
-11.53170587;33.38913695;-48.92563243
-1.516808381;3.204475445;9.158649314
-21.92075046;-43.37960924;-100.94448
-1.1050974679999999;45.90414974;-26.93665854
-19.01217861;-4.367461066000001;-38.85801712
9.11124164;1.217974685;-16.49718337
-2.0252189609999998;23.08722382;53.51780632
-0.17281861699999998;16.44947495;19.76153971
4.306167183;4.538212257;-6.36055805
15.18774044;-0.467089695;-4.29726604
12.96250209;13.78073977;-25.26373378
-13.12250969;-10.15182332;-67.9738191
10.03360334;-16.2902045;0.0
15.97392513;28.69335642;60.61995926
25.89263071;23.765338699999997;105.1860182
10.39629344;0.81716068;-59.46410965
21.23883356;-4.1879273889999995;31.15848333
19.99712969;-37.33122991;28.90577651
-20.53783261;-20.76557554;11.81769849
-3.403165095;10.51752549;70.05564186
15.20655433;14.53447094;12.27163911
5.901161688999999;16.64133495;-14.72262722
0.844034123;-8.203880351;32.56514486
3.5473416589999998;9.476211904;57.13456336
-1.163903468;0.53140461;14.090721100000001
-5.101109758;-2.337544072;-10.37522142
0.933838765;15.82636797;-11.05151699
7.634636839;12.66203914;-29.90494379
3.872613542;-16.99260659;-69.02322181
7.191319626;2.3575141630000003;-20.50383135
18.04935676;9.405532515;4.025528776
4.843454604;-10.95647867;16.99046656
11.45554985;2.495794664;-19.40091912
-0.092749186;-19.18446651;-69.66460886
15.42964985;-64.62653875;-0.960384615
-11.8634591;-27.13646261;-50.85663785
-89.44175649;26.18319856;75.10648657
4.861397172;69.63953911;28.52116852
45.80872464;3.93072732;17.31634179
26.70028152;-18.04681675;-37.47899725
25.11125645;-46.7134449;-60.48033004
2.263431733;-75.67662982;-22.25739663
-5.0051329;-19.69575921;-61.11568369
1.317239217;0.964383985;-0.8474579870000001
21.91976496;-1.096071229;-42.47425865
4.593687291;-7.489278722999999;21.5772329
15.38777938;-2.018054619;-4.042707068
-9.930624307999999;13.52615064;11.56921583
-5.993060446;-2.179129425;33.22981766
15.99634528;5.9427434120000004;32.17229634
-12.45508863;-13.53092725;-26.95918989
11.85468549;-4.388758805;25.84030804
-3.524516759;1.6626434769999998;17.53705515
10.06662791;20.83781713;-9.037890095
-10.41435593;33.46500417;-15.27898838
-27.50750947;5.018788788;2.650269951
3.9400061539999998;-0.232041;-20.12029535
-9.753341325;-8.128454855;26.8557211
14.563418799999999;7.625237021;8.081083
-2.154749668;-5.028080823;25.70175591
-14.80043237;5.492611988999999;-19.56721987
