# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; HStartsNSW
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_granger__graph(n_components=1)
# prediction_type; rolling
HStartsNSW;Imports
-6.874321211;-1.793193953
10.25151292;9.516280621
-56.59413376;-5.366970802
-61.81240864;-2.693839628
43.18843738;0.9449089009999999
-2.623345366;-24.89290348
23.14261445;10.33960374
-13.24880259;-10.37547657
23.69603122;19.46481319
87.77741831;9.321597117
12.82860941;19.79892976
28.16690729;8.580850016
63.12164985;7.791154354
-68.47122547;27.34495973
-16.65778965;43.66793099
-30.91000229;19.97302524
-66.784965;12.69568361
-53.28899402;5.562136829
14.80990742;-10.05869347
55.87350702;2.443878646
-57.00246158;-26.77852246
3.763729408;14.79719398
33.75562661;-20.81119527
-30.35233259;-2.96364465
56.68982796;1.136511161
55.11002612;10.06070035
-18.98942998;12.04104296
16.59347415;-6.743945126
32.37095635;15.81714586
20.16859815;8.218011471
-16.02611426;8.83068689
50.73486496;-5.780347573999999
-4.368282549;6.693850682999999
12.20712328;10.55802874
31.70073304;0.3553187
26.77098505;17.71507208
14.41096998;15.25025863
-43.02138103;24.44219341
-23.43674701;19.03869764
-31.68763307;4.503545989
6.755667379;-3.825688405
3.401116387;0.859409258
11.28723158;6.108649365
5.377709833;10.91291319
0.8113011309999999;11.30433106
52.86425207;0.765029878
-14.87614779;17.17101697
22.69088881;6.023407657000001
-12.37150403;20.31131047
1.776569201;7.859213887999999
-10.73835169;-1.0170511009999998
9.497602713;17.1916628
-0.576288851;1.274730288
-22.05655584;-0.243174145
4.232618761;1.471088727
14.8484358;13.567273499999999
53.72460074;7.481446761
11.82793364;19.94478404
37.03711473;5.685452728
-36.68252386;15.7707353
-35.56994789;2.8920473510000004
-1.52413575;-0.327039853
35.41348161;-12.32986972
16.5964341;-9.573798354
35.40512532;-5.567997107
7.199371008;0.622507664
-6.513904628;5.5593984370000005
2.442871661;18.54177734
-0.582809205;13.21273884
-11.89275759;5.824293212000001
-18.2477419;27.98940961
18.34916886;2.58424676
3.781194068;3.8079691189999996
24.6632929;12.12357386
-12.16405873;16.81362854
-55.32921528;21.77059699
-18.27557077;11.14763914
-8.894211613;6.0004075420000005
2.1025376590000002;13.81432253
29.45542025;9.4617894
-10.97896757;10.03976906
16.73920216;-1.062527862
5.918141938;10.888818800000001
-5.18926197;7.786055951
21.03259634;14.91774835
6.654941387999999;-4.596514838
-5.544666596;20.13368552
-9.439729813;16.91294799
11.15458819;8.313001868999999
-11.92565304;10.97413963
3.365511268;12.37092721
-8.385197892;18.13184745
-74.50635834;19.74533227
-25.52610342;-0.154014752
15.60172906;-35.48971924
83.49176514;-31.21559031
27.77577715;-0.091010125
-28.99808512;17.23908629
-57.92937153;28.95041019
-66.28226616;14.92628261
-8.00049463;13.82074851
9.700684266;-5.4240496789999995
18.05759211;16.21461854
-4.5580231819999995;7.81189581
9.361923997;14.65193895
21.43415992;19.44126636
38.89138796;1.163655662
-27.61605263;9.858233364
-21.30704964;-0.59946629
6.75962982;1.0596032690000001
-11.37556425;0.948289079
17.36407662;-13.10770729
26.73777277;11.07502427
10.13015992;-5.833613616
23.3984825;-1.9922494919999998
-6.383367402;-9.361639652000001
-5.0608006969999995;11.30357468
-0.645982287;-5.089159385
8.412876381;-7.230196721
