# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;ExrateUSD
# prediction_type;rolling
# method; Part-GFS_te(n_components=6)
"ExrateUSD";"HCE.ITA";"UrateLabForce";"Cons.PurVeh";"Mbase";"HSexfinVal";"ExrateNZD"
-20.99349435;35.9900694;31.666667;-62.61856974;2.382940386;-64.00003887;-4.252128121
-14.48487893;3.666576598;10;102.2574507;7.993295422;-14.82999564;22.53765216
-26.45109557;-4.876408745;-113.000001;-29.74554896;5.234204376;5.995979006;-10.30918806
-7.842642016;10.74303333;77.666668;-37.25205895;-20.06680462;42.96064841;-18.19751575
-8.889542443;-14.43455591;69.333332;-14.26643207;9.969771526;61.35633776;4.810283645
1.12532352;7.026529487;-83.999999;7.778634414;14.44192958;35.6059235;-8.228688035
1.382685479;2.316243112;9.333333;24.52335301;35.04824954;13.24758769;6.365489394
5.14934148;30.4127848;-11.333333;20.25749313;-48.70290787;10.6625762;-4.701784601
28.78832859;-31.91216884;-21.000001;7.977105801;-15.05568022;-13.73786441;-13.71093001
-6.609726803;-1.847558948;56.000001;-9.670092213;4.79972894;-7.64853719;-4.661527487
8.638188985;-3.876057821;6.666666;-2.618667291;22.44080968;6.296364249;-17.13872035
26.92372639;4.172964181;24.666667;-4.62432896;-22.28494549;30.3273274;-12.73413587
31.07444231;-7.126069602;-106;19.95878846;5.604595811;31.72016156;17.02025147
6.21117843;-16.64414007;22.666667;28.53998934;-2.258119712;27.42767938;-0.307164998
39.0261549;20.51601246;31.333333;1.76185867;21.39842216;-12.33229808;4.723076667
21.28799798;-15.77986857;-27.66667;-3.53151205;-21.67823313;-45.64696906;-1.568170645
-30.58987766;10.95161766;34.33334;-4.398914894;3.244712066;17.63633732;-2.835931449
-2.037932515;4.471286447;-6;15.24664194;6.414328085;10.40605942;-16.834944
34.10713381;-3.127256786;43.66666;3.323325233;5.036789744;15.78957249;2.357860199
5.897421136;4.439060091;19.66667;14.45737979;-7.086769825;31.70438789;0.048974839
-6.262392594;-6.206996968;-12.33333;0.220082537;-13.6453009;-11.79658064;-4.729119123
-5.673605606;3.543260487;-36.00001;7.951248877;16.05855014;18.59124864;8.276030456
-8.339946613;-10.27856022;-24.33332;-3.248528954;11.94588393;22.24731459;-13.37529405
-2.927900296;27.08358905;16.66666;-10.24144038;-18.5198511;8.665341423;24.3509536
10.03142466;-17.27073873;22.66666;-1.005165962;-1.928745065;21.82653457;23.73281239
2.715101927;-3.027268025;27.66668;5.221571162;4.482599846;2.299096065;-4.970816019
11.9437692;7.763859097;-64.33334;4.281638246;14.82587645;-13.08778384;-13.54236339
3.649892869;-6.886008134;40;36.3032412;-19.57880097;21.40586428;-6.615216906
21.85096022;11.87371655;3.33333;0.697471842;-0.00208821;42.91927876;-3.247553191
9.705684566;-2.724552723;-0.66666;0.596866562;21.73752799;-2.838613441;11.82734767
19.56588845;-4.19205608;8.66666;17.50400809;0.071407253;-8.941989509;4.416876234
9.304625168;6.749809236;-15.66666;-7.394280898;-23.65448752;-22.89364676;-3.860644613
14.15975978;-3.751340341;19.33333;-11.10500016;-5.07188254;-72.15594595;26.13228818
-35.97153985;2.561088115;-33;-49.9257698;18.42537162;-9.560478064;2.088156323
-102.4219416;-3.943094342;-9;-4.998644999;65.80521841;26.77612533;-19.84371486
-8.311727671;-13.2466607;58.33333;-5.873144234;-97.15479577;90.74648935;24.1370986
65.66172962;-1.727127117;-65.33333;-9.865444276;6.12976563;35.30598759;3.888476837
35.85222369;0.161443771;-22.33333;10.56089505;8.874961594;-2.554973287;-7.674992396
27.79284817;17.4768077;26.66666;20.76044015;17.41887321;-24.4087994;5.225193527
-5.026321465;0.230883815;7;11.91531371;-11.66697663;-48.51787528;8.348000821
-9.820313049;-10.89268284;-20.99999;37.3665879;-8.155982281;-21.05290393;-8.731142612
18.68055267;-4.342841748;49.66666;-20.33829534;13.61173949;-5.285709074;7.875951276
27.61939358;3.079865269;14.66666;-19.06119783;4.75756359;1.571326212;7.68289989
11.72807192;8.339516323;-56.99999;22.01624885;-16.9931441;-12.21836696;9.253063427
24.56761459;-4.367289042;-44.33334;-35.54358103;10.66806775;6.045715179;-4.286078689
-11.56664804;4.32012054;75.33334;29.40535316;-0.516761486;-7.357629894;-16.74247503
-9.53162024;-13.40693105;-44.33334;6.848257218;14.68021775;7.818483883;14.03252696
14.95513216;1.828546846;26.33334;17.83798164;-23.12674;-6.009036541;-8.616208691
-19.08245967;10.90385852;-12.66667;27.16399274;8.081702813;7.34455614;-0.770773147
11.93692395;5.128435891;4;10.01617278;3.846730854;11.45567516;0.416818565
-1.254721981;-14.73539295;1.66667;25.40672105;10.65147572;5.053933163;-5.083459722
-1.258670573;-1.311565432;33.66666;-26.11390356;-19.24305863;21.56035764;-6.937266474
-23.89303734;13.74425179;-43.66666;9.097265061;1.738188526;14.88382297;-14.90298767
-28.27367271;-0.498092204;-28.66667;6.689692799;9.467897656;10.40757382;-21.18276521
3.385769275;3.015910387;0.33333;0.764737355;70.27807358;21.31257135;-5.463822648
-8.726657266;-3.23364736;51.66667;-0.679694301;-34.80667537;8.936840507;-18.26000198
15.94184452;12.12457659;-12.33333;4.733783059;-45.71856747;1.411150213;5.778641078
-8.671057689;-30.83816906;12.33333;-5.159179249;6.817706378;-11.16867653;9.50532566
-29.14199568;18.93393226;-27.33334;-3.763123757;6.368005983;13.70189412;-9.837158596
