# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-TCO
# prediction_type;rolling
# method; Part-GFS_te(n_components=6)
"IP-TCO";"HStartsVIC";"ExrateUSD";"HSexfinVal";"EXrateKRW";"Cons.PurVeh";"HStartsNT"
-7.805125689;24.31861615;-1.546592983;37.13043925;-14.67363831;19.25057667;-48.92563243
37.38696486;-14.93656311;-16.44933939;-14.47768562;-31.29262268;7.82223174;9.158649314
-2.199455679;-38.46061915;-20.99349435;-64.00003887;-22.40227036;-62.61856974;-100.94448
-3.423126857;-4.867377535;-14.48487893;-14.82999564;-15.89670756;102.2574507;-26.93665854
-8.791562688;20.41424379;-26.45109557;5.995979006;5.413171587;-29.74554896;-38.85801712
-32.05153761;4.457635439;-7.842642016;42.96064841;16.03968482;-37.25205895;-16.49718337
4.897111806;42.21569784;-8.889542443;61.35633776;-1.717464146;-14.26643207;53.51780632
-0.664268074;21.10877977;1.12532352;35.6059235;-0.672137141;7.778634414;19.76153971
-1.109570753;-6.916985925;1.382685479;13.24758769;-0.284085913;24.52335301;-6.36055805
0;14.65349094;5.14934148;10.6625762;13.45640524;20.25749313;-4.29726604
15.26070639;-16.74758851;28.78832859;-13.73786441;3.656784755;7.977105801;-25.26373378
-6.686594098;1.201202331;-6.609726803;-7.64853719;-17.29059419;-9.670092213;-67.9738191
4.971693293;-5.307897466;8.638188985;6.296364249;8.773239337;-2.618667291;0
-23.90091396;22.03885778;26.92372639;30.3273274;26.60221819;-4.62432896;60.61995926
-22.51473489;-2.503682152;31.07444231;31.72016156;30.72240867;19.95878846;105.1860182
32.20262044;16.33622315;6.21117843;27.42767938;-5.744917452;28.53998934;-59.46410965
1.776793593;-5.743645009;39.0261549;-12.33229808;47.33510521;1.76185867;31.15848333
-6.478778886;-41.38398304;21.28799798;-45.64696906;12.45600911;-3.53151205;28.90577651
-11.65463763;-13.40733472;-30.58987766;17.63633732;-32.01135901;-4.398914894;11.81769849
-7.72631572;16.97658544;-2.037932515;10.40605942;-3.493188154;15.24664194;70.05564186
-21.86336502;4.833193775;34.10713381;15.78957249;0.987682993;3.323325233;12.27163911
-27.65065672;33.14102182;5.897421136;31.70438789;-13.60799894;14.45737979;-14.72262722
-24.55096538;17.00302805;-6.262392594;-11.79658064;-8.220067511;0.220082537;32.56514486
20.78749676;-9.891308184;-5.673605606;18.59124864;3.646788868;7.951248877;57.13456336
-30.57920239;20.36848054;-8.339946613;22.24731459;-11.08368245;-3.248528954;14.0907211
14.31792083;-9.053430181;-2.927900296;8.665341423;-26.65438629;-10.24144038;-10.37522142
-6.808675028;11.99999999;10.03142466;21.82653457;0.420994568;-1.005165962;-11.05151699
-25.70097561;20.06783761;2.715101927;2.299096065;5.962114686;5.221571162;-29.90494379
21.38593916;-12.55322205;11.9437692;-13.08778384;3.808548414;4.281638246;-69.02322181
3.742380663;0.096669632;3.649892869;21.40586428;6.45189877;36.3032412;-20.50383135
39.00874021;13.75678849;21.85096022;42.91927876;16.19251119;0.697471842;4.025528776
-2.084695272;-6.03156543;9.705684566;-2.838613441;8.281113077;0.596866562;16.99046656
-21.7430241;17.53824998;19.56588845;-8.941989509;17.64238733;17.50400809;-19.40091912
5.479537743;4.520535801;9.304625168;-22.89364676;25.58885863;-7.394280898;-69.66460886
-6.584510822;-71.8712981;14.15975978;-72.15594595;41.39710797;-11.10500016;-0.960384615
-14.07604776;-32.23369674;-35.97153985;-9.560478064;-9.365330166;-49.9257698;-50.85663785
