# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Hstarts-PDA
# prediction_type;rolling
# method; Part-GFS_te(n_components=2)
"Hstarts-PDA";"HSexfinVal";"ResInv"
9.82314031;11.09550276;-1.580509136
-10.92964193;8.73966356;36.91051157
-29.89897037;-76.30424091;-17.2122436
-44.13922299;-69.09729128;11.27184044
-30.46454437;66.66988287;-12.53009879
-1.44144303;21.81537257;-7.376997638
-2.898563379;21.65613463;-6.731550452
-4.387612548;7.888529461;2.213187094
4.387612548;22.60551444;9.620473348
32.12895551;56.51745417;11.86289534
50.38096372;67.17147485;23.99645276
38.3391834;18.51344162;32.15967286
40.85179793;102.0718468;20.83261714
38.82953949;-17.69335676;54.65396793
-8.009166352;3.39885627;31.7309454
-3.611762598;-24.39990987;22.42240379
-12.90434498;-55.13795777;26.98323614
-85.29583839;-45.75749787;5.313307347
-14.16077082;4.62230514;-19.13821281
-8.498043323;64.22347306;0.672834473
-22.71903935;-43.98303508;-8.531039599
-17.2497708;6.821868258;-10.67142354
2.702712999;8.634008745;-4.968028377
-1.349073778;12.03004248;1.188472698
10.66729869;68.83741651;-10.98815961
42.40727788;19.67126675;-4.086672245
-5.961362319;-13.01906573;16.57517909
19.91626592;26.62461704;14.92970358
25.45810584;44.60723545;5.654603638
17.8273279;24.60782703;18.50590553
15.09613119;-1.267908895;21.97285074
8.791562688;19.04555608;9.692177741
1.927714671;20.71224457;8.235585031
16.94370953;24.33379652;18.14900717
6.400136446;37.13648994;3.385937878
8.968985534;36.14629935;12.19533033
23.2573572;9.323164234;28.56718198
6.639156647;-39.09013136;1.712591526
-44.34503712;-31.7968135;0.110238391
-59.36800205;-43.10767357;-15.62215681
-40.37036744;2.673243142;-15.72037824
-30.64284846;11.48696028;2.969134773
-31.80482528;-1.852834626;-23.89133469
-2.768177152;13.63021657;-13.28134774
16.32879781;-13.31351569;-1.365743949
6.611720912;13.38722244;1.690234922
12.90434476;23.85135049;9.487624269
28.18930278;28.177318;22.65918152
18.50040694;9.970747088;16.41977818
12.24017629;15.51482666;16.0483203
3.274233834;8.439612613;31.86845285
10.72450287;-2.766939902;6.571612488
26.60827304;21.12348655;6.317360682
-28.73029403;-14.43904771;7.722625013
-4.27811554;23.32848898;8.714733016
-3.238884093;39.28008225;6.483580991
26.221706;44.03820021;3.202802142
40.51653363;15.42928782;19.44561057
14.41597477;37.13043925;17.28065347
12.20138154;-14.47768562;44.53686724
-91.19342841;-64.00003887;27.20202221
-127.1120416;-14.82999564;-74.78716838
31.33273729;5.995979006;-68.1800403
-18.21680817;42.96064841;13.23458804
75.54845929;61.35633776;14.64804095
85.2013167;35.6059235;33.9575913
8.541249788;13.24758769;33.33019044
-11.42934898;10.6625762;22.85233041
28.88332325;-13.73786441;39.41471968
2.6875801;-7.64853719;0.679405684
0.891862309;6.296364249;10.61727672
-21.97348752;30.3273274;19.85903386
0.940070844;31.72016156;-15.55243791
28.09761776;27.42767938;17.77928335
-0.876232464;-12.33229808;26.9397943
-10.66729883;-45.64696906;20.04481657
0;17.63633732;-0.25037383
-42.74525822;10.40605942;2.96657052
-14.28723314;15.78957249;-2.632773561
12.27717856;31.70438789;-0.278144786
22.52737234;-11.79658064;22.16251075
-57.24033757;18.59124864;-4.101243139
3.283192168;22.24731459;-8.684012136
12.86974281;8.665341423;-10.29650795
5.242539108;21.82653457;20.81142978
6.201674614;2.299096065;-13.13269653
-23.22552027;-13.08778384;10.98251051
12.83532582;21.40586428;13.68392701
-2.110822946;42.91927876;-1.00441092
10.4444575;-2.838613441;2.185868052
31.69974876;-8.941989509;8.550641155
-23.53620001;-22.89364676;15.46228946
-3.041839754;-72.15594595;7.299254266
-37.3106503;-9.560478064;8.377883914
-60.17328113;26.77612533;-6.650428335
-3.915202545;90.74648935;-13.03171918
31.51235101;35.30598759;-18.21672074
53.2610133;-2.554973287;24.41351639
24.68649594;-24.4087994;14.45954777
14.68953318;-48.51787528;-0.55639281
2.874263864;-21.05290393;16.31951803
-10.6414983;-5.285709074;8.527604209
17.26886875;1.571326212;-6.195883519
-30.22143245;-12.21836696;8.131564103
-11.29728503;6.045715179;7.416178256
7.226002857;-7.357629894;-5.079773561
-53.55872907;7.818483883;-3.749180908
2.332368241;-6.009036541;-12.96717157
57.31784911;7.34455614;-11.68432668
-10.20463496;11.45567516;1.387044099
7.170486406;5.053933163;9.824695388
-13.42061357;21.56035764;-6.973289235
34.19165795;14.88382297;16.43052057
46.36284557;10.40757382;3.699372416
19.27074223;21.31257135;7.08365343
0.81716057;8.936840507;18.85702139
-9.917863447;1.411150213;10.06228232
14.7860777;-11.16867653;0.099554494
35.47603004;13.70189412;19.42883831
