# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cap-IntPro
# prediction_type;rolling
# method; Part-GFS_te(n_components=14)
"Cap-IntPro";"IP.TCO";"Emp.JobVac";"Cons.Hea";"Cons.EGF";"HStartsNSW";"IP.ME";"IP.PCCR";"Cap.BioRes";"HCE.ITA";"ResInv";"COMMP";"Imports";"HCE.MV";"ExrateCNY"
2.116407054;-13.79081166;2.4;17.94307564;9.596715421;16.59347415;-16.10016105;-28.12355104;-13.85134274;-9.270214359;14.92970358;16.48017903;-6.743945126;-6.125879327;-5.241507274
17.80364804;-9.170707361;-1.4;21.31620888;6.310183924;32.37095635;-5.031512883;5.395544714;9.942516842;-2.334784421;5.654603638;-28.53110476;15.81714586;-6.402283882;0.724069467
40.52579465;1.323044205;1.1;10.24672254;7.666525549;20.16859815;19.06804081;15.76323373;30.85715034;13.84075533;18.50590553;22.2730751;8.218011471;9.25689011;-20.5630097
23.25592592;9.14076773;3.9;2.574655769;4.773193867;-16.02611426;-5.555644864;-1.407626086;-7.957416208;1.702225445;21.97285074;-9.76882163;8.83068689;-1.806563863;-3.283136374
5.767790189;-13.34550908;0.1;-0.642111972;-10.16956576;50.73486496;9.672319279;16.12192881;1.850427356;-0.01344278;9.692177741;-1.239187059;-5.780347574;7.243725848;7.70284771
9.017419885;25.21707463;5;-1.072482544;3.493471988;-4.368282549;-4.806924802;-10.52090381;9.125871106;6.386536532;8.235585031;-14.82484887;6.693850683;-2.931659986;-4.582213877
-0.622568219;-13.38059456;4.2;11.78111786;-14.50965876;12.20712328;2.067188063;5.52367811;17.64992196;-3.484164059;18.14900717;26.9005652;10.55802874;0.866319628;-8.853872836
3.926665478;-8.072267403;2.3;12.9275165;22.06753851;31.70073304;27.23042842;18.75343436;-9.316287202;5.145773734;3.385937878;-15.73287033;0.3553187;-11.3142873;0.553527929
13.54691007;46.54960955;9.1;-9.604548274;-1.876124284;26.77098505;14.501194;-3.504951232;1.176471436;-4.587805726;12.19533033;-4.632707371;17.71507208;8.931626368;188.5559409
4.153312963;-22.59804086;11.9;1.857109346;-5.569569236;14.41096998;9.181734428;6.546790986;8.139815766;9.48781441;28.56718198;-4.543463785;15.25025863;-4.961867903;7.138425975
