# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Unum-LPT
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=3)
"Unum-LPT";"DomSales";"ResInv";"IP.Min"
16.69539192;16.50822084;-1.580509136;45.02191652
-4.699432064;18.86585307;36.91051157;27.42506857
25.7111197;6.061164394;-17.2122436;-24.85271244
12.70355362;-0.579945587;11.27184044;-7.767234343
11.08587198;9.769167307;-12.53009879;-32.67121241
12.21930807;7.128912679;-7.376997638;-12.9741103
-15.30241246;15.41086543;-6.731550452;24.16365112
3.574203537;-2.674876695;2.213187094;13.56062067
-16.27767658;13.63678131;9.620473348;13.11592913
21.51925687;5.473088943;11.86289534;3.852357224
7.20091454;15.10412328;23.99645276;59.27985749
5.316870484;9.194682872;32.15967286;-12.30866347
37.61157986;5.359795878;20.83261714;-5.72255826
-78.73986294;8.328126343;54.65396793;1.151079931
34.62022661;19.31799794;31.7309454;20.17234145
9.781014419;12.4567683;22.42240379;-5.502150027
-10.37794048;16.88356569;26.98323614;7.681991934
2.38237762;9.864532366;5.313307347;19.10177252
-14.388736;-1.358537645;-19.13821281;-2.077926751
14.98211964;6.985884965;0.672834473;29.12201615
4.363894322;-4.691995029;-8.531039599;14.27024105
29.39174808;-0.024162614;-10.67142354;-0.935672941
18.42465992;-2.699272795;-4.968028377;9.259672747
36.19859712;-11.39162635;1.188472698;-11.13761047
8.373821134;-6.866688034;-10.98815961;11.13761047
-20.34093795;7.033518058;-4.086672245;8.15430277
0.097955088;-0.0750649;16.57517909;11.49250322
6.026845582;4.503888912;14.92970358;-3.501116444
-6.026845582;0.667525264;5.654603638;0
28.4450904;4.438212127;18.50590553;-2.646095647
24.07273509;15.18841154;21.97285074;2.646095647
-40.36352653;-1.397943777;9.692177741;-4.419934475
19.8326468;4.148115753;8.235585031;9.660184093
-2.357748925;-1.247734621;18.14900717;-2.611543553
19.35145492;11.45640985;3.385937878;-12.41784867
0.865613755;7.340069466;12.19533033;26.15310371
-6.97793544;11.05363471;28.56718198;1.684213015
24.48786706;12.03860676;1.712591526;9.959020649
-19.24303667;8.346034636;0.110238391;3.265324256
1.646628;0.185952017;-15.62215681;2.431618431
-37.89062672;12.56626554;-15.72037824;2.416925782
18.21452905;0.799906944;2.969134773;15.75006609
-11.70725363;-0.799906944;-23.89133469;1.541427726
26.42299186;10.83495568;-13.28134774;20.97859015
29.12371233;-1.287931643;-1.365743949;6.515981192
2.839480375;-1.442454386;1.690234922;-7.246575002
11.78898566;2.451035993;9.487624269;-0.731930671
-13.97766271;10.62608075;22.65918152;-12.65221755
-7.466117606;6.559118873;16.41977818;14.84400386
-16.31154482;4.666688653;16.0483203;5.786719367
-21.07614539;15.73419555;31.86845285;8.52607768
-23.69329125;8.174543774;6.571612488;-7.092384388
-7.892108406;-2.261124519;6.317360682;4.270503197
10.77604303;10.4253172;7.722625013;8.406614145
16.14484738;9.079367644;8.714733016;-19.89753
-7.147190774;-0.794682007;6.483580991;17.81238192
-5.279360256;3.764890003;3.202802142;-3.499584877
39.63098928;11.03300834;19.44561057;7.659067766
-38.21002864;6.777165486;17.28065347;4.116674415
40.52390762;6.046930903;44.53686724;14.74203696
-34.79678253;10.05326631;27.20202221;14.85239223
-17.04411095;-2.025140889;-74.78716838;4.412968321
0.680354823;-17.61143553;-68.1800403;1.87646943
37.60286459;8.111391254;13.23458804;6.806042002
52.52760103;6.507065824;14.64804095;0.61302694
-22.97281963;4.688907471;33.9575913;-7.419068942
10.53332074;12.13174407;33.33019044;1.246106927
-20.84574212;9.999914028;22.85233041;5.559935076
-6.026639286;16.81424651;39.41471968;-3.698023258
20.01668387;7.035231301;0.679405684;2.469143643
-4.252749035;16.06403388;10.61727672;-1.850427356
-29.15649005;3.666838111;19.85903386;-2.480628105
4.485042041;-1.51621387;-15.55243791;-3.750027466
-7.146986203;8.839219081;17.77928335;1.879408313
5.13054349;15.35807742;26.9397943;-8.847122101
2.540803724;7.309888965;20.04481657;1.275918147
-12.14766976;1.806788466;-0.25037383;-5.128275372
20.53082192;7.8130479;2.96657052;13.94753026
-16.23259386;14.22929811;-2.632773561;0.622568219
-0.178173811;-1.17793805;-0.278144786;12.25210638
4.694993643;15.02730746;22.16251075;18.27878813
-2.119210255;8.67878124;-4.101243139;-9.329869027
0.353982236;8.108290711;-8.684012136;5.856619997
8.835788549;3.313854042;-10.29650795;-19.66144092
4.046090756;7.218313013;20.81142978;7.261924112
-25.09656876;3.611290328;-13.13269653;35.00440091
-24.54065208;8.388323808;10.98251051;1.644964621
22.52921937;15.96013419;13.68392701;1.638227546
-9.554077567;11.70763615;-1.00441092;3.796638673
22.62861006;1.376167478;2.185868052;0
17.6996994;11.39267405;8.550641155;0.539447149
-20.81671404;10.81963685;15.46228946;5.354832313
6.825650476;8.59318289;7.299254266;2.122020892
-14.86294519;3.354216809;8.377883914;5.256317424
12.04044166;-3.918361808;-6.650428335;2.602481529
51.73833456;-2.8812948;-13.03171918;4.129068923
-9.602979739;-0.48033286;-18.21672074;-3.092798913
-4.083710777;-1.174668141;24.41351639;21.65412255
2.40722893;14.60710257;14.45954777;0.489895958
6.900141361;0.445137233;-0.55639281;17.71683957
0.550044208;3.324202705;16.31951803;4.193398918
19.76277851;6.2808017;8.527604209;3.231408226
-3.679049793;2.14433004;-6.195883519;-10.24503034
-3.484870679;9.356407329;8.131564103;-7.13879745
-17.8948547;2.266206158;7.416178256;11.36171057
24.68490835;18.29226336;-5.079773561;14.21352976
-14.47225628;0.191679973;-3.749180908;11.10565504
7.453870402;14.87641528;-12.96717157;3.055115779
21.56277182;3.464300014;-11.68432668;5.183657857
-42.02399582;2.875580125;1.387044099;19.27074214
22.51153699;-0.552665696;9.824695388;6.491014649
20.95260448;-3.313061077;-6.973289235;5.59449679
-13.96978989;1.272935456;16.43052057;4.733783059
14.97481561;3.531045017;3.699372416;20.63494752
-1.940530263;1.722251805;7.08365343;0
15.82127121;2.93163109;18.85702139;29.43030967
6.389143995;1.3313944;10.06228232;3.102126707
41.27770364;-5.740467721;0.099554494;15.82032025
14.30988007;2.112309081;19.42883831;-1.322315254
