# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-WPP
# prediction_type;rolling
# method; Part-GFS_te(n_components=8)
"IP-WPP";"ExrateJPY";"Cons.TraSer";"Cap.BioRes";"HStartsNT";"HStartsTotal";"IP.PRM";"Hstarts.PDA";"HStartsACT"
-25.96207058;3.315368077;-8.934088967;67.4757632;30.69877252;36.97314451;5.615440843;6.611720912;62.18280631
16.42266777;26.7885657;2.614388392;-31.96262055;40.68544682;-16.77715745;16.74493814;12.90434476;-56.30034737
1.285141668;12.9829422;-4.65968138;-8.58709185;-9.790013964;11.47194748;15.38651233;28.18930278;13.01065068
0.641025778;-15.45204074;9.551828691;9.294430672;40.31644907;5.107405585;-4.831810262;18.50040694;-53.84028833
-9.724952258;-15.50894539;-8.673993665;33.21127584;-30.1397749;-5.464937835;2.077926751;12.24017629;3.786114419
-1.314709483;-9.886566798;5.515326856;-39.62281115;9.546992525;-5.947589154;-1.730855146;3.274233834;2.629117409
-20.60396348;4.45682738;-1.154818557;-7.246575002;5.248435223;-1.628554648;-37.05005976;10.72450287;-4.328435518
31.32324074;-0.927644201;-1.73850328;19.27223756;3.707162735;15.86697322;6.418259457;26.60827304;-29.03234633
-6.462176089;-14.61241743;28.70873029;54.630214;14.85005309;-32.09840412;-7.94352346;-28.73029403;32.61136713
-18.32890402;-47.8664818;1.349073791;-32.9299781;42.78369478;4.512247776;6.818346909;-4.27811554;-0.938747223
18.65450437;4.981294883;8.9232933;-0.660611215;44.12014849;27.02585186;77.59612025;-3.238884093;58.96593332
-27.96928492;23.12341066;-12.03299292;23.12039956;28.96818678;30.55883528;-16.09684651;26.221706;0.810208922
8.632186529;-38.75879976;10.31710182;55.28026472;39.50076017;5.110145119;12.67934999;40.51653363;31.13200282
29.61878895;-30.29558689;4.995135567;-29.89410366;-48.92563243;30.51628726;-11.39317525;14.41597477;43.65389586
30.52586667;0.300578628;15.50234043;4.078695208;9.158649314;-16.5932278;10.45604089;12.20138154;-9.373837019
6.70325341;-25.7072554;5.615440843;28.52361108;-100.94448;-40.31292663;28.36784168;-91.19342841;-67.03412393
-40.41385028;-8.244154763;6.026247724;46.81320675;-26.93665854;9.963458626;2.323899057;-127.1120416;-59.66067305
-1.281025915;-12.46882965;13.67859737;-18.17378253;-38.85801712;17.38799428;-9.9711908;31.33273729;20.05478627
