# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Imports
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=4)
"Imports";"PIMP";"HSexfinVal";"ExrateGBP";"HSexfinNum"
7.786055951;-4.074692506;8.665341423;-5.679224602;0.262069914
14.91774835;-2.180407083;21.82653457;-9.583221924;17.64860981
-4.596514838;5.577662408;2.299096065;-6.133027785;-1.835091797
20.13368552;3.717695541;-13.08778384;0.165214492;-14.83310909
16.91294799;6.043122675;21.40586428;-1.68839481;5.42478093
8.313001869;18.14811729;42.91927876;16.12571036;25.44502527
10.97413963;5.371601459;-2.838613441;3.774062013;-8.740049037
12.37092721;10.84120158;-8.941989509;15.2363984;-4.102600004
18.13184745;-1.030194019;-22.89364676;20.14643817;-30.79301815
19.74533227;10.53723169;-72.15594595;16.16696184;-78.02118543
-0.154014752;-13.89396774;-9.560478064;-13.97707047;-23.67534607
-35.48971924;-87.4570186;26.77612533;-22.24518221;27.26640903
-31.21559031;5.665050806;90.74648935;20.14196161;78.95715905
-0.091010125;46.10597114;35.30598759;24.04758772;31.29089297
17.23908629;27.72369712;-2.554973287;25.21992971;-8.295471796
28.95041019;27.21794549;-24.4087994;24.54119336;-37.38029161
14.92628261;5.892389907;-48.51787528;18.03439787;-70.10658768
13.82074851;-3.613638194;-21.05290393;4.248070075;-28.68911611
-5.424049679;2.911902534;-5.285709074;0.567552864;-7.166827391
16.21461854;22.28835267;1.571326212;27.79975911;7.681855604
7.81189581;5.230932749;-12.21836696;1.773745187;-19.51203758
14.65193895;13.1988226;6.045715179;14.54404818;5.483981236
19.44126636;-8.059692627;-7.357629894;-3.120633831;-1.532604513
1.163655662;-5.178087786;7.818483883;1.206266957;24.00151163
9.858233364;16.5049144;-6.009036541;9.282095675;-12.09618467
-0.59946629;-13.98782599;7.34455614;-16.74123069;0.879790559
