# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-HCR
# prediction_type;rolling
# method; Part-GFS_te(n_components=9)
"Cons-HCR";"Exrateavg";"Imports";"HSexfinVal";"HCE.MV";"Unum.LFT";"ExrateGBP";"Cons.Com";"EXrateKRW";"M3"
10.05112288;-30.48092633;-3.825688405;2.673243142;10.11504028;-7.811053153;-15.75593727;1.161103863;-25.54240457;0.207577977
10.2865345;31.99607966;0.859409258;11.48696028;-2.643268154;-2.770307341;24.095482;22.81505344;20.74487737;0.376661596
6.598803874;8.23228308;6.108649365;-1.852834626;-5.889532944;5.325668349;6.266883048;15.57243634;2.297432735;4.923007909
-2.072096151;12.1589909;10.91291319;13.63021657;-0.92224943;-3.828199059;15.10431894;18.5242103;13.98054287;-3.510355444
-5.885985545;16.19464358;11.30433106;-13.31351569;0.614911728;-3.887385671;12.59967364;10.66729883;19.09192803;-2.861906745
-14.2169636;-2.306811515;0.765029878;13.38722244;-7.767234343;8.824371483;-10.47638526;9.673990252;10.24292378;2.081433618
-2.465198399;11.40328082;17.17101697;23.85135049;5.249523434;-0.369254144;-19.63917347;9.21209891;14.40730015;3.657337051
5.728672592;0;6.023407657;28.177318;-5.453856223;4.193726222;-1.895078023;12.4147896;6.165137367;-3.849212824
10.77776178;-5.661005871;20.31131047;9.970747088;-3.793986951;-5.412509493;-11.44797297;19.87163561;1.130246895;0.001445529
4.934829772;-2.746006208;7.859213888;15.51482666;16.05425496;-3.832810534;-10.36674402;-4.985163415;-10.55903723;-3.368491244
7.779754179;-4.618988993;-1.017051101;8.439612613;-17.29526569;-14.9319585;-41.68884425;15.82247968;101.8936624;1.313929966
-8.86629801;22.3597579;17.1916628;-2.766939902;16.38211227;-2.061269949;-2.068036285;4.171049265;73.3306779;-0.308962259
14.40403507;-19.58196895;1.274730288;21.12348655;-11.8684355;-3.899543491;-25.44259051;10.64545941;-68.05581479;1.357410298
11.13655372;-19.37768128;-0.243174145;-14.43904771;0.516897729;3.600924544;-28.63814663;14.09225375;-39.88021656;4.402479425
10.8348768;-5.853763007;1.471088727;23.32848898;4.457937732;-30.42701887;22.88010946;14.92996273;-0.961834087;-5.235260191
14.20914426;8.508373004;13.5672735;39.28008225;1.747354692;-19.01674932;12.91846404;21.0430407;-12.13598339;2.908578534
4.727466388;19.71073238;7.481446761;44.03820021;-0.007873294;-13.94367184;24.13026912;14.35602657;7.683928953;2.581579949
1.399859551;-10.67348707;19.94478404;15.42928782;4.620501432;-7.035118333;-10.41580096;11.52622122;3.585448534;-3.158642038
3.983497785;-6.400136539;5.685452728;37.13043925;-9.264905008;-5.351804;-2.06925718;12.01489216;-14.67363831;-0.109605026
1.082948895;-9.184693579;15.7707353;-14.47768562;8.217504462;-7.20184787;-12.61097812;13.86316803;-31.29262268;-3.950219633
