# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;PEXP
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=5)
"PEXP";"Cons.RecCul";"Exrateavg";"Cons.Other";"HStartsVIC";"HStartsTAS"
-49.90572641;-4.122230079;-54.46786474;0.203510562;8.297846613;19.07962263
11.90121964;-1.185625173;11.58323254;19.26408495;23.59597624;13.73525503
-25.53765868;11.70101713;-30.58416614;-2.528576376;-49.13599022;-86.08205949
-0.953644025;-7.19953987;-3.038538778;-7.583632297;7.603146754;-55.54447413
-6.621401101;10.07208363;-11.49250319;9.627183756;-42.35701267;30.84379006
-56.69709165;1.642419517;-65.3770381;7.881081467;20.21919848;-2.232563935
24.22163962;-3.651032059;30.00134999;2.655926286;15.42578449;30.17588304
7.219982996;-2.452667739;-2.457010158;-1.705355496;-12.20088939;-5.808989667
12.25449724;6.103699798;11.17934243;6.778227621;-4.518301285;-10.91408162
7.994362106;11.51967234;-0.479616316;12.13607223;1.466829127;49.69721983
-19.77230099;8.49492451;-26.53591303;7.890863378;40.09300888;44.1994588
1.827562276;5.987833621;8.624303618;4.678415905;0.974761109;0
29.20645106;4.647355182;34.82546205;3.4079944;69.00353991;59.28928901
28.50430687;7.260439703;19.96489502;23.07600811;-30.67089925;-4.121198607
7.968770945;7.830802082;11.21972157;4.816876251;7.449354547;-24.60211647
9.861901201;10.35270712;1.062417581;15.83183676;-38.10236539;-12.34721158
-22.11752996;5.413801497;-22.47659672;3.726735032;-50.05957235;-25.70638199
0.666938928;11.38545351;-1.349073791;0.926283702;-64.91094175;-86.89040677
10.8894664;2.899635451;10.22846169;1.385416047;-25.48363361;5.025492368
0.136908712;5.736963554;-8.879387894;6.931526396;67.66875848;46.63730698
7.682438957;1.797755835;7.11920908;0.829797563;-67.49918999;-18.62816299
7.942132417;1.501589982;4.386008813;-3.177622158;2.631191456;16.29331952
-27.31680567;-4.288653079;-27.06782147;-0.684215695;-8.510959403;5.49691528
3.141440242;3.36526499;8.542893297;8.059777433;13.12782133;24.43507679
8.45139186;3.222575336;7.468392341;1.265706035;48.9851239;31.33273731
5.960885373;8.450020053;6.229269363;6.342315762;38.75676419;33.61557084
-10.88331047;-0.449185898;-15.75893165;6.243320939;2.683998935;23.79520216
-17.7204958;5.745061458;-6.948640284;1.438074531;-5.770892644;27.51275151
1.663274202;5.718310444;-2.813610663;5.701147642;36.84118823;17.48517489
-25.80912004;-7.661274503;-29.28136161;4.852806774;21.3949254;-3.693208069
-12.53149115;8.969355788;-4.839282253;9.054382272;30.79797442;-39.09563977
-1.890521712;4.921308613;2.808821015;-1.369161015;-1.961431742;38.23849658
-13.74298767;9.507185904;-15.5661665;6.057112763;34.21191506;21.03182407
-16.48655104;2.407123957;-9.910115159;-2.167292806;20.87887836;-2.313325053
0.215232964;15.9550743;4.851811506;7.401388626;40.90929125;30.97644246
29.50907717;7.351504578;26.93574022;-1.87103582;17.28053265;8.744882829
-1.410402608;-1.380501802;1.25039179;6.576582589;-5.815678203;1.356979065
-1.985926107;18.24640654;2.48911815;8.345861029;-46.32255269;-43.6797169
4.538950245;6.830575338;8.834714962;4.236239851;-41.0045643;-1.927714588
-9.99722853;5.802542462;-16.60194928;10.21171122;-53.08880148;-35.18116318
-32.66476788;12.29065234;-30.48092633;-5.073269291;-29.68845359;18.98461865
23.82354289;4.584577408;31.99607966;7.802385166;48.55313748;26.95463977
13.3792911;6.736726843;8.23228308;6.803197778;21.3431826;-14.08451774
9.334059292;10.29625024;12.1589909;5.612221506;33.30033865;-18.80688261
18.66827887;10.73361476;16.19464358;4.528575109;-28.11909517;-27.78475118
1.027317885;4.553820275;-2.306811515;3.12801299;37.17880021;96.63232936
6.585602419;4.94205473;11.40328082;2.870335228;-33.57806623;-61.47609586
4.624064207;5.000065106;0;5.679608606;-0.699678222;-55.69001184
-4.978830031;10.62370923;-5.661005871;4.520468682;33.33297533;10.23821888
-8.205372591;9.524711271;-2.746006208;2.156339454;-0.164535703;-17.37978286
9.856295787;5.955260274;-4.618988993;0.622040134;3.685781317;-3.53463272
21.96780264;-2.037135752;22.3597579;6.557064518;-1.770396449;8.365005773
-23.03415675;2.812222499;-19.58196895;11.39803145;3.397682824;9.003858806
-11.55138732;9.077628128;-19.37768128;12.60323598;-15.98666766;-44.83320106
-14.3399486;6.684396649;-5.853763007;0.784467794;-6.675343075;25.4304338
7.582855492;10.42655027;8.508373004;7.556182774;41.41885409;55.00242636
17.70949127;-0.829732363;19.71073238;-0.92390648;9.468653048;-26.00303727
-3.062930915;7.032469633;-10.67348707;-0.668595463;-3.063597088;0
-11.53170587;3.284952637;-6.400136539;1.848764364;24.31861615;-5.409788138
-1.516808381;3.826495573;-9.184693579;-2.570042252;-14.93656311;-19.8686439
-21.92075046;5.836614913;-15.96221764;6.039009281;-38.46061915;55.99260218
-1.105097468;16.00471594;-6.153967536;4.947059523;-4.867377535;66.46120257
-19.01217861;-14.19810232;-15.27506206;3.347299868;20.41424379;5.783826106
9.11124164;4.950800111;-3.234518972;11.04025923;4.457635439;-40.87019024
-2.025218961;3.641222228;1.081081712;0.918484904;42.21569784;3.100268272
-0.172818617;1.664535052;-5.434866246;2.407035787;21.10877977;-13.10250203
4.306167183;6.526877485;8.392862946;1.963017884;-6.916985925;43.97145209
15.18774044;10.69789742;11.09714499;2.808031045;14.65349094;21.53528783
12.96250209;14.12830964;11.30454164;5.136431538;-16.74758851;-24.02906161
-13.12250969;8.503808602;-12.34824744;2.194600731;1.201202331;0.125058497
10.03360334;4.571149758;6.735910497;6.191644937;-5.307897466;21.65979242
