# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; 5yrT-bond
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=5)
# prediction_type; rolling
5yrT-bond;IP-ME;Cons-TraSer;IP-MP;BusInv;Emp-HoursFt
0.28333333;9.327776938;2.944141763;17.31336708;20.59540653;3.7515024460000004
0.15;-12.9741103;2.6578170869999997;-3.0372203630000003;16.44004798;5.523923852999999
1.31666667;15.80097719;0.793913592;-6.764188859;-4.294382558;5.23278534
-1.35;-21.70514342;0.528401662;-11.32151047;1.167621801;7.1973563920000005
-1.08333333;-17.4766638;17.56253678;-12.96709983;18.18993216;1.796810043
1.81666666;43.38499826;-13.36026569;26.14476212;0.042847196;0.102563462
-0.55;-36.4550848;19.87670053;-2.476788099;44.97478435;0.290174225
0.48333334;26.57803976;-16.23558306;14.63577897;-16.73262623;-0.962957108
-1.01666667;-2.148617521;12.23804823;8.296593722999999;40.66027134;6.270166839
-0.76666667;9.228448361;3.7488559319999997;5.82251911;8.492736507;2.709813581
0.2;-0.7023706809999999;14.65365327;18.08217471;24.61314447;4.893920585
-1.01666666;9.72270089;5.714382898999999;0.552104988;18.61706084;5.84410369
0.11666666;21.37403258;-6.674767514;-17.47987774;36.67520281;-0.250612946
0.43333334;-3.2653242560000004;30.31227182;9.117203811;-26.50609164;2.575042878
0.76666666;14.80458599;3.328729335;38.12407192;34.35116452;8.778442967
1.15;-5.72802151;12.83067328;-0.5124920620000001;17.20337262;5.967745887
0.13333334;30.83189702;-10.84665157;-13.03046817;16.33748864;0.33916022100000004
-0.28333334;-23.84204481;7.191694675;3.691522575;-1.488884078;3.6696099060000003
-0.15;-2.527654541;5.576497825;4.696727151;-6.782731052000001;2.135282689
-0.29333333;4.412968321;6.967713788999999;10.7492073;-7.46881797;-2.311182386
0.38;-10.15927624;11.34974259;-1.518028387;-20.96002474;2.110640569
-0.65666667;-3.2284275339999997;5.054401343;-17.08997787;-4.5120283;-1.146378504
-0.99;-5.877656776;0.40160645899999997;1.056803785;-15.64898083;-8.369165158
-0.96333333;-12.69947933;15.93522743;12.46854196;-31.63406717;-4.432481657
-0.56;12.04104296;18.28351244;-18.85165614;-9.846144384;-3.517798735
-0.34333333;-5.306877178;6.215847201;-1.073826148;-16.1232608;-0.045564939000000006
-1.78666667;-10.82976471;5.942040396;0.537273419;-10.80053302;0.135635545
0.7;-16.10016105;6.207173992;5.333412348;8.503076529;-1.0395902
-1.126666667;-5.031512883;-3.712733837;3.166243445;-6.050062576;-2.234845619
-0.36666666600000003;19.06804081;-3.568266303;-17.73292387;-9.613088199;-1.176365659
0.41;-5.555644864;11.30817358;14.56668042;76.67456617;-1.655842796
-0.9;9.672319279;-1.5710253669999998;16.60419967;-21.9300488;4.572886232
-0.566666667;-4.806924802;7.107445931;0.0;5.408887448;0.156530817
-0.556666667;2.067188063;-5.014113635;-1.017812254;-5.915778059;0.8331023679999999
-0.133333333;27.23042842;-9.507489835;15.49225487;13.34288297;6.625460617999999
0.6;14.501194;21.16712374;-11.43645333;29.400019099999998;1.219855339
1.5933333330000001;9.181734428;-6.473735852000001;2.012582862;5.038990913;4.824042813999999
0.796666667;-1.21212214;7.317796092999999;4.987595792;14.44858574;5.539225403
0.96;4.226454415;11.46972411;-7.000178654;22.14066419;1.209678271
-0.10333333;8.321251052000001;4.562167581000001;-12.81339539;5.557769462;2.474418502
-1.2233333370000001;-10.12712319;-10.00667317;4.145114813999999;25.23900754;5.362029796
-0.406666666;3.603627977;39.51097314;0.0;-3.749393105;0.672378404
-0.42;24.35534787;2.5501680230000003;8.668280581;0.023993042000000003;1.1370550879999999
0.06333333299999999;-10.25697225;-0.299177276;15.33892331;30.34520477;1.452508474
0.543333333;4.020134341;19.56594409;-22.46379362;7.709065216;-1.8615004030000002
-0.746666666;9.598202222000001;-8.934088967000001;33.94783597;-4.298758338;-0.070676673
-0.856666667;-19.43239241;2.614388392;-7.13879745;-0.022051324;-1.1246397479999999
0.19;20.54659926;-4.65968138;-20.18890014;6.75665886;2.3862350230000002
-0.133333333;1.665512469;9.551828691;6.015150946;44.79369486;0.616695772
-1.01;0.553633306;-8.673993665;1.4897596359999998;-15.17218915;-1.3464183140000001
-0.25;9.836561255;5.515326856000001;-2.486024161;5.43953988;2.82576626
-0.26666666699999997;5.894279462;-1.154818557;17.56379705;66.07378286;1.1930063370000001
-0.163333333;2.650771795;-1.73850328;1.429423796;-46.97221617;-0.054869255
-0.026666667;0.528052882;28.70873029;-2.385218755;0.283949753;-0.7071069870000001
-0.63;18.56003024;1.349073791;2.385218755;8.666896531;2.4000135769999997
0.38;-21.20729338;8.923293300000001;0.475341708;-8.818311315;0.9377046170000001
0.41666666700000005;-34.94945208;-12.03299292;-2.860560463;17.95351076;2.04305538
0.41333333299999997;31.74943502;10.31710182;-8.706510592999999;3.388323405;6.538350678
0.46333333299999996;-7.567793298;4.995135567;-15.45363527;44.95377047;5.893037075
0.453333334;-0.54607517;15.50234043;27.02070633;-49.08486453;0.16760202400000002
-0.5333333339999999;18.68251496;5.615440842999999;-35.23665627;22.61345244;2.636632652
-0.106666666;12.32446656;6.026247724;3.1007907219999997;13.46293074;2.3656421009999997
-0.36666666700000006;-0.506008923;13.67859737;33.08485769;-47.44266517;-7.472597416
-0.81;-6.637038037000001;27.57355604;-32.05657949;20.72154713;-3.343513321
0.41666666700000005;-2.0645207119999998;18.81814548;9.137453168;-0.372167236;-1.574351246
