# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-FBT
# prediction_type;rolling
# method; Part-GFS_te(n_components=10)
"IP-FBT";"IP.TCO";"BusInv";"COMMP";"Cons.CloFoo";"HSexfinNum";"IP.ME";"IP.WPP";"Cap.MacEqu";"HStartsNSW";"Credit.Bus"
17.82732779;-22.59804086;5.038990913;-4.543463785;-0.128886742;1.069066363;9.181734428;0.334868165;0.101419879;14.41096998;4.430066072
-0.513149525;-8.814627413;14.44858574;13.22753503;-1.161853326;-43.56879882;-1.21212214;16.71689399;17.07243368;-43.02138103;2.223045416
-5.688525089;5.688797492;22.14066419;3.752426809;4.755076077;-34.96908981;4.226454415;-9.419842544;15.62661498;-23.43674701;-0.659249624
-14.31564314;8.281869345;5.557769462;6.018981987;1.020734206;-53.39371101;8.321251052;-2.307381759;4.460494589;-31.68763307;-0.780222856
1.616163815;4.685564145;25.23900754;1.119643685;9.444795782;-11.17411801;-10.12712319;9.150725862;21.14752452;6.755667379;5.325916098
20.94719421;8.020318818;-3.749393105;-16.35481328;1.118534207;17.69490555;3.603627977;6.410393606;-14.27607748;3.401116387;1.426362645
-1.021711922;-36.12411726;0.023993042;-4.522553443;5.546229666;-4.488360191;24.35534787;10.9767766;-13.06445823;11.28723158;7.603015578
16.04225018;-6.57188934;30.34520477;5.34268498;7.277338384;6.800945763;-10.25697225;-4.354630877;63.7597335;5.377709833;0.641882787
-12.98491046;-8.93392804;7.709065216;-12.09461097;-2.290197608;-19.0642992;4.020134341;-1.880881209;-3.012213642;0.811301131;-5.733355213
1.519951164;18.5361349;-4.298758338;9.768349433;3.250582223;11.4716614;9.598202222;-25.96207058;-20.85270482;52.86425207;-3.13194655
14.89005667;-5.427491682;-0.022051324;-1.347287982;-3.371482934;14.8595667;-19.43239241;16.42266777;-0.297413578;-14.87614779;-1.867876775
-17.93575667;7.578034497;6.75665886;15.98510786;0.845538591;11.58272717;20.54659926;1.285141668;-2.344547662;22.69088881;-1.998859476
6.068384403;20.28132322;44.79369486;-7.379050397;-1.329507192;2.72760194;1.665512469;0.641025778;75.79703644;-12.37150403;3.714189012
30.89593026;-12.42335881;-15.17218915;4.626519546;5.172226628;0.050806554;0.553633306;-9.724952258;-20.6141403;1.776569201;6.898308793
-7.976803933;8.324962298;5.43953988;6.174116179;1.788645103;-0.330358012;9.836561255;-1.314709483;4.518148213;-10.73835169;-3.762561568
5.179589736;-9.588786415;66.07378286;-18.70773122;-1.669152944;-0.004237089;5.894279462;-20.60396348;18.00159781;9.497602713;-3.206802135
-0.936768578;16.32879781;-46.97221617;12.86460699;11.77248007;17.38719315;2.650771795;31.32324074;-28.48580569;-0.576288851;-3.061900579
8.352971744;8.813576391;0.283949753;-8.657331446;17.81096717;-35.05062334;0.528052882;-6.462176089;3.050431391;-22.05655584;5.654082477
7.731906456;-10.23381628;8.666896531;-21.41536658;-3.902469978;8.383166494;18.56003024;-18.32890402;-3.731475824;4.232618761;-1.227915073
2.693612873;-0.610221324;-8.818311315;10.47929144;3.125015895;27.48611603;-21.20729338;18.65450437;4.106464133;14.8484358;-2.059704874
-0.447677719;-25.20518713;17.95351076;-6.779014204;0.44444449;35.67304925;-34.94945208;-27.96928492;-8.791562688;53.72460074;-0.551444011
-15.52706356;3.883525651;3.388323405;31.92944545;9.329548999;4.166531656;31.74943502;8.632186529;17.87064994;11.82793364;-2.206302548
6.466653542;-7.805125689;44.95377047;1.178205617;5.602030697;23.94749499;-7.567793298;29.61878895;9.557880747;37.03711473;1.468464
24.43847078;37.38696486;-49.08486453;3.781029637;-10.0750079;-18.22027241;-0.54607517;30.52586667;1.071812002;-36.68252386;-2.255961265
3.005918601;-2.199455679;22.61345244;12.08865627;35.56265439;-52.87204713;18.68251496;6.70325341;28.20323633;-35.56994789;3.402423778
1.707579968;-3.423126857;13.46293074;-9.783963733;-49.06275039;11.83420916;12.32446656;-40.41385028;7.771070887;-1.52413575;3.046734405
7.176973537;-8.791562688;-47.44266517;5.590028468;26.45319759;7.121684983;-0.506008923;-1.281025915;-24.92504733;35.41348161;-3.343089975
-6.751215115;-32.05153761;20.72154713;-25.38130841;17.45731589;14.56082084;-6.637038037;19.40912809;9.669594817;16.5964341;5.164049259
-7.733860683;4.897111806;-0.372167236;19.99134633;1.724796585;44.53914573;-2.064520712;-15.57829275;2.263423969;35.40512532;-8.612669963
7.308102261;-0.664268074;11.84417725;-21.44466713;-1.623131824;18.88314839;4.630276783;1.585416265;-2.873697015;7.199371008;-4.763030934
-9.047235435;-1.109570753;0.876910532;-13.11820205;3.340523021;3.56293835;-3.596684477;33.37795923;6.361896213;-6.513904628;4.618729451
9.047235435;0;13.55947564;15.30325014;4.71006319;-0.032072934;3.596684477;-20.30286518;7.148957457;2.442871661;-2.95210082
5.079433335;15.26070639;15.70935777;-18.07461402;-0.598205495;-18.43102662;20.92631575;8.485166656;11.82925342;-0.582809205;24.78867108
5.430892826;-6.686594098;17.72031641;28.97941461;14.50073064;-18.76845451;-19.39472485;5.361212051;-1.915406693;-11.89275759;-19.21270566
-4.590556383;4.971693293;24.95353067;-3.270109028;14.5504942;-8.258128383;20.8483909;-22.51544867;57.84787584;-18.2477419;-8.917178587
-0.840336444;-23.90091396;1.918056994;-21.48826287;0.463660652;23.2742039;24.39208106;24.58111169;-11.20427047;18.34916886;6.879181557
-11.52079636;-22.51473489;4.62826814;-30.3342355;8.436809782;8.884932931;12.54302097;4.68183838;-2.084304655;3.781194068;-4.451068586
-1.735360639;32.20262044;14.17181744;42.95514017;0.996941719;9.596070241;-5.327492736;-23.35993031;22.97308593;24.6632929;-7.803429728
13.256157;1.776793593;9.345023943;-7.344839074;12.73907909;-18.1726031;1.783726479;0.924143653;-8.412737542;-12.16405873;15.67762437
7.912803581;-6.478778886;1.739739458;10.18576008;9.273516851;-55.72577671;3.984537652;29.35737249;-3.075765908;-55.32921528;-2.239432266
-3.728665011;-11.65463763;5.331218366;44.61813723;7.63705846;-1.697538681;2.196600797;-8.086918041;7.795584681;-18.27557077;2.744678895
-1.2506524;-7.72631572;7.987708185;-27.59595211;6.58554002;7.435064604;-20.67876153;4.352600075;19.3822436;-8.894211613;2.610743252
2.912129347;-21.86336502;30.99134402;-28.81419023;3.621423913;12.88021547;5.498368362;-14.09837562;31.78711238;2.102537659;-0.871408678
-10.0739847;-27.65065672;-0.344147293;14.53878507;15.19322594;24.7469648;19.97086958;3.867638909;-9.817039936;29.45542025;0.613212055
