# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;HCE-Pet
# prediction_type;rolling
# method; Part-GFS_te(n_components=3)
"HCE-Pet";"Cons.InsFin";"Cap.MacEqu";"HStartsVIC"
13.97585875;4.665864172;10.89423554;-11.16032848
6.601257037;1.59717813;7.684065614;8.602243785
-1.492320973;-2.479514356;24.69484471;-6.378557083
-3.373169867;-7.484747812;0.097734992;-2.986382275
-9.575022027;4.638756917;2.765750903;9.759557241
1.98068799;4.099255627;7.194230955;7.123460839
2.806216985;8.664598712;-4.274015891;-3.187698265
5.940038534;10.27505502;-14.07988496;6.691745749
-9.509917771;-6.640821053;-32.22005191;11.42183557
1.178162656;-0.449665609;-1.756147974;11.3668405
6.706037009;17.47444765;-6.417659908;26.66484602
-6.693223869;6.408681813;-25.45640276;-13.00312104
4.303965699;7.702837922;21.61821917;-3.590539279
-10.20094651;4.773400312;-11.19001513;0.863889012
1.081750351;-1.708568586;12.05849147;5.22195521
6.39333768;6.506870171;2.439437621;11.41189898
