# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;TotComp
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=14)
"TotComp";"Cons.CloFoo";"Cons.RenDwe";"Cons.FurEqu";"Cons.RecCul";"Emp.TotalPer";"Emp.FtPer";"Gov.Nat";"RetSales";"Emp.JobVac";"AveComp";"Credit.Total";"Credit.Nar";"ExrateCNY";"SPASXAllOrds"
1.281953372;8.505636301;3.119887953;10.93235749;5.745061458;1.229169718;-1.160775456;-7.605159406;3.814815652;2.4;0.100819156;0.462458307;0.586207337;-5.241507274;-10.15183431
4.957680436;2.221542273;2.809166684;0.089116632;5.718310444;-0.669193058;-3.084567502;9.579371342;7.138964858;-1.4;4.460919613;-1.716093554;-1.155283618;0.724069467;13.20889807
6.496101682;-11.86660014;2.571815638;1.955559451;-7.661274503;1.330296877;-0.456970587;4.830557147;-2.657817105;1.1;5.248899284;1.98398729;2.539296672;-20.5630097;-27.27301421
3.164313677;-4.590423347;2.738478657;2.915529197;8.969355788;-2.154784982;-1.93878106;9.458904917;5.142243152;3.9;5.423646276;1.484261356;0.912692309;-3.283136374;-19.93865073
1.358034012;-9.604614586;3.083314065;9.309827529;4.921308613;0.528848143;2.71760242;-3.571177419;3.860934031;0.1;2.901366686;1.589277958;1.732227652;7.70284771;33.07151311
5.364565529;2.749151715;3.12527291;-3.281538267;9.507185904;-0.187293391;1.141507119;6.715631696;3.70507396;5;4.026879647;0.944457647;0.838149851;-4.582213877;28.27086648
-1.530646808;-4.328620697;3.978023412;-4.797789501;2.407123957;1.689465408;-0.04778225;-3.20575696;0.679232664;4.2;-2.00837242;-1.060422135;-1.117585816;-8.853872836;44.93375673
4.76304646;6.280796363;3.649601418;14.13940314;15.9550743;4.579838827;3.818179928;12.31516571;11.78596243;2.3;1.38781021;3.083059804;3.585058015;0.553527929;34.83921712
12.217688;2.974953083;3.377573743;-0.08471884;7.351504578;2.527396664;1.302863116;9.632651087;6.276433272;9.1;7.712108311;0.850540619;0.581369103;188.5559409;15.50447483
10.22047165;-0.128886742;3.79164796;1.690976942;-1.380501802;3.132279945;3.041448312;-11.03213887;4.146285102;11.9;5.95359828;2.732313496;2.387772487;7.138425975;-25.80237895
-2.351411082;-1.161853326;4.256278257;5.030458252;18.24640654;5.394652628;4.361595213;15.24635017;9.985857581;12.7;-7.455947464;-0.523574738;-0.52774084;3.486283855;4.995406506
6.382513756;4.755076077;3.112371756;-3.178603092;6.830575338;2.578675586;1.259469091;-2.217029249;4.14253266;3.4;2.812291875;1.099134161;1.360218293;8.157054049;-22.78648549
10.23772887;1.020734206;3.31900868;3.594966198;5.802542462;3.798333744;3.325516712;1.095654113;7.672477073;-12.9;5.934276667;-1.753471613;-2.434881403;-13.83246892;-14.72508469
3.936378798;9.444795782;2.772948159;9.377357276;12.29065234;4.65738628;4.978993751;11.66246824;11.85981911;4.6;-0.829206792;1.436343837;1.709355441;-17.82449385;29.34150995
