# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-CloFoo
# prediction_type;rolling
# method; Part-GFS_te(n_components=13)
"Cons-CloFoo";"Exrateavg";"LoaAdv";"Cons.CigTob";"IP.MP";"Cons.EGF";"ExrateHKD";"Hstarts.PDA";"Cons.Edu";"Cons.InsFin";"IP.Man";"HCE.MV";"ExrateGBP";"HSexfinVal"
2.221542273;-2.813610663;-0.508688124;-4.871376274;3.166243445;6.310183924;-1.503038802;25.45810584;37.14480131;-0.119850188;0.523217864;-6.402283882;-16.65788082;44.60723545
-11.86660014;-29.28136161;15.18491651;-2.490994612;-17.73292387;7.666525549;-17.91431063;17.8273279;-11.23646684;-2.123296087;0;9.25689011;-31.55203672;24.60782703
-4.590423347;-4.839282253;-10.03791728;-8.439552207;14.56668042;4.773193867;-19.71183696;15.09613119;-18.97124319;-2.902653334;9.81327461;-1.806563863;66.60396223;-1.267908895
-9.604614586;2.808821015;3.197320629;-9.102107799;16.60419967;-10.16956576;2.58459756;8.791562688;50.41402609;-5.951398892;4.565680514;7.243725848;15.2866374;19.04555608
2.749151715;-15.5661665;0.097528036;-10.86417757;0;3.493471988;-3.669807834;1.927714671;-22.68508461;-5.166695445;4.514154493;-2.931659986;-21.24444727;20.71224457
-4.328620697;-9.910115159;0.606684239;-4.187033707;-1.017812254;-14.50965876;-11.38366849;16.94370953;6.365759972;-11.73575102;-3.506597285;0.866319628;1.378174983;24.33379652
6.280796363;4.851811506;0.49958445;-12.24178837;15.49225487;22.06753851;-1.814167646;6.400136446;9.439735984;-5.043985573;12.38489024;-11.3142873;2.979751266;37.13648994
2.974953083;26.93574022;2.246062012;-3.843340728;-11.43645333;-1.876124284;25.96922652;8.968985534;-25.13749442;-2.393262511;4.366325951;8.931626368;24.07867671;36.14629935
-0.128886742;1.25039179;1.215966637;-9.316724709;2.012582862;-5.569569236;8.910970988;23.2573572;28.89771396;1.350690244;5.272694681;-4.961867903;-0.083866234;9.323164234
-1.161853326;2.48911815;-0.059598829;-1.294376308;4.987595792;7.225429197;7.918160971;6.639156647;5.461871322;6.043715233;3.791497582;6.487309108;1.506908438;-39.09013136
4.755076077;8.834714962;-0.569241433;-7.000851847;-7.000178654;17.56511163;11.93035445;-44.34503712;-14.42150445;-0.17141633;-3.315590328;-2.663000128;2.996892271;-31.7968135
1.020734206;-16.60194928;-2.324003844;-10.13906331;-12.81339539;-11.11776538;-10.71095487;-59.36800205;-2.900551661;-3.22773283;-5.748601935;-5.754948309;-14.46822482;-43.10767357
9.444795782;-30.48092633;0.55358445;-9.586603244;4.145114814;9.427324411;-13.27148261;-40.37036744;18.45061888;-2.079502138;2.884627886;10.11504028;-15.75593727;2.673243142
1.118534207;31.99607966;6.142746798;-9.65492979;0;5.676836412;17.13311912;-30.64284846;1.27520033;-3.271020791;3.81409326;-2.643268154;24.095482;11.48696028
5.546229666;8.23228308;-1.255107224;-7.67389405;8.668280581;4.050404595;0.154152757;-31.80482528;4.394420885;0.481426832;6.588384238;-5.889532944;6.266883048;-1.852834626
7.277338384;12.1589909;-5.845166728;-3.677990203;15.33892331;-14.09188844;6.826349459;-2.768177152;-8.913391938;4.566507873;8.314387104;-0.92224943;15.10431894;13.63021657
-2.290197608;16.19464358;1.314256006;9.006327793;-22.46379362;15.63888018;14.88031677;16.32879781;-4.111189598;6.179054432;-9.248966968;0.614911728;12.59967364;-13.31351569
3.250582223;-2.306811515;3.454292416;-0.168067229;33.94783597;3.076149485;-2.967666351;6.611720912;12.80229756;7.842561751;6.496662531;-7.767234343;-10.47638526;13.38722244
-3.371482934;11.40328082;-5.602593411;4.263808791;-7.13879745;-2.664626815;7.193996448;12.90434476;10.09932901;7.650788938;2.752304437;5.249523434;-19.63917347;23.85135049
0.845538591;0;0.027705319;4.876597233;-20.18890014;1.232033828;-11.94144659;28.18930278;13.15089569;7.024491541;-4.135591118;-5.453856223;-1.895078023;28.177318
-1.329507192;-5.661005871;1.155060212;5.628725489;6.015150946;2.452741461;-6.351916369;18.50040694;-0.48981026;8.443164923;5.504674029;-3.793986951;-11.44797297;9.970747088
5.172226628;-2.746006208;3.505430098;-2.274579647;1.489759636;14.9980078;-15.95142756;12.24017629;4.732959343;9.463518847;6.327815578;16.05425496;-10.36674402;15.51482666
1.788645103;-4.618988993;-1.418595462;-4.835629017;-2.486024161;6.521619094;-31.10001081;3.274233834;10.31389847;5.580063738;1.343034278;-17.29526569;-41.68884425;8.439612613
-1.669152944;22.3597579;-0.732627517;-0.32996496;17.56379705;6.41699384;-5.482566493;10.72450287;-5.294494402;6.662115892;0.44667788;16.38211227;-2.068036285;-2.766939902
11.77248007;-19.58196895;-2.922025279;1.647109595;1.429423796;-7.383644866;-24.48041073;26.60827304;-0.957756572;7.653082472;5.321586251;-11.8684355;-25.44259051;21.12348655
17.81096717;-19.37768128;4.460699965;2.539691071;-2.385218755;13.51222674;-24.4971909;-28.73029403;4.766013831;7.796810922;1.758244589;0.516897729;-28.63814663;-14.43904771
-3.902469978;-5.853763007;-3.50373629;5.595631038;2.385218755;-4.13829226;21.30801878;-4.27811554;7.974131236;9.335354274;4.795697771;4.457937732;22.88010946;23.32848898
3.125015895;8.508373004;0.514392576;3.607600363;0.475341708;15.21166376;1.857262641;-3.238884093;2.645074939;12.19701494;2.591801724;1.747354692;12.91846404;39.28008225
0.44444449;19.71073238;1.951614656;0;-2.860560463;5.334015079;18.61399559;26.221706;1.972390584;11.43941435;-10.91175137;-0.007873294;24.13026912;44.03820021
9.329548999;-10.67348707;-0.011253562;3.021282501;-8.706510593;0.179573516;-4.590814865;40.51653363;8.050912909;9.186787684;1.325235889;4.620501432;-10.41580096;15.42928782
5.602030697;-6.400136539;3.03783933;-11.00139604;-15.45363527;-5.877804418;-1.199846964;14.41597477;2.179492572;7.872883957;2.199015984;-9.264905008;-2.06925718;37.13043925
-10.0750079;-9.184693579;-3.143488689;-0.978194904;27.02070633;1.999095483;-15.86825391;12.20138154;-1.216487532;5.257641316;18.00947255;8.217504462;-12.61097812;-14.47768562
35.56265439;-15.96221764;0.853507745;8.958308443;-35.23665627;36.11669495;-20.51615308;-91.19342841;-1.992772302;4.756964074;-6.765488977;-1.794529703;-1.903858554;-64.00003887
-49.06275039;-6.153967536;-0.896619572;-36.31651014;3.100790722;-22.30839812;-14.18380262;-127.1120416;-7.086735546;-8.149210553;7.18455659;-10.15467045;0.034696274;-14.82999564
26.45319759;-15.27506206;-1.698507728;33.99534305;33.08485769;2.531377788;-26.37571379;31.33273729;15.88250104;4.173405186;1.254574996;8.682727671;-20.75660265;5.995979006
17.45731589;-3.234518972;-0.349743729;-5.821812897;-32.05657949;4.843302415;-7.865371718;-18.21680817;1.321691077;0.093636612;-9.720499473;9.139909226;-5.03798928;42.96064841
1.724796585;1.081081712;-1.883779149;-11.65251286;9.137453168;12.35815601;-8.875703156;75.54845929;3.814615012;-0.312207322;5.101025559;0.210533547;-2.971506285;61.35633776
-1.623131824;-5.434866246;2.243385828;-8.81765252;17.19110481;-11.15643836;1.130764111;85.2013167;11.41181692;-2.003918086;0.84388217;-6.462569308;-7.336893844;35.6059235
3.340523021;8.392862946;1.237908189;-0.514690185;25.6050166;2.98859326;1.311301134;8.541249788;9.857865797;-4.006500628;8.754909155;1.049951192;4.305584017;13.24758769
4.71006319;11.09714499;-1.668142225;1.285485841;0.450704273;2.881978986;5.21582068;-11.42934898;-7.085100023;0.316932114;3.694228413;1.030643887;11.4060685;10.6625762
-0.598205495;11.30454164;16.35475162;-1.972771234;-23.181457;0.253298161;28.8000673;28.88332325;-1.323707586;4.2855302;3.660422087;-6.993051521;11.48025324;-13.73786441
14.50073064;-12.34824744;-12.27963902;5.210965314;8.500910264;8.35277793;-6.606250596;2.6875801;0.18076373;1.688953952;0.808898152;-0.385286795;-27.34382334;-7.64853719
14.5504942;6.735910497;-0.184599677;0.678397449;20.04975487;9.637052491;8.613429785;0.891862309;0.240891305;-2.818898206;6.412963012;7.763625111;6.181804526;6.296364249
0.463660652;17.59077413;0.975825615;-10.6466899;-7.175080275;-16.38932286;26.93185688;-21.97348752;4.549585114;7.442509672;8.653238142;-5.994493523;19.20602505;30.3273274
8.436809782;25.01559276;0.656400145;7.072198024;23.71715455;9.717077028;31.04599196;0.940070844;4.557273532;0.462516914;-5.090621816;-1.78978901;23.23356488;31.72016156
0.996941719;3.449288405;-7.750586211;-10.8313777;-7.3159651;11.40507955;5.287633798;28.09761776;3.57380627;13.24513933;-1.975312656;2.115955173;9.572538252;27.42767938
12.73907909;26.35882853;10.12000016;-0.791296005;-13.24624351;8.989142341;38.19346894;-0.876232464;2.963622186;14.69290145;4.332883332;-1.088609882;12.54446908;-12.33229808
9.273516851;14.52408962;-5.552905761;11.87905658;4.908037037;6.189678633;22.28547947;-10.66729883;6.60317873;5.678306291;5.833841862;-4.404421079;-2.61856244;-45.64696906
7.63705846;-23.84953229;1.396066633;-1.883968372;-6.257110828;-3.857310509;-29.89810805;0;1.874870274;5.179523461;-3.490085156;7.279545767;-23.45368523;17.63633732
6.58554002;-2.200225614;-0.822459289;0.943093353;-6.814474861;4.930724992;-1.945416146;-42.74525822;-1.078397248;0.81025418;-4.307432716;-7.040478191;-1.975313337;10.40605942
3.621423913;17.2719762;-0.659774066;13.22364869;8.163548652;3.886114955;32.95523565;-14.28723314;0.170466655;3.141632136;-1.577911316;12.97750741;17.30541308;15.78957249
15.19322594;5.039436735;-2.811494814;-15.19811347;15.41192287;-6.343879984;7.0431488;12.27717856;4.069556086;4.871899208;1.577911316;-11.50040123;3.158982103;31.70438789
0.945440661;0.208604938;3.057263845;5.555051357;-44.2616318;-14.03377645;-7.150382615;22.52737234;2.74607033;13.66183213;-0.393894665;1.433818682;4.451658854;-11.79658064
8.255744768;1.041396079;0.130456956;3.04376865;11.88441546;15.34134419;-6.412281427;-57.24033757;4.608921679;6.867796494;3.14034979;2.995872842;11.60326433;18.59124864
1.84580216;-4.181951338;2.936469765;-11.18894345;-4.237826573;2.449768423;-9.061029037;3.283192168;2.531654021;3.493245994;-7.897591196;-3.433448094;-2.124673328;22.24731459
7.449854262;-7.425299361;-0.77743827;-11.33270045;20.75393415;-0.534606285;-2.675112017;12.86974281;-1.53909768;6.440210676;0.398604916;10.26793767;-5.679224602;8.665341423
16.23539583;2.9866805;-1.60669409;-1.249443229;18.01512582;7.495251004;10.08895272;5.242539108;3.12694454;0.202762645;4.752531155;-9.492306665;-9.583221924;21.82653457
6.456381203;4.228369205;-0.29548107;-4.042707068;11.01764567;-18.18320534;3.768956933;6.201674614;1.527135752;2.651775978;0.393507164;7.205458562;-6.133027785;2.299096065
5.933359718;6.673773184;-0.359275336;1.172095959;19.97358368;16.15293498;11.6690845;-23.22552027;2.874783545;15.72120046;10.48094896;-2.2824185;0.165214492;-13.08778384
3.212307767;1.857109346;0.081336153;3.585056488;-9.658416922;17.55120247;5.513572799;12.83532582;12.55589188;12.32039729;-1.920310937;-0.003191944;-1.68839481;21.40586428
2.150356345;17.32395614;0.643197574;-6.295093954;-20.04594805;7.646503504;22.07436297;-2.110822946;-3.841882044;10.49187324;-4.646712468;-2.256701073;16.12571036;42.91927876
11.7254476;4.118692923;5.228718507;3.429623899;24.90430737;-22.04394456;8.547680051;10.4444575;2.845486904;13.90565412;7.332573879;0.751525261;3.774062013;-2.838613441
4.409598691;9.25788673;6.715553547;0.089857352;24.20250304;21.76070858;18.8840114;31.69974876;3.866783868;1.674472288;2.667947004;-0.000355328;15.2363984;-8.941989509
5.870333739;-1.528177561;-6.5582793;-2.885494929;26.02841991;-0.85091328;9.738685356;-23.53620001;10.11542255;-3.444680411;13.07916611;-1.514075875;20.14643817;-22.89364676
-12.23296266;14.84086633;-4.738801567;-2.815314153;5.638859902;1.700020267;14.75948394;-3.041839754;0.607979851;-3.45223335;5.114224919;-0.390118527;16.16696184;-72.15594595
7.092858979;-25.90147886;-1.357179009;-1.46085531;2.094245622;-4.978727149;-36.31465549;-37.3106503;5.230805083;-11.25173426;-8.436809782;-1.165271499;-13.97707047;-9.560478064
0.861283977;-83.73739642;0.861156;-1.374414363;-27.00080111;3.84618348;-104.5871275;-60.17328113;-1.702556401;-8.722036412;-22.10085884;-3.537042044;-22.24518221;26.77612533
11.09550662;1.211021161;-9.147087462;-1.102941875;-22.60055344;10.14838791;-8.179525578;-3.915202545;0.501504579;-7.764006917;-17.62046645;12.03966252;20.14196161;90.74648935
16.27214751;50.59126445;2.326739072;1.102941875;-0.39428293;-2.565222415;65.51583613;31.51235101;8.430760887;1.698617942;3.261995652;-3.513059814;24.04758772;35.30598759
-4.599895292;25.78876927;2.93789636;1.282933517;-23.14191708;1.111304761;35.83910231;53.2610133;1.616163815;0.501028964;-0.406297648;-0.389621674;25.21992971;-2.554973287
0.187514653;19.68728635;-2.74641266;-2.754199543;9.499672085;-0.346951188;27.85989051;24.68649594;5.195824194;-1.91204953;17.49781959;0.379276439;24.54119336;-24.4087994
7.858555801;0.190159243;0.356131215;2.479631405;31.01110957;-5.874231445;-4.366063249;14.68953318;-2.856636241;9.39994128;4.642218448;-4.218430335;18.03439787;-48.51787528
2.565285934;-5.93738455;-0.379228916;-3.679032604;5.253358812;16.01870935;-9.041854036;2.874263864;2.953114775;-6.392587774;-4.253302521;-0.405941423;4.248070075;-21.05290393
7.359580251;7.644762053;-1.312142213;-18.14627239;2.971230003;3.839382849;18.12106976;-10.6414983;3.696839613;-0.76163298;-2.730386028;4.254031253;0.567552864;-5.285709074
-2.458225529;18.85746595;0.842894927;1.64033519;-15.08189961;1.137980853;27.47250637;17.26886875;6.259018174;6.052840404;-1.175895016;-3.101156114;27.79975911;1.571326212
-7.160385377;7.690824928;0.898034272;-6.406349021;-7.75970018;-10.84077191;13.07818855;-30.22143245;7.041860675;4.665864172;-7.128901563;-0.0094444;1.773745187;-12.21836696
3.171231735;15.12237447;-1.239569115;-9.405209928;33.07046767;-5.045423265;23.83929336;-11.29728503;1.752770332;1.59717813;11.42372076;-1.188898891;14.54404818;6.045715179
-7.727931258;-12.47394281;0.211913911;-12.92897892;-11.71172408;-8.932239289;-10.73893248;7.226002857;3.11749429;-2.479514356;4.633256436;-1.217052074;-3.120633831;-7.357629894
4.189165041;0;1.747475135;-0.517665402;20.9813011;-6.0194615;-10.47490809;-53.55872907;0.821168172;-7.484747812;-3.857310509;1.95910632;1.206266957;7.818483883
10.1654238;11.62015378;-1.573402641;-1.03734498;-14.35131507;14.25556417;14.06618167;2.332368241;8.343501102;4.638756917;1.161103863;0.790400142;9.282095675;-6.009036541
3.094793001;-11.9722665;2.516479558;-2.918960047;-20.61346005;-1.885642951;-19.03389048;57.31784911;0.84712733;4.099255627;-15.36377925;3.609833325;-16.74123069;7.34455614
-4.771191204;9.915706698;-3.677663855;-0.733080451;6.485597494;-18.40804624;11.6902488;-10.20463496;2.442145567;8.664598712;6.769698666;-6.025151071;8.905938804;11.45567516
1.317761;-3.451272507;-1.261609043;-13.53893399;-21.37468169;-2.057693312;-1.459897842;7.170486406;4.008181972;10.27505502;-2.773661436;2.806172863;-5.839519768;5.053933163
4.164225593;5.849566646;1.123913517;-1.085776997;-11.74767978;-4.817995802;-0.824783538;-13.42061357;3.447356744;-6.640821053;-3.193629739;-4.089532838;17.44673876;21.56035764
5.816361569;-18.16906213;1.998684423;4.970350284;-2.060797964;3.267749328;-23.81799161;34.19165795;2.900602569;-0.449665609;-6.057662466;2.004506544;-23.20522482;14.88382297
10.81769035;-25.83923999;-0.01811002;3.208573354;30.23307247;0.147901647;-28.56774934;46.36284557;2.022270752;17.47444765;1.624367715;-0.027434725;-35.97313636;10.40757382
8.815010395;1.90204832;0.158979951;1.912862306;-2.305481887;7.689023939;3.312445724;19.27074223;1.841249304;6.408681813;2.021227141;3.743741262;-12.897585;21.31257135
-7.059006725;-6.118666169;0.666677244;-31.30211151;-22.59144166;-4.889233543;-8.287194293;0.81716057;1.620125856;7.702837922;-11.03800238;0.832031548;-16.39682654;8.936840507
-5.005041839;13.82386092;0.505323111;4.446390376;12.44455611;-11.24317851;15.44261476;-9.917863447;0.170158463;4.773400312;6.577743291;-2.498700626;9.692426234;1.411150213
5.174569284;-4.868973938;-0.191193306;-12.90434489;-5.572229414;13.07451584;-8.567383253;14.7860777;1.909311501;-1.708568586;-3.686662042;-0.00391442;-2.268072671;-11.16867653
3.991319744;-15.7561196;0.646954508;-15.6414496;-10.97072321;3.782534097;-29.1005477;35.47603004;0.211584242;6.506870171;0;-0.84427547;-8.461007235;13.70189412
