# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; IP-MP
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=4)
# prediction_type; rolling
IP-MP;HStartsNT;HStartsTotal;ExrateGBP;HSexfinNum
17.31336708;17.75035263;2.088518489;-89.60769201;2.088518489
-3.0372203630000003;-37.79032137;1.0327815340000002;-9.279707455;1.0327815340000002
-6.764188859;-36.07428713;-59.30819233;-25.25321553;-59.30819233
-11.32151047;-73.89364128;-57.46759811;11.9544038;-57.46759811
-12.96709983;28.88332325;31.55830611;-18.32509235;31.55830611
26.14476212;37.71528301;14.47703963;-46.46443698;14.47703963
-2.476788099;-81.36042903;12.14710511;35.05825034;12.14710511
14.63577897;-17.41632342;-5.320413015;-17.12983398;-5.320413015
8.296593722999999;-11.68741819;19.70296345;2.353217926;19.70296345
5.82251911;-15.38651244;36.19526803;1.034692908;36.19526803
18.08217471;6.666820994;44.44414087;-48.26600249;44.44414087
0.552104988;-21.50447064;4.703090999;11.29216368;4.703090999
-17.47987774;98.45322779;75.10166417;32.4809549;75.10166417
9.117203811;50.33254736;-32.66100428;31.633880100000002;-32.66100428
38.12407192;-40.45550251;-14.23452082;2.2090115619999997;-14.23452082
-0.5124920620000001;65.31787278;-37.62268499;9.019894492;-37.62268499
-13.03046817;-40.39036694;-55.90363711;-4.33096957;-55.90363711
3.691522575;-109.5555;-58.64221748;-4.1526753439999995;-58.64221748
4.696727151;39.61568314;9.691773714;19.29842712;9.691773714
10.7492073;22.20111383;52.146241499999995;-33.80161284;52.146241499999995
-1.518028387;42.70719017;-38.71066438;0.526085126;-38.71066438
-17.08997787;7.523732783;4.653897774;-22.31223484;4.653897774
1.056803785;33.35264358;3.636260552;-29.37245741;3.636260552
12.46854196;-1.5267194869999998;3.798115585;16.95182645;3.798115585
-18.85165614;0.764088255;47.11136125;36.888420399999994;47.11136125
-1.073826148;31.54704769;46.44667058;2.346217667;21.18582211
0.537273419;9.756581319;-7.5816287760000005;-25.18053378;-15.49937131
5.333412348;24.69508017;24.31921055;-2.622959909;19.133575699999998
3.166243445;64.42462295;38.49941927;-16.65788082;33.81956627
-17.73292387;82.81462647;15.50709959;-31.55203672;10.55823618
14.56668042;40.43844666;-2.3922830000000004;66.60396223;-4.989582778
16.60419967;-5.708557561;23.03639513;15.286637400000002;12.79757975
0.0;34.22233399;22.83788502;-21.24444727;22.20612752
-1.017812254;-33.40182096;10.10562873;1.378174983;2.37973508
15.49225487;31.89095979;26.90914797;2.979751266;30.07964686
-11.43645333;17.40209642;30.83621747;24.07867671;30.56576559
2.012582862;21.51245563;3.351648874;-0.083866234;1.069066363
4.987595792;-33.65131819;-52.44706316;1.5069084380000002;-43.56879882
-7.000178654;-86.3733517;-28.87210469;2.996892271;-34.96908981
-12.81339539;47.16471088;-52.57236295;-14.46822482;-53.39371101
4.145114813999999;41.4432835;0.208806617;-15.75593727;-11.17411801
0.0;29.00599239;29.30782995;24.095482;17.69490555
8.668280581;11.91070562;7.181546981;6.2668830479999995;-4.488360191
15.33892331;-44.27336106;8.687988549;15.10431894;6.800945763
-22.46379362;-84.32540508;-18.359802;12.59967364;-19.0642992
33.94783597;30.69877252;36.97314451;-10.47638526;11.4716614
-7.13879745;40.68544682;-16.77715745;-19.63917347;14.859566699999998
-20.18890014;-9.790013964;11.47194748;-1.8950780230000002;11.58272717
6.015150946;40.31644907;5.107405585;-11.44797297;2.72760194
1.4897596359999998;-30.139774900000003;-5.464937835;-10.36674402;0.050806554000000004
-2.486024161;9.546992525;-5.947589154;-41.68884425;-0.330358012
17.56379705;5.248435223;-1.6285546480000002;-2.068036285;-0.004237089
1.429423796;3.707162735;15.86697322;-25.44259051;17.38719315
-2.385218755;14.85005309;-32.09840412;-28.63814663;-35.05062334
2.385218755;42.78369478;4.512247776000001;22.88010946;8.383166494
0.475341708;44.12014849;27.02585186;12.91846404;27.48611603
-2.860560463;28.96818678;30.55883528;24.13026912;35.67304925
-8.706510592999999;39.50076017;5.110145118999999;-10.41580096;4.166531656
-15.45363527;-48.92563243;30.51628726;-2.06925718;23.94749499
27.02070633;9.158649314;-16.5932278;-12.61097812;-18.22027241
-35.23665627;-100.94448;-40.31292663;-1.9038585540000001;-52.87204713
3.1007907219999997;-26.93665854;9.963458626;0.034696274;11.83420916
33.08485769;-38.85801712;17.38799428;-20.75660265;7.121684983
-32.05657949;-16.49718337;11.52217444;-5.03798928;14.56082084
9.137453168;53.51780632;42.36508029;-2.971506285;44.53914573
17.19110481;19.76153971;11.55661138;-7.3368938439999996;18.88314839
25.605016600000003;-6.36055805;-0.34564708;4.305584017;3.56293835
0.450704273;-4.29726604;7.0067573020000005;11.4060685;-0.032072934
-23.181457;-25.26373378;-4.7072228030000005;11.48025324;-18.43102662
8.500910264;-67.9738191;-8.774316222000001;-27.34382334;-18.76845451
20.04975487;0.0;-4.532272995;6.1818045260000005;-8.258128382999999
-7.175080275;60.61995926;23.00940781;19.20602505;23.2742039
23.71715455;105.1860182;11.21865579;23.23356488;8.884932931
-7.3159651;-59.46410965;20.415218;9.572538252000001;9.596070241
-13.24624351;31.15848333;-6.073774779;12.54446908;-18.172603100000003
4.908037037;28.90577651;-50.810365000000004;-2.61856244;-55.72577671
-6.257110827999999;11.81769849;-10.73997277;-23.45368523;-1.697538681
-6.814474861;70.05564186;3.422121352;-1.9753133369999998;7.435064604
8.163548652000001;12.27163911;8.032095144;17.30541308;12.88021547
