# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; TotComp
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_granger__graph(n_components=14)
# prediction_type; rolling
TotComp;Cons-Final;Imports;Cons-Other;PIMP;Exrateavg;PEXP;ExrateSGD;Unum-Total;Emp.HoursPer;SPASXAllOrds;Emp-HoursFt;90daysBkbills;Unum-LFT;ExrateHKD
10.78809055;4.506666313;-1.793193953;0.203510562;-50.19334541;-54.46786474;-49.90572641;-49.07031776;-3.406307071;3.527630443;34.16670584;3.7515024460000004;1.54;-7.109359106;-50.61674495
8.213946896;9.297643731;9.516280621;19.26408495;13.32128842;11.58323254;11.90121964;26.40854143;-10.17293826;6.089810947999999;36.86769673;5.523923852999999;0.36666667;-11.21286533;31.75646621
12.78641946;5.490534674;-5.366970802;-2.5285763759999997;-24.2423685;-30.58416614;-25.53765868;-29.89874165;-10.14030429;5.771202084;21.84685965;5.23278534;1.97666666;-17.41771767;-12.15257365
14.20785002;-5.433982251000001;-2.693839628;-7.583632297;-0.978354029;-3.038538778;-0.953644025;19.3198125;8.011388071;7.171166061;29.55428616;7.1973563920000005;-0.13333333;7.031027141;12.10444117
4.165777115;8.458177366000001;0.9449089009999999;9.627183756;-4.232215341;-11.49250319;-6.621401101;11.08954579;-2.614977776;2.345174679;43.99165727;1.796810043;-2.84333333;-5.642618916;0.5724010429999999
10.74030744;2.854938419;-24.89290348;7.8810814670000005;-59.00025761;-65.37703810000001;-56.69709165;-67.02580212;24.17800085;0.33485441;-6.485070679;0.102563462;1.71;26.80171741;-60.39611928
4.9461614019999995;-0.738214853;10.33960374;2.655926286;21.32661008;30.00134999;24.22163962;29.01057753;7.842561751;0.7696630879999999;67.53747324;0.290174225;-0.68333334;12.68084638;25.27595277
6.296327223;1.369887888;-10.37547657;-1.705355496;6.89126338;-2.457010158;7.219982996000001;6.779116062999999;-0.856867038;-0.180107794;50.57166552;-0.962957108;0.24;-1.6862264;16.53298855
10.44549449;2.157544359;19.46481319;6.778227621;15.39237958;11.17934243;12.25449724;16.74826559;-4.100658893;6.2949115429999996;38.56849564;6.270166839;-2.02333333;-1.6680380519999998;19.86849974
13.10890499;5.946772434;9.321597117;12.13607223;7.4901458210000005;-0.47961631600000004;7.9943621060000005;-5.058415903999999;-6.327526687000001;2.8720418739999998;78.21307037;2.709813581;-1.89;-12.08395772;-1.615523733
7.287545292999999;4.000278617;19.79892976;7.890863378;-18.40331747;-26.53591303;-19.77230099;-18.82452974;-1.247446951;4.818726604;-195.3849137;4.893920585;-0.44333333;-3.0394486869999997;-6.300831783
7.867896956;4.044139922;8.580850016;4.678415905;3.8805501280000003;8.624303617999999;1.8275622759999999;8.795632806;-16.55863746;5.545089168;-2.084582604;5.84410369;-0.98333334;-21.61519887;13.9696203
11.70629958;-0.030750476000000002;7.791154354;3.4079943999999998;31.30298799;34.82546205;29.20645106;34.88085618;8.134065497;-0.141541605;61.80881324;-0.250612946;1.27333334;0.832004737;33.17997364
5.22665751;6.237628784;27.34495973;23.07600811;29.84628989;19.96489502;28.50430687;9.651809427;-37.73926095;2.9691449889999997;13.299045499999998;2.575042878;1.09;-27.75945175;5.971161033
19.13850064;5.83933172;43.66793099;4.816876251;9.550460729;11.21972157;7.968770945;11.15705115;-5.35450646;9.003839386000001;-16.20100564;8.778442967;1.26666666;-15.06872079;26.71478548
13.82070774;8.097109374;19.97302524;15.83183676;10.32220264;1.0624175809999998;9.861901201;-12.54401811;-5.427157001;6.742670614;-4.423942789;5.967745887;1.83666667;-9.45404953;-8.798189677
12.30974891;3.26973897;12.69568361;3.7267350319999997;-22.65298961;-22.47659672;-22.11752996;-31.70822417;-24.42529856;0.301365762;4.8900189339999995;0.33916022100000004;1.33333333;-28.321731300000003;-35.87376313
11.42775902;3.637550973;5.562136829;0.926283702;-0.79327656;-1.349073791;0.666938928;0.15126078199999998;-4.94095803;4.54101378;48.13532527;3.6696099060000003;0.26333334;-7.042916921000001;0.7735605529999999
7.64809692;2.867659717;-10.05869347;1.3854160469999999;9.434737147;10.22846169;10.8894664;5.600674436;-9.165349783;2.094733335;-18.04290126;2.135282689;0.12;-7.625911058;11.11470173
11.7719134;3.974845375;2.443878646;6.931526396000001;-4.983084583;-8.879387894;0.136908712;-25.34899327;26.71007246;-1.783554004;-9.803678323;-2.311182386;-1.71;29.92935314;-12.58709326
9.979579053;2.542577481;-26.77852246;0.829797563;5.280406537;7.11920908;7.6824389570000005;0.401686088;18.37421158;2.3555095219999997;-27.73144181;2.110640569;-1.38666667;22.11419131;3.112925712
4.219637645;0.372784739;14.79719398;-3.177622158;7.788892881000001;4.386008813;7.942132417000001;4.179669294;45.64723907;-1.1135152959999999;1.117692138;-1.146378504;-0.98;49.93269046;19.75728973
-2.069157895;-2.185534343;-20.81119527;-0.684215695;-24.42203168;-27.06782147;-27.31680567;-30.09904153;35.36002322;-7.291988619;-52.711618900000005;-8.369165158;-1.53333333;39.40497511;-15.29120728
