# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-EGF
# prediction_type;rolling
# method; Part-GFS_te(n_components=12)
"Cons-EGF";"Cons.OpeVeh";"IP.TCO";"HCE.MV";"IP.MP";"IP.Total";"Gov.Nat";"HStartsTAS";"IP.NMM";"UrateLabForce";"IP.FBT";"HStartsNT";"HCE.UTF"
-10.16956576;-1.86133421;-13.34550908;7.243725848;16.60419967;2.543728763;-3.571177419;38.23849658;26.59206804;10.666667;-17.78070503;-5.708557561;9.881523129
3.493471988;7.18455659;25.21707463;-2.931659986;0;6.912976459;6.715631696;21.03182407;18.55231534;4.666666;24.24984873;34.22233399;-7.552150104
-14.50965876;0.523217864;-13.38059456;0.866319628;-1.017812254;-4.385321919;-3.20575696;-2.313325053;-24.72527735;43.000001;-5.926034314;-33.40182096;-3.251931459
22.06753851;5.349686959;-8.072267403;-11.3142873;15.49225487;6.250127161;12.31516571;30.97644246;14.65812867;53.666666;0;31.89095979;1.587201877
-1.876124284;5.940449726;46.54960955;8.931626368;-11.43645333;8.589287083;9.632651087;8.744882829;-9.712161483;-73.333334;4.855083206;17.40209642;-0.025296343
-5.569569236;-3.010410281;-22.59804086;-4.961867903;2.012582862;2.420582273;-11.03213887;1.356979065;4.278115647;-3.333332;17.82732779;21.51245563;0.757115183
7.225429197;5.139692875;-8.814627413;6.487309108;4.987595792;8.358513091;15.24635017;-43.6797169;6.033296885;58.333332;-0.513149525;-33.65131819;-2.365992413
17.56511163;-0.65785327;5.688797492;-2.663000128;-7.000178654;0;-2.217029249;-1.927714588;5.35323975;-59.333332;-5.688525089;-86.3733517;2.312790918
-11.11776538;1.163159047;8.281869345;-5.754948309;-12.81339539;-3.560854376;1.095654113;-35.18116318;-13.21441491;43.333332;-14.31564314;47.16471088;-0.801214725
9.427324411;6.908807544;4.685564145;10.11504028;4.145114814;5.329464479;11.66246824;18.98461865;-22.61198518;11.000001;1.616163815;41.4432835;-0.023398569
5.676836412;-1.043673326;8.020318818;-2.643268154;0;8.151664935;-8.250628033;26.95463977;-3.896134699;-19.666667;20.94719421;29.00599239;2.978845551
4.050404595;-1.445754674;-36.12411726;-5.889532944;8.668280581;2.871512691;16.77277372;-14.08451774;3.249408609;-1.333333;-1.021711922;11.91070562;-3.046949737
